c_selija_adj;Selonian;;;;;;;;;;;;;
c_travunija_adj_sardinian;Trebinje;;;;;;;;;;;;;
c_travunija_adj_dalmatian;Trebinje;;;;;;;;;;;;;
c_travunija_adj_sicilian;Trebinje;;;;;;;;;;;;;
c_branicevo_adj_greek;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_arberian;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_armenian;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_alan;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_georgian;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_oghuz;Kruševac;;;;;;;;;;;;;
c_branicevo_adj_turkmen;Kruševac;;;;;;;;;;;;;
c_branicevo_adj_turkish;Kruševac;;;;;;;;;;;;;
