#CODE                                          ;SED+VIET;VIET;OTHER;SED;VANILLA
#Additional Objectives.csv;;;;;
#HKC Christian Stuff.csv;;;;;
kingdom_berber                                 ;Sultanate;Sultanate;;;
job_chancellor_berber                          ;Grand Vizier;Grand Vizier;;;
emperor_berber                                 ;Padishah;Badshah;;;
arabic                                         ;Semitic ;Semitic;;Arabic;Arabic
#VIET_Decisions.csv;;;;;
#VIET_Events_Events.csv;;;;;
#VIET_FlavorTitles.csv;;;;;
county_irish                                   ;High Lordship;High Lordship;;;
kingdom_welsh                                  ;Principality;Principality;;;
barony_irish                                   ;Lordship;Lordship;;;
barony_of_scottish                             ;Lordship of;Lordship of;;;
barony_scottish                                ;Lordship;Lordship;;;
count_female_scottish                          ;Lady    ;Lady;;;
barony_of_breton                               ;Machtiernship of;Machtiernship of;;;
barony_breton                                  ;Machtiernship;Machtiernship;;;
baron_breton                                   ;Machtiern;Machtiern;;;
city_baron_breton                              ;Machtiern;Machtiern;;;
barony_welsh                                   ;Cantref ;Cantref;;;
county_welsh                                   ;Country ;Country;;;
title_tanist_welsh                             ;Edling  ;Edling;;;
barony_greek                                   ;Katepanikion;Kephalatikion;;;
county_greek                                   ;Bandon  ;Bandon;;;
duchy_greek                                    ;Theme   ;Theme;;;
duke_female_georgian                           ;Queen   ;Mepe;;;
duchy_of_georgian                              ;Kingdom of;Kingdom of;;;
duchy_georgian                                 ;Kingdom ;Kingdom;;;
county_of_georgian                             ;Saeristavo of;Saeristavo of;;;
county_georgian                                ;Saeristavo;Saeristavo;;;
barony_of_georgian                             ;Satsikhistavo of;Satsikhistavo of;;;
barony_georgian                                ;Satsikhistavo;Satsikhistavo;;;
job_marshal_georgian                           ;High Constable;Spaspet;;;
title_prince_georgian                          ;Prince  ;Tavadi;;;
title_prince_female_georgian                   ;Princess;Tavadi;;;
county_of_armenian                             ;Melikdom of;Melikdom of;;;
county_armenian                                ;Melikdom;Melikdom;;;
barony_of_armenian                             ;Sghnakh of;Skhnakhi of;;;
barony_armenian                                ;Sghnakh ;Skhnakhi;;;
temple_barony_greek                            ;Metropolis;Metropolis;;;
temple_barony_of_greek                         ;Metropolis of;Metropolis of;;;
temple_baron_greek                             ;Metropolitan;Metropolitan;;;
king_east_slavic                               ;Grand Prince;Grand Prince;;;
king_female_east_slavic                        ;Grand Princess;Grand Princess;;;
kingdom_of_east_slavic                         ;Grand Principality of;Grand Principality of;;;
king_title_ruler_consort_east_slavic           ;Grand Prince;Grand Prince;;;
king_title_ruler_consort_female_east_slavic    ;Grand Princess;Grand Princess;;;
king_baltic                                    ;Grand Duke;Grand Duke;;;
king_title_ruler_consort_baltic                ;        ;Grand Duke;;;
king_female_baltic                             ;Grand Duchess;Grand Duchess;;;
king_title_ruler_consort_female_baltic         ;        ;Grand Duchess;;;
kingdom_of_baltic                              ;Grand Duchy of;Grand Duchy of;;;
kingdom_baltic                                 ;Grand Duchy;Grand Duchy;;;
duke_east_slavic                               ;Prince  ;Prince;;;
duchy_of_east_slavic                           ;Principality of;Principality of;;;
duchy_east_slavic                              ;Principality;Principality;;;
duke_female_east_slavic                        ;Princess;Princess;;;
duchy_of_serbian                               ;Principality of;Principality of;;;
duchy_serbian                                  ;Principality;Principality;;;
duchy_croatian                                 ;Principality;Principality;;;
duke_west_slavic                               ;Voivode ;Voivode;;;
duchy_of_west_slavic                           ;Voivodeship of;Voivodeship of;;;
duchy_west_slavic                              ;Voivodeship;Voivodeship;;;
duke_south_slavic                              ;Voivode ;Voivode;;;
duchy_of_south_slavic                          ;Voivodeship of;Voivodeship of;;;
duchy_south_slavic                             ;Voivodeship;Voivodeship;;;
count_east_slavic                              ;Boyar   ;Boyar;;;
county_of_east_slavic                          ;Boyardom of;Boyardom of;;;
county_east_slavic                             ;Boyardom;Boyardom;;;
count_bulgarian                                ;Boyar   ;Boyar;;;
county_of_bulgarian                            ;Boyardom of;Boyardom of;;;
county_bulgarian                               ;Boyardom;Boyardom;;;
city_count_east_slavic                         ;Posadnik;Posadnik;;;
city_county_of_east_slavic                     ;Posadnikdom of;Posadnikdom of;;;
baron_serbian                                  ;Župan   ;Župan;;;
barony_of_serbian                              ;County of;Župa of;;;
barony_serbian                                 ;County  ;Župa;;;
baron_croatian                                 ;Župan   ;Župan;;;
barony_of_croatian                             ;County of;Župa of;;;
barony_croatian                                ;County  ;Župa;;;
count_south_slavic                             ;Ban     ;Ban;;;
county_of_south_slavic                         ;Banat of;Banat of;;;
county_south_slavic                            ;Banat   ;Banat;;;
count_magyar                                   ;Ban     ;Ban;;;
county_of_magyar                               ;Banat of;Banat of;;;
county_magyar                                  ;Banat   ;Banat;;;
barony_polish                                  ;Castellany;Castellany;;;
barony_of_lithuanian                           ;Castellany of;Castellany of;;;
barony_lithuanian                              ;Castellany;Castellany;;;
title_prince_east_slavic                       ;Tsarevich;Tsarevich;;;
title_prince_female_east_slavic                ;Tsarevna;Tsarevna;;;
job_treasurer_croatian                         ;Protovestiarios;Protovestijar;;;
duchy_polish                                   ;Duchy   ;Duchy;;;
duchy_of_lithuanian                            ;Duchy of;Duchy of;;;
duchy_lithuanian                               ;Duchy   ;Duchy;;;
emperor_south_slavic                           ;Tsar    ;Tsar;;;
emperor_female_south_slavic                    ;Tsarina ;Tsaritsa;;;
city_duke_lithuanian                           ;Voivode ;Voivode;;;
city_duke_polish                               ;Voivode ;Voivode;;;
king_east_african                              ;Negus   ;Negus;;;
king_female_east_african                       ;Nigist  ;Nigist;;;
emperor_east_african                           ;Emperor ;Negusa Nagast;;;
emperor_female_east_african                    ;Empress ;Nigiste Negest;;;
duke_east_african                              ;Ras     ;Ras;;;
count_east_african                             ;Bitwoded;Bitwoded;;;
baron_east_african                             ;Fit’awrari;Fitawrari;;;
city_king_east_african                         ;Nebura Ed;Nebura Ed;;;
city_duke_east_african                         ;Liqat   ;Liqat;;;
city_count_east_african                        ;Governor;Mekonnen;;;
city_baron_east_african                        ;Governor;Shum;;;
job_marshal_east_african                       ;Dejazmach;Dejazmach;;;
job_treasurer_east_african                     ;Minister of the Pen;Tshehafi Tezaz;;;
city_baron_somali                              ;Caaqil  ;Caaqil;;;
temple_baron_somali                            ;Islan   ;Islaan;;;
job_marshal_somali                             ;Malakh  ;Malaakh;;;
job_spymaster_somali                           ;Gurtiyal;Guurtiyaal;;;
title_prince_east_african                      ;Abeto   ;Abeto;;;
title_prince_female_east_african               ;Emebet Hoy;Emebet Hoy;;;
city_duke_west_african                         ;Dyamani-Tigui;Dyamani-Tigui;;;
city_count_west_african                        ;Kafo-Tigui;Kafo-Tigui;;;
city_baron_west_african                        ;Dougou-Tigui;Dougou-Tigui;;;
job_marshal_west_african                       ;Farariya;Farari;;;
job_chancellor_west_african                    ;Vizier  ;Kankoro-Sigui;;Grand Vizier;Grand Vizier
county_of_west_african                         ;Kafu of ;Kafu of;;Sheikhdom of;Sheikhdom of
county_west_african                            ;Kafu    ;Kafu;;Sheikhdom;Sheikhdom
city_county_of_west_african                    ;Kafu of ;Kafu of;;;
temple_county_west_african                     ;Kafu    ;Kafu;;;
temple_county_of_west_african                  ;Kafu of ;Kafu of;;;
baron_west_african                             ;Ton-Tigui;Ton-Tigui;;Wâli;Wâli
barony_of_west_african                         ;Horon of;Horon of;;Wilayah of;Wilayah of
barony_west_african                            ;Horon   ;Horon;;Wilayah;Wilayah
title_prince_west_african                      ;Maghan  ;Maghan;;;
county_of_west_germanic                        ;Shire of;Shire of;;;
county_west_germanic                           ;Shire   ;Shire;;;
duke_north_germanic                            ;Jarl    ;Jarl;;;
baron_north_germanic                           ;Lord    ;Lord;;;
duchy_of_north_germanic                        ;Jarldom of;Jarldom of;;;
duchy_north_germanic                           ;Jarldom ;Jarldom;;;
city_county_of_central_germanic                ;Free Imperial City of;Free Imperial City of;;;
city_count_central_germanic                    ;Burgomaster;Burgomeister;;;
city_baron_north_germanic                      ;Alderman;Ålderman;;;
city_count_north_germanic                      ;Lawspeaker;Lagman;;;
barony_of_saxon                                ;Thanage of;Thanage of;;;
barony_saxon                                   ;Thanage ;Thanage;;;
title_prince_saxon                             ;Ætheling;Ætheling;;;
city_count_west_germanic                       ;Reeve   ;Reeve;;;
city_duke_west_germanic                        ;High-Reeve;High Reeve;;;
temple_emperor_zoroastrian_group               ;Moabadan-Moabad;Moabandan-Moabad;;;
temple_king_zoroastrian_group                  ;Moabadan-Moabad;Moabandan-Moabad;;;
temple_duke_zoroastrian_group                  ;Magus   ;Magi;;;
temple_duchy_of_zoroastrian_group              ;Atash-i Vahram of;Atash i-Vahram of;;;
temple_count_zoroastrian_group                 ;Dastur  ;Dastur;;;
temple_county_of_zoroastrian_group             ;Atash i-Adaran of;Atash i-Adaran of;;;
temple_baron_zoroastrian_group                 ;Mobed   ;Mobad;;;
temple_barony_of_zoroastrian_group             ;Atash Dadgah of;Atash i-Dadgah of;;;
title_prince_iranian                           ;Shahzada;Shahzadeh;;Shahzada;Shahzada
title_prince_female_iranian                    ;Shahzada;Shahzadeh;;Shahdokht;Shahdokht
baron_tocharian                                ;Cozbo   ;Cozbo;;;
barony_of_tocharian                            ;Kilmi of;Kilmi of;;;
barony_tocharian                               ;Kilmi   ;Kilmi;;;
city_baron_tocharian                           ;Sothamga;Sothamga;;;
job_chancellor_tocharian                       ;Amas    ;Amas;;;
count_tocharian                                ;Governor;Rajadharaga;;;
city_baron_female_sogdian                      ;Sartapaw;Sartapaw;;;
city_count_sogdian                             ;Elteber ;Eltabar;;;
city_count_female_sogdian                      ;Elteber ;Eltabar;;;
city_duke_sogdian                              ;Afshin  ;Afshin;;;
city_duke_female_sogdian                       ;Afshin  ;Afshin;;;
city_king_sogdian                              ;        ;Ekshid;;;
city_king_female_sogdian                       ;        ;Ekshid;;;
emperor_uighur                                 ;        ;Khagan;;;
emperor_female_uighur                          ;        ;Khatun;;;
empire_of_uighur                               ;        ;Khaganate of;;;
king_uighur                                    ;        ;Khan;;;
king_female_uighur                             ;        ;Khanum;;;
kingdom_of_uighur                              ;        ;Khanate of;;;
count_uighur                                   ;        ;Chief;;;
county_of_uighur                               ;        ;Chiefdom of;;;
duke_uighur                                    ;        ;High Chief;;;
duke_female_uighur                             ;        ;High Chieftess;;;
duchy_of_uighur                                ;        ;High Chiefdom of;;;
duke_mongol                                    ;        ;Noyan;;High Chief;High Chief
count_mongol                                   ;        ;Darga;;Chief;Chief
baron_mongol                                   ;        ;Taishi;;Taishi;Taishi
duke_female_mongol                             ;        ;Begum;;High Chieftess;High Chieftess
count_female_mongol                            ;        ;Behichi;;;
baron_female_mongol                            ;        ;Behi;;;
title_prince_mongol                            ;        ;Taiji;;;
title_prince_female_mongol                     ;        ;Gongzhu;;;
job_marshal_mongol                             ;        ;Boyan;;;
duke_cuman                                     ;        ;Tarkhan;;;
count_cuman                                    ;        ;Baghatur;;;
count_pecheneg                                 ;        ;Baghatur;;;
job_treasurer_turkish                          ;        ;Defterdar;;;
city_emperor_roman                             ;        ;Emperor;;;
city_king_roman                                ;        ;Consul;;;
city_duke_roman                                ;        ;Proconsul;;;
city_count_roman                               ;        ;Praefectus Urbanus;;;
city_baron_roman                               ;        ;Praefectus;;;
family_palace_baron_roman                      ;        ;Pater Familias;;;
family_palace_baron_female_roman               ;        ;Mater Familias;;;
temple_king_druze                              ;        ;Ajawid;;;
temple_kingdom_of_druze                        ;        ;Al-Kabir Khalwa of;;;
temple_duke_druze                              ;        ;Ajawid;;;
temple_duchy_of_druze                          ;        ;Al-Kabir Khalwa of;;;
temple_count_druze                             ;        ;Uqqal;;;
temple_county_of_druze                         ;        ;Khalwa of;;;
temple_baron_druze                             ;        ;Ra’is;;;
temple_barony_of_druze                         ;        ;Mqateh of;;Khalwat of;Khalwat of
temple_count_hindu                             ;        ;Guru;;Pujari;Pujari
temple_county_of_hindu                         ;        ;Bannab of;;Temple of;Temple of
temple_baron_hindu                             ;        ;Acharya;;Pujari;Pujari
temple_barony_of_hindu                         ;        ;Mandir of;;Temple of;Mandir of
job_spiritual_hindu                            ;        ;Court Acharya;;;
temple_barony_orthodox                         ;        ;Metropolis;;;
temple_barony_of_orthodox                      ;        ;Metropolis of;;;
temple_baron_orthodox                          ;        ;Metropolitan;;;
temple_barony_finnish_pagan                    ;        ;Sacred Grove;;;
temple_barony_of_finnish_pagan                 ;        ;Sacred Grove of;;;
temple_barony_finnish_pagan_reformed           ;        ;Sacred Grove;;;
temple_barony_of_finnish_pagan_reformed        ;        ;Sacred Grove of;;;
temple_baron_baltic_pagan                      ;        ;Krivis;;Shaman;Shaman
temple_barony_of_baltic_pagan                  ;        ;Sacred Grove of;;;
temple_baron_baltic_pagan_reformed             ;        ;Krivis;;Shaman;Shaman
temple_barony_of_baltic_pagan_reformed         ;        ;Sacred Grove of;;;
family_palace_baron_muslim                     ;        ;Rais;;;
family_palace_baron_zoroastrian_group          ;        ;Rais;;;
family_palace_baron_hindu                      ;        ;Rais;;;
city_duke_muslim                               ;        ;Hakim;;Wali-Emir;Wali-Emir
city_king_muslim                               ;        ;Malik;;Wali-Malik;Wali-Malik
city_kingdom_of_muslim                         ;        ;Malikate of;;;
city_kingdom_muslim                            ;        ;Malikate;;;
family_palace_baron_central_germanic           ;        ;Grand Burgher;;;
family_palace_baron_female_central_germanic    ;        ;Grand Burgheress;;;
family_palace_baron_prussian                   ;        ;Grand Burgher;;;
family_palace_baron_female_prussian            ;        ;Grand Burgheress;;;
family_palace_baron_bohemian                   ;        ;Grand Burgher;;;
family_palace_baron_female_bohemian            ;        ;Grand Burgheress;;;
city_count_female_italian                      ;        ;Signora;;;
city_count_female_sicilian                     ;        ;Signora;;;
city_count_iberian                             ;        ;Corregidor;;;
city_county_of_iberian                         ;        ;Corregimento of;;;
city_baron_iberian                             ;        ;Alcade;;;
title_prince_iberian                           ;        ;Infante;;;
title_prince_female_iberian                    ;        ;Infanta;;;
city_king_pagan_group                          ;        ;Paramount Chief;;;
city_duke_pagan_group                          ;        ;Tribal Elder;;;
city_count_pagan_group                         ;        ;Clan Elder;;;
city_baron_pagan_group                         ;        ;Village Elder;;;
city_kingdom_of_pagan_group                    ;        ;Nation of;;;
city_duchy_of_pagan_group                      ;        ;Tribe of;;;
city_county_of_pagan_group                     ;        ;Clan of;;;
barony_of_north_african                        ;        ;Ksar of;;;
barony_north_african                           ;        ;Ksar;;;
city_count_norman                              ;        ;Reeve;;;
city_duke_norman                               ;        ;High Reeve;;;
title_tanist_saxon                             ;        ;Aetheling;;;
duke_lombard                                   ;        ;Prince;;;
duchy_of_lombard                               ;        ;Principality of;;;
#VIET_Immersion_misc.csv;;;;;
title_despot                                   ;        ;Symbasileus;;Despot;Despot
title_despot_desc                              ;        ;Symbasileus was a title bestowed upon the oldest sons of Emperors when they were crowned as co-Emperors alongside their Father.;;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.
title_lawspeaker                               ;        ;Lawspeaker;;Lawspeaker;Lawspeaker
title_lawspeaker_desc                          ;        ;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;;The lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.;The Lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.
title_noyan                                    ;        ;Dog of War;;Noyan;Noyan
title_noyan_desc                               ;        ;During the Mongol world conquests, Genghis Khan named four of his top generals as so-called "Dogs of War" - Subotai, Jebe, Jelme, and Khubilai. They were considered his most trusted and most capable military commanders, and they played key roles in several of Genghis Khan's campaigns. The title probably came about because Mongols had a lot of dogs, and dogs were very useful for people's lives in hunting and warnings.;;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.
ca_culture_jewish_1                            ;        ;Jewish Heavy Infantry Barracks;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_2                            ;        ;Jewish Heavy Infantry Barracks;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_3                            ;        ;Jewish Heavy Infantry Barracks;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_4                            ;        ;Jewish Heavy Infantry Barracks;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_1_desc                       ;        ;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.
BM_THE_OLD_GODS_DESC                           ;        ;§Y'How the little piglets would grunt if they knew how the old boar suffered.'§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok§! as he lay dying in the snake pit of Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla§! a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik§! and §YDyre§! - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. Meanwhile, to the east, the onslaught of Islam continues against the old faiths of the Silk Road - §YZoroastrian, Buddhism, Manichaeism, Hinduism§! - but the loyal followers of these remnants are stubbornly defiant in the face of near-certain doom. The Old Gods are still strong and their warriors mighty!;;§Y“How the little piglets would grunt if they knew how the old boar suffered.”§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrók§! as he lay dying in the snake pit of the Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrók and their “Great Heathen Army” descended upon the petty kingdoms of Britain to make of §YÆlla§! a “blood eagle.” Meanwhile, two other Norse lords – §YRurik§! and §YDyri§! – were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!;§Y'How the little piglets would grunt if they knew how the old boar suffered.'§! Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok§! as he lay dying in the snake pit of Northumbrian king §YÆlla§!. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla§! a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik§! and §YDyre§! - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!
title_court_musician_christian                 ;        ;Court Minstrel;;;
title_court_musician_celtic                    ;        ;Court Bard;;;
title_court_musician_west_germanic             ;        ;Court Bard;;;
title_court_musician_latin                     ;        ;Court Troubadour;;;
title_court_musician_female_latin              ;        ;Court Trobairitz;;;
title_court_musician_iberian                   ;        ;Court Troubadour;;;
title_court_musician_female_iberian            ;        ;Court Trobairitz;;;
title_court_musician_andalusian_arabic         ;        ;Court Musician;;;
title_court_musician_female_andalusian_arabic  ;        ;Court Musician;;;
title_court_musician_south_slavic              ;        ;Court Guslar;;;
title_court_musician_east_slavic               ;        ;Court Okolnichy;;;
title_court_musician_altaic                    ;        ;Court Ashik;;;
title_court_musician_iranian                   ;        ;Court Ashik;;;
title_court_musician_georgian                  ;        ;Court Ashik;;;
title_court_musician_armenian                  ;        ;Court Ashik;;;
title_court_musician_east_african              ;        ;Court Azmari;;;
#VIET_Intro_Text.csv;;;;;
#VIET_PB.csv;;;;;
temple_emperor_female_christian                ;        ;Empress-Bishop;;;
temple_king_female_catholic                    ;        ;Queen-Bishop;;;
temple_king_female_orthodox                    ;        ;Queen-Bishop;;;
temple_duke_female_catholic                    ;        ;Princess-Archbishop;;;
temple_duke_female_orthodox                    ;        ;Princess-Archbishop;;;
temple_count_female_catholic                   ;        ;Princess-Bishop;;;
city_emperor_female                            ;        ;Grand Princess;;;
emperor_title_ruler_consort_altaic             ;        ;Khagan;;;
emperor_title_ruler_consort_female_altaic      ;        ;Khatun;;;
king_title_ruler_consort_altaic                ;        ;Khan;;;
king_title_ruler_consort_female_altaic         ;        ;Khanum;;;
emperor_title_ruler_consort_greek              ;        ;Basileus;;;
baron_title_ruler_consort_arabic               ;        ;Wâli;;;
count_title_ruler_consort_arabic               ;        ;Sheikh;;;
duke_title_ruler_consort_arabic                ;        ;Emir;;;
king_title_ruler_consort_arabic                ;        ;Sultan;;;
baron_title_ruler_consort_turkish              ;        ;Timariot;;;
count_title_ruler_consort_turkish              ;        ;Bey;;;
duke_title_ruler_consort_turkish               ;        ;Beylerbey;;;
king_title_ruler_consort_turkish               ;        ;Sultan;;;
emperor_title_ruler_consort_turkish            ;        ;Padishah;;;
baron_title_ruler_consort_iranian              ;        ;Muqtab;;;
count_title_ruler_consort_iranian              ;        ;Wâli;;;
duke_title_ruler_consort_iranian               ;        ;Emir;;;
king_title_ruler_consort_iranian               ;        ;Sultan;;;
emperor_title_ruler_consort_iranian            ;        ;Shahanshah;;;
baron_title_ruler_consort_mongol               ;        ;Taishi;;;
count_title_ruler_consort_mongol               ;        ;Chief;;;
duke_title_ruler_consort_mongol                ;        ;High Chief;;;
duke_title_ruler_consort_pagan_group           ;        ;High Chief;;;
duke_title_ruler_consort_norse_pagan           ;        ;Jarl;;;
count_title_ruler_consort_pagan_group          ;        ;Chief;;;
baron_title_ruler_consort_pagan_group          ;        ;Hetman;;;
baron_title_ruler_consort_norse_pagan          ;        ;Lord;;;
#VIET_Republics_text.csv;;;;;
#VIET_Scarborough_Fair.csv;;;;;
#VIET_Silk_Road.csv;;;;;
#VIET_Special_Events.csv;;;;;
#VIET_Traits.csv;;;;;
#VIET_ancillaries.csv;;;;;
#VIET_bitter.csv;;;;;
#VIET_cinnamon.csv;;;;;
#VIET_customization.csv;;;;;
#VIET_death.csv;;;;;
#VIET_eastern_religions_stuff.csv;;;;;
#VIET_fantasy.csv;;;;;
#VIET_heresy_flavor.csv;;;;;
#VIET_historical.csv;;;;;
#VIET_ipad_misc_fun.csv;;;;;
#VIET_jewish.csv;;;;;
karaite                                        ;        ;Karaite;;Karaite;Karaite
jewish                                         ;        ;Rabbinic;;Jewish;Jewish
samaritan                                      ;        ;Samaritan;;Samaritan;Samaritan
k_israel                                       ;        ;Israel;;Israel;Israel
#VIET_jordarkelf.csv;;;;;
#VIET_love_like_and_hate.csv;;;;;
#VIET_marriage.csv;;;;;
#VIET_modifiers.csv;;;;;
#VIET_monogatari.csv;;;;;
#VIET_narrative.csv;;;;;
#VIET_nicknames.csv;;;;;
#VIET_other_romans_stuff.csv;;;;;
#VIET_pagan_stuff.csv;;;;;
#VIET_random_mods_stuff.csv;;;;;
baron_female_kurdish                           ;        ;Wâlia;;;
barony_of_kurdish                              ;        ;Wilayah of;;;
duke_female_kurdish                            ;        ;Emira;;;
king_female_kurdish                            ;        ;Sultana;;;
kingdom_of_kurdish                             ;        ;Sultanate of;;;
barony_kurdish                                 ;        ;Wilayah;;;
kingdom_kurdish                                ;        ;Sultanate;;;
job_chancellor_kurdish                         ;        ;Grand Vizier;;;
baron_north_african                            ;        ;Wâli;;;
baron_female_north_african                     ;        ;Wâlia;;;
count_north_african                            ;        ;Sheikh;;;
count_female_north_african                     ;        ;Shaykhah;;;
county_of_north_african                        ;        ;Sheikhdom of;;;
duke_north_african                             ;        ;Emir;;;
duke_female_north_african                      ;        ;Emira;;;
duchy_of_north_african                         ;        ;Emirate of;;;
king_north_african                             ;        ;Sultan;;;
