#CODE                                        ;SED+VIET;VIET;SWMH;OTHER;SED;VANILLA
#zj_Additional Objectives.csv;;;;;
#zj_HKC Christian Stuff.csv;;;;;
count_iranian                                ;        ;Marzban;;;Marzban;Marzoban
baron_iranian                                ;        ;Argbadh;;;Argbed;Argbadh
barony_iranian                               ;        ;Arg;;;Arg;Arg
barony_of_iranian                            ;        ;Arg of;;;Arg of;Arg of
county_iranian                               ;        ;Marzpanate;;;Marzpanate;Marzpanate
county_of_iranian                            ;        ;Marzpanate of;;;Marzpanate of;Marzpanate of
duchy_iranian                                ;        ;Satrapy;;;Satrapy;Satrapy
duchy_of_iranian                             ;        ;Satrapy of;;;Satrapy of;Satrapy of
kingdom_iranian                              ;        ;Shahdom;;;Shahdom;Shahdom
kingdom_of_iranian                           ;        ;Shahdom of;;;Shahdom of;Shahdom of
temple_baron_zoroastrian                     ;Mobed   ;Mobad;;;Herbad;Herbad
temple_barony_zoroastrian                    ;Atashkada;Atashkada;;;Verethragna;Vahram
temple_barony_of_zoroastrian                 ;Atashkada of;Atashkada of;;;Verethragna of;Vahram of
job_spiritual_zoroastrian_group              ;Dastur  ;Dastur;;;Mobed;Mobad
job_spiritual_zoroastrian                    ;Dastur  ;Dastur;;;Mobed;Mobad
job_spymaster_zoroastrian                    ;        ;Spasaka;;;;
job_chancellor_zoroastrian_group             ;Wuzurg Framadar;Vuzorg Farmadar;;;Astabadh;Astabadh
job_marshal_zoroastrian_group                ;        ;Eran Spahbod;;;Eran-Spahbed;Eran Spahbod
job_treasurer_zoroastrian_group              ;Ho Tokhshan Bod;Ho Tokhshan Bod;;;Chamberlain;Darik-Pat
city_baron_zoroastrian_group                 ;Dehqan  ;Dihqan;;;;
#zj_Regency_localisations.csv;;;;;
#zj_SyrenNickMod.csv;;;;;
nick_the_learned                             ;        ;the Learned;the Learned;;the Learned;
#zj_VIET_Celtic.csv;;;;;
#zj_VIET_Culture.csv;;;;;
north_african                                ;North African;North African;Berber;;Berber;
berber                                       ;Berber  ;Berber;Iznagen;;Sanhaja;
nubian                                       ;        ;Nubian;Nubian;;Nubian;Nubian
tajik                                        ;        ;Tajik;Tajik;;Tajik;
sicilian                                     ;        ;Sicilian;Sicilianu;;Sicilian;
somali                                       ;        ;Somali;Somali;;Somali;Somali
icelandic                                    ;        ;Icelandic;Íslondskr;;Icelandic;
tamil                                        ;        ;Tamil;;;Tamil;Tamil
sindhi                                       ;        ;Sindhi;;;Sindhi;Sindhi
sinic                                        ;East Asian;East Asian;Sinic;;Sinic;
sogdian                                      ;        ;Sogdian;Soghdian;;Sogdian;Sogdian
pictish                                      ;        ;Pictish;;;Pictish;Pictish
songhai                                      ;        ;Songhai;Songhai;;Songhai;
khitan                                       ;        ;Khitan;Qidun;;Khitan;Khitan
beja                                         ;        ;Beja;Bedawiye;;Beja;
daju                                         ;        ;Daju;Daju;;Daju;
zaghawa                                      ;        ;Zaghawa;Zaghawa;;Zaghawa;
kanuri                                       ;        ;Kanuri;Kanuri;;Kanuri;
hausa                                        ;        ;Hausa;Hausa;;Hausa;
falashim                                     ;        ;Beta Israel;Beta Yisrael;;Beta Israel;
sinhala                                      ;        ;Sinhala;;;Sinhalese;Sinhala
lombard                                      ;        ;Lombard;;;Langobard;Lombard
tocharian                                    ;        ;Tocharian;;;Tocharian;Tocharian
cornish                                      ;        ;Cornish;Kernowek;;Cornish;
coptic                                       ;        ;Coptic;Kubti;;Coptic;
assyrian                                     ;        ;Assyrian;Suryaye;;Assyrian;
khotanese                                    ;        ;Khotanese;Hvamnai;;Khotanese;
frisian                                      ;        ;Frisian;Fresisk;;Frisian;Frisian
afar                                         ;        ;Afar;Afar;;Afar;
baron_andalusian_arabic                      ;        ;Wâli;Wâli;;Wâli;
baron_female_andalusian_arabic               ;Wâli    ;Wâlia;;;;
barony_of_andalusian_arabic                  ;        ;Wilayah of;Wilayah of;;Wilayah of;
count_andalusian_arabic                      ;        ;Sheikh;Sheikh;;Sheikh;
count_female_andalusian_arabic               ;        ;Shaykhah;Shaykhah;;Shaykhah;
county_of_andalusian_arabic                  ;Taifa of;Sheikhdom of;Sheikhdom of;;Sheikhdom of;
duke_andalusian_arabic                       ;        ;Emir;Emir;;Emir;
duke_female_andalusian_arabic                ;        ;Emira;Emira;;Emira;
duchy_of_andalusian_arabic                   ;        ;Emirate of;Emirate of;;Emirate of;
king_andalusian_arabic                       ;Sultan  ;Sultan;Malik;;Malik;
king_female_andalusian_arabic                ;Sultana ;Sultana;Malika;;Malikah;
kingdom_of_andalusian_arabic                 ;Sultanate of;Sultanate of;Malikate of;;Malikate of;
barony_andalusian_arabic                     ;        ;Wilayah;;;;
county_andalusian_arabic                     ;Taifa   ;Sheikhdom;Wilayah;;Wilayah;
duchy_andalusian_arabic                      ;        ;Emirate;Emirato;;Emirate;
kingdom_andalusian_arabic                    ;        ;Sultanate;Sultanato;;Sultanate;
job_chancellor_andalusian_arabic             ;        ;Grand Vizier;Grand Vizier;;Grand Vizier;
emperor_andalusian_arabic                    ;Padishah;Badshah;Calif;;Caliph;
baron_berber                                 ;        ;Wâli;;;;
baron_female_berber                          ;Wâli    ;Wâlia;;;;
barony_of_berber                             ;        ;Wilayah of;;;;
count_berber                                 ;        ;Sheikh;;;;
count_female_berber                          ;        ;Shaykhah;;;;
county_of_berber                             ;        ;Sheikhdom of;;;;
duke_berber                                  ;        ;Emir;;;;
duke_female_berber                           ;        ;Emira;;;;
duchy_of_berber                              ;        ;Emirate of;;;;
king_berber                                  ;        ;Sultan;;;;
king_female_berber                           ;        ;Sultana;;;;
kingdom_of_berber                            ;        ;Sultanate of;;;;
barony_berber                                ;        ;Wilayah;;;;
county_berber                                ;        ;Sheikhdom;;;;
duchy_berber                                 ;        ;Emirate;;;;
kingdom_berber                               ;        ;Sultanate;;;;
job_chancellor_berber                        ;        ;Grand Vizier;;;;
emperor_berber                               ;Padishah;Badshah;;;;
arabic                                       ;Semitic ;Semitic;;;Arabic;Arabic
#zj_VIET_Decisions.csv;;;;;
#zj_VIET_Events_Events.csv;;;;;
#zj_VIET_FlavorTitles.csv;;;;;
count_irish                                  ;High Lord;High Lord;Ri Buiden;;Ri Buiden;Earl
county_of_irish                              ;High Lordship of;High Lordship of;Cóicid of;;Province of;
county_irish                                 ;        ;High Lordship;;;;
king_welsh                                   ;Prince  ;Prince;Brenin;;King;
king_female_welsh                            ;Princess;Princess;Breninhes;;Queen;
kingdom_of_welsh                             ;Principality of;Principality of;Teyrnas o;;Kingdom of;
kingdom_welsh                                ;        ;Principality;;;;
barony_of_irish                              ;Lordship of;Lordship of;Tuath of;;People of;
barony_irish                                 ;        ;Lordship;;;;
baron_irish                                  ;Lord    ;Lord;Tiarna;;Tigerna;
barony_of_scottish                           ;        ;Lordship of;;;;
barony_scottish                              ;        ;Lordship;;;;
baron_scottish                               ;Lord    ;Lord;Toisech;;Chieftain;
city_count_scottish                          ;Lord Provost;Lord Provost;Provost;;Provost;
city_baron_scottish                          ;Provost ;Provost;Bailie;;Baillie;
duke_scottish                                ;        ;Mormaer;Mormaer;;Earl;
duchy_of_scottish                            ;        ;Mormaerdom of;Mormaerdom of;;Mormaerdom of;
count_scottish                               ;Thegn   ;Thane;Earl;;Earl;Earl
count_female_scottish                        ;        ;Lady;;;;
county_of_scottish                           ;Thanage of;Thanage of;Earldom of;;Earldom of;
barony_of_breton                             ;Machtiernship of;Machtiernship of;Autrouniez of;;Lordship of;
barony_breton                                ;Machtiernship;Machtiernship;Autrouniez;;Lordship;
baron_breton                                 ;Machtiern;Machtiern;Autrou;;Lord;
city_baron_breton                            ;        ;Machtiern;;;;
barony_of_welsh                              ;Cantref of;Cantref of;Cwmwd o;;Commote of;
barony_welsh                                 ;        ;Cantref;;;;
baron_welsh                                  ;Lord    ;Lord;Tiarna;;Tigerna;
county_of_welsh                              ;Country of;Country of;Cantref o;;Cantref of;
county_welsh                                 ;        ;Country;;;;
title_tanist_welsh                           ;        ;Edling;;;;
baron_greek                                  ;Kephale ;Kephale;Droungarios;;Drungary;
baron_female_greek                           ;Kephale ;Kephale;Komissa;;Countess;
barony_of_greek                              ;Kephalatikion of;Kephalatikion of;Kastron;;Kastron of;
count_greek                                  ;Komes   ;Komes;Tourmarches;;Tourmarches;
count_female_greek                           ;Komes   ;Komessa;Tourmarchissa;;Tourmarchissa;
duke_female_greek                            ;        ;Doukessa;Doukissa;;Doukissa;
county_of_greek                              ;Bandon of;Bandon of;Tourma;;Turma of;
duchy_of_greek                               ;        ;Theme of;Thema;;Theme of;
king_female_greek                            ;        ;Despotess;Despoina;;Despotess;
barony_greek                                 ;Katepanikion;Kephalatikion;;;;
county_greek                                 ;        ;Bandon;;;;
duchy_greek                                  ;        ;Theme;;;;
city_king_greek                              ;Exarch  ;Exarch;Protodoux;;Protodoux;
city_duke_greek                              ;Katepano;Katepano;Protarchon;;Protarchon;
city_count_greek                             ;        ;Archon;Archon;;Archon;
city_baron_greek                             ;Eparch  ;Eparch;Kephale;;Kephale;
city_kingdom_of_greek                        ;Exarchate of;Exarchate of;Archipoliteia;;Archipoliteia of;
city_duchy_of_greek                          ;Katepanikion of;Katepanikion of;Politeia;;Politeia of;
city_county_of_greek                         ;Archontia of;Archontia of;Polis;;Polis of;
job_marshal_greek                            ;Protostrator;Protostrator;Megas Domestikos;;Grand Domestic;Protostrator
job_chancellor_greek                         ;Logothete;Logothete;Logothetes tou Dromou;;Logothete of the Course;Magistros
job_treasurer_greek                          ;Sakellarios;Sakellarios;Megas Logothetes;;Grand Logothete;Sakellarios
title_prince_greek                           ;Despot  ;Despotes;Kaisar;;Caesar;
title_prince_female_greek                    ;Despotess;Despoina;Kaisarissa;;Caesarissa;
king_georgian                                ;        ;Mepe-Mepeta;Mepe-Mepeta;;King;
king_female_georgian                         ;Queen   ;Mepe-Mepeta;Mepe;;Queen;
duke_georgian                                ;King    ;Mepe;Eristavi;;Duke;
duke_female_georgian                         ;Queen   ;Mepe;;;;
duchy_of_georgian                            ;        ;Kingdom of;;;;
duchy_georgian                               ;        ;Kingdom;;;;
count_georgian                               ;Duke    ;Eristavi;Aznauri;;Count;
county_of_georgian                           ;        ;Saeristavo of;;;;
county_georgian                              ;        ;Saeristavo;;;;
baron_georgian                               ;        ;Tsikhistavi;Tsikhistavi;;Tsikhistavi;
barony_of_georgian                           ;        ;Satsikhistavo of;;;;
barony_georgian                              ;        ;Satsikhistavo;;;;
city_baron_georgian                          ;Mouravi ;Mouravi;Tsikhistavi;;Tsikhistavi;
job_marshal_georgian                         ;High Constable;Spaspet;;;;
title_prince_georgian                        ;Prince  ;Tavadi;;;;
title_prince_female_georgian                 ;Princess;Tavadi;;;;
count_armenian                               ;Melik   ;Melik;Naxarar;;Nakharar;
county_of_armenian                           ;        ;Melikdom of;;;;
county_armenian                              ;        ;Melikdom;;;;
baron_armenian                               ;Tanuter ;Tanuter;Azat;;Azat;
barony_of_armenian                           ;Sghnakh of;Skhnakhi of;;;;
barony_armenian                              ;Sghnakh ;Skhnakhi;;;;
job_marshal_armenian                         ;        ;Sparapet;Sparapet;;Sparapet;
city_barony_of_greek                         ;Polis of;Polis of;Kephalatikion;;Katepanikion of;
temple_barony_greek                          ;        ;Metropolis;;;;
temple_barony_of_greek                       ;        ;Metropolis of;;;;
temple_baron_greek                           ;        ;Metropolitan;;;;
king_east_slavic                             ;        ;Grand Prince;;;;
king_female_east_slavic                      ;        ;Grand Princess;;;;
kingdom_of_east_slavic                       ;        ;Grand Principality of;;;;
king_title_ruler_consort_east_slavic         ;        ;Grand Prince;;;;
king_title_ruler_consort_female_east_slavic  ;        ;Grand Princess;;;;
king_baltic                                  ;        ;Grand Duke;;;;
king_title_ruler_consort_baltic              ;        ;Grand Duke;;;;
king_female_baltic                           ;        ;Grand Duchess;;;;
king_title_ruler_consort_female_baltic       ;        ;Grand Duchess;;;;
kingdom_of_baltic                            ;        ;Grand Duchy of;;;;
kingdom_baltic                               ;        ;Grand Duchy;;;;
duke_east_slavic                             ;        ;Prince;;;;
duchy_of_east_slavic                         ;        ;Principality of;;;;
duchy_east_slavic                            ;        ;Principality;;;;
duke_female_east_slavic                      ;        ;Princess;;;;
duke_serbian                                 ;        ;Grand Prince;Veliki Župan;;Grand Prince;
duchy_of_serbian                             ;        ;Principality of;;;;
duchy_serbian                                ;        ;Principality;;;;
duke_croatian                                ;Grand Prince;Grand Prince;Ban;;Ban;
duchy_of_croatian                            ;Principality of;Principality of;Banate of;;Banate of;
duchy_croatian                               ;        ;Principality;;;;
duke_west_slavic                             ;        ;Voivode;;;;
duchy_of_west_slavic                         ;        ;Voivodeship of;;;;
duchy_west_slavic                            ;        ;Voivodeship;;;;
duke_south_slavic                            ;        ;Voivode;;;;
duchy_of_south_slavic                        ;        ;Voivodeship of;;;;
duchy_south_slavic                           ;        ;Voivodeship;;;;
count_east_slavic                            ;        ;Boyar;;;;
county_of_east_slavic                        ;        ;Boyardom of;;;;
county_east_slavic                           ;        ;Boyardom;;;;
count_bulgarian                              ;        ;Boyar;;;;
county_of_bulgarian                          ;        ;Boyardom of;;;;
county_bulgarian                             ;        ;Boyardom;;;;
city_count_east_slavic                       ;        ;Posadnik;;;;
city_county_of_east_slavic                   ;        ;Posadnikdom of;;;;
baron_serbian                                ;        ;Župan;;;;
barony_of_serbian                            ;County of;Župa of;;;;
barony_serbian                               ;County  ;Župa;;;;
baron_croatian                               ;        ;Župan;;;;
barony_of_croatian                           ;County of;Župa of;;;;
barony_croatian                              ;County  ;Župa;;;;
count_south_slavic                           ;        ;Ban;;;;
county_of_south_slavic                       ;        ;Banat of;;;;
county_south_slavic                          ;        ;Banat;;;;
count_magyar                                 ;        ;Ban;;;;
county_of_magyar                             ;        ;Banat of;;;;
county_magyar                                ;        ;Banat;;;;
baron_polish                                 ;        ;Castellan;Kasztelan;;Castellan;
barony_of_polish                             ;        ;Castellany of;Kasztelania of;;Castellany of;
barony_polish                                ;        ;Castellany;;;;
baron_lithuanian                             ;Castellan;Castellan;Bajoras;;Bajoras;
barony_of_lithuanian                         ;        ;Castellany of;;;;
barony_lithuanian                            ;        ;Castellany;;;;
title_prince_east_slavic                     ;        ;Tsarevich;;;;
title_prince_female_east_slavic              ;        ;Tsarevna;;;;
job_treasurer_serbian                        ;Protovestijar;Protovestijar;Komornik;;Chamberlain;
job_treasurer_croatian                       ;Protovestiarios;Protovestijar;;;;
duke_polish                                  ;        ;Duke;Ksiaze;;Duke;
duke_female_polish                           ;        ;Duchess;Ksiezna;;Duchess;
duchy_of_polish                              ;        ;Duchy of;Ksiestwo of;;Duchy of;
duchy_polish                                 ;        ;Duchy;;;;
duke_lithuanian                              ;        ;Duke;Kunigaikštis;;Duke;
duke_female_lithuanian                       ;        ;Duchess;Kunigaikštiene;;Duchess;
duchy_of_lithuanian                          ;        ;Duchy of;;;;
duchy_lithuanian                             ;        ;Duchy;;;;
emperor_south_slavic                         ;        ;Tsar;;;;
emperor_female_south_slavic                  ;Tsarina ;Tsaritsa;;;;
city_duke_lithuanian                         ;        ;Voivode;;;;
city_duke_polish                             ;        ;Voivode;;;;
king_east_african                            ;        ;Negus;;;;
king_female_east_african                     ;        ;Nigist;;;;
emperor_east_african                         ;Emperor ;Negusa Nagast;;;;
emperor_female_east_african                  ;Empress ;Nigiste Negest;;;;
duke_east_african                            ;        ;Ras;;;;
count_east_african                           ;        ;Bitwoded;;;;
baron_east_african                           ;Fit’awrari;Fitawrari;;;;
city_king_east_african                       ;        ;Nebura Ed;;;;
city_duke_east_african                       ;        ;Liqat;;;;
city_count_east_african                      ;Governor;Mekonnen;;;;
city_baron_east_african                      ;Governor;Shum;;;;
job_marshal_east_african                     ;        ;Dejazmach;;;;
job_treasurer_east_african                   ;Minister of the Pen;Tshehafi Tezaz;;;;
king_somali                                  ;Boqor   ;Boqor;Suldaan;;Suldaan;
king_female_somali                           ;Boqorad ;Boqorad;Suldaanad;;Suldaanad;
count_somali                                 ;Viceroy ;Boqortiishe;Ugaas;;Ugaas;
baron_somali                                 ;Ugaas   ;Ugaas;Akil;;Akil;
city_baron_somali                            ;        ;Caaqil;;;;
temple_baron_somali                          ;Islan   ;Islaan;;;;
job_marshal_somali                           ;Malakh  ;Malaakh;;;;
job_spymaster_somali                         ;Gurtiyal;Guurtiyaal;;;;
title_prince_east_african                    ;        ;Abeto;;;;
title_prince_female_east_african             ;        ;Emebet Hoy;;;;
city_duke_west_african                       ;        ;Dyamani-Tigui;;;;
city_count_west_african                      ;        ;Kafo-Tigui;;;;
city_baron_west_african                      ;        ;Dougou-Tigui;;;;
job_marshal_west_african                     ;Farariya;Farari;;;;
job_chancellor_west_african                  ;Vizier  ;Kankoro-Sigui;;;Grand Vizier;Grand Vizier
county_of_west_african                       ;Kafu of ;Kafu of;;;Sheikhdom of;Sheikhdom of
county_west_african                          ;Kafu    ;Kafu;;;Sheikhdom;Sheikhdom
city_county_of_west_african                  ;        ;Kafu of;;;;
temple_county_west_african                   ;        ;Kafu;;;;
temple_county_of_west_african                ;        ;Kafu of;;;;
baron_west_african                           ;Ton-Tigui;Ton-Tigui;;;Wâli;Wâli
barony_of_west_african                       ;Horon of;Horon of;;;Wilayah of;Wilayah of
barony_west_african                          ;Horon   ;Horon;;;Wilayah;Wilayah
title_prince_west_african                    ;        ;Maghan;;;;
county_of_west_germanic                      ;        ;Shire of;;;;
county_west_germanic                         ;        ;Shire;;;;
duke_north_germanic                          ;        ;Jarl;;;;
baron_north_germanic                         ;        ;Lord;;;;
duchy_of_north_germanic                      ;        ;Jarldom of;;;;
duchy_north_germanic                         ;        ;Jarldom;;;;
city_county_of_central_germanic              ;        ;Free Imperial City of;;;;
city_count_central_germanic                  ;Burgomaster;Burgomeister;;;;
city_baron_north_germanic                    ;Alderman;Ålderman;;;;
city_count_north_germanic                    ;Lawspeaker;Lagman;;;;
barony_of_saxon                              ;        ;Thanage of;;;;
barony_saxon                                 ;        ;Thanage;;;;
baron_saxon                                  ;        ;Thane;Thegn;;Thegn;
title_prince_saxon                           ;        ;Ætheling;Ætheling;;Ætheling;
city_count_west_germanic                     ;        ;Reeve;;;;
city_duke_west_germanic                      ;High-Reeve;High Reeve;;;;
count_afghan                                 ;Malik   ;Malik;Azad;;Azad;
count_female_afghan                          ;Malikah ;Malikah;Azadeh;;Azad;
county_of_afghan                             ;Malikate of;Malikate of;Viláyat-e;;Province of;
county_afghan                                ;Malikate;Malikate;Viláya;;Province;
temple_emperor_zoroastrian_group             ;Moabadan-Moabad;Moabandan-Moabad;;;;
temple_king_zoroastrian_group                ;Moabadan-Moabad;Moabandan-Moabad;;;;
temple_duke_zoroastrian_group                ;Magus   ;Magi;;;;
temple_duchy_of_zoroastrian_group            ;Atash-i Vahram of;Atash i-Vahram of;;;;
temple_count_zoroastrian_group               ;        ;Dastur;;;;
temple_county_of_zoroastrian_group           ;        ;Atash i-Adaran of;;;;
temple_baron_zoroastrian_group               ;Mobed   ;Mobad;;;Herbad;Herbad
temple_barony_of_zoroastrian_group           ;Atash Dadgah of;Atash i-Dadgah of;;;Verethragna of;Vahram of
title_prince_iranian                         ;Shahzada;Shahzadeh;;;Shahzada;Shahzada
title_prince_female_iranian                  ;Shahzada;Shahzadeh;;;Shahdokht;Shahdokht
baron_tocharian                              ;        ;Cozbo;;;;
barony_of_tocharian                          ;        ;Kilmi of;;;;
barony_tocharian                             ;        ;Kilmi;;;;
baron_khotanese                              ;Cazba   ;Cazba;Pharsha;;Baron;
barony_of_khotanese                          ;        ;Kilmi of;;;;
barony_khotanese                             ;        ;Kilmi;;;;
city_baron_khotanese                         ;Sau     ;Sau;Spata;;Spata;
city_baron_tocharian                         ;        ;Sothamga;;;;
job_chancellor_khotanese                     ;        ;Amaca;;;;
job_marshal_khotanese                        ;General ;Hinaysa;;;;
job_chancellor_tocharian                     ;        ;Amas;;;;
count_tocharian                              ;Governor;Rajadharaga;;;;
baron_sogdian                                ;Sartapaw;Sartapaw;Khuda;;Lord;
baron_female_sogdian                         ;Sartapaw;Sartapaw;Khudeh;;Lady;
count_sogdian                                ;Eltabar ;Eltabar;Jamúg;;Jamug;
count_female_sogdian                         ;Eltabar ;Eltabar;Jamúga;;Jamuga;
duke_sogdian                                 ;        ;Afshin;Afshín;;Afshin;Ikhshid
duke_female_sogdian                          ;Afshin  ;Afshin;Afshína;;Afshina;
king_sogdian                                 ;Ikhshid ;Ekshid;Ighshíd;;King;
king_female_sogdian                          ;Ikhshid ;Ekshid;Ighshída;;Queen;
city_baron_sogdian                           ;Sartapaw;Sartapaw;Dehqán;;Dehqan;
city_baron_female_sogdian                    ;        ;Sartapaw;;;;
city_count_sogdian                           ;Elteber ;Eltabar;;;;
city_count_female_sogdian                    ;Elteber ;Eltabar;;;;
city_duke_sogdian                            ;        ;Afshin;;;;
city_duke_female_sogdian                     ;        ;Afshin;;;;
city_king_sogdian                            ;Ikhshid ;Ekshid;;;;
city_king_female_sogdian                     ;Ikhshid ;Ekshid;;;;
duke_mongol                                  ;        ;Noyan;Noyan;;Noyan;High Chief
count_mongol                                 ;Darga   ;Darga;;;Chief;Chief
baron_mongol                                 ;Taishi  ;Taishi;Darugha;;Darugha;Taishi
duke_female_mongol                           ;Begum   ;Begum;;;High Chieftess;High Chieftess
count_female_mongol                          ;        ;Behichi;;;;
baron_female_mongol                          ;        ;Behi;;;;
title_prince_mongol                          ;        ;Taiji;;;;
title_prince_female_mongol                   ;Princess;Gongzhu;;;;
job_marshal_mongol                           ;Bayan   ;Boyan;;;;
duke_cuman                                   ;        ;Tarkhan;;;;
duke_pecheneg                                ;Tarkhan ;Tarkhan;Il-Teber;;Elteber;
count_cuman                                  ;        ;Baghatur;;;;
count_pecheneg                               ;        ;Baghatur;;;;
job_treasurer_turkish                        ;        ;Defterdar;;;;
emperor_roman                                ;        ;Imperator;Imperator;;Emperor;
emperor_female_roman                         ;        ;Imperatrix;Imperatrix;;Empress;
king_roman                                   ;        ;Rex;Rex;;King;
king_female_roman                            ;        ;Regina;Regina;;Queen;
duke_roman                                   ;Legatus Augusti;Legatus Augusti;Dux;;Duke;
duke_female_roman                            ;Legata Augusti;Legata Augusti;Ducissa;;Duchess;
count_roman                                  ;Legatus ;Legatus;Comes;;Count;
count_female_roman                           ;Legata  ;Legata;Comitissa;;Countess;
baron_roman                                  ;Eques   ;Eques;Baro;;Baron;
baron_female_roman                           ;Domina  ;Domina;Baronissa;;Baroness;
city_emperor_roman                           ;        ;Emperor;;;;
city_king_roman                              ;        ;Consul;;;;
city_duke_roman                              ;        ;Proconsul;;;;
city_count_roman                             ;Urban Prefect;Praefectus Urbanus;;;;
city_baron_roman                             ;Prefect ;Praefectus;;;;
family_palace_baron_roman                    ;        ;Pater Familias;;;;
family_palace_baron_female_roman             ;        ;Mater Familias;;;;
temple_king_druze                            ;        ;Ajawid;;;;
temple_kingdom_of_druze                      ;Great Khalwa of;Al-Kabir Khalwa of;;;;
temple_duke_druze                            ;        ;Ajawid;;;;
temple_duchy_of_druze                        ;Great Khalwa of;Al-Kabir Khalwa of;;;;
temple_count_druze                           ;‘Uqqal  ;Uqqal;;;;
temple_county_of_druze                       ;        ;Khalwa of;;;;
temple_baron_druze                           ;Rais    ;Ra’is;;;;
temple_barony_of_druze                       ;Mqateh of;Mqateh of;Khalwat of;;Khalwa of;Khalwat of
temple_king_mandaean                         ;Rish ‘Amma;Rishamma;;;;
temple_kingdom_of_mandaean                   ;        ;Padashar of;;;;
temple_duke_mandaean                         ;        ;Ganzibria;;;;
temple_duchy_of_mandaean                     ;        ;Daura of;;;;
temple_count_mandaean                        ;        ;Tarmida;;;;
temple_county_of_mandaean                    ;City of ;Mata of;;;;
temple_baron_mandaean                        ;Yalufa  ;Yalufa;Tarmid;;Priest;
temple_barony_of_mandaean                    ;        ;Mandi of;Mandi of;;Mandi of;
temple_count_hindu                           ;Guru    ;Guru;;;Pujari;Pujari
temple_county_of_hindu                       ;Bannab of;Bannab of;;;Temple of;Temple of
temple_baron_hindu                           ;Acharya ;Acharya;;;Pujari;Pujari
temple_barony_of_hindu                       ;        ;Mandir of;;;Temple of;Mandir of
job_spiritual_hindu                          ;        ;Court Acharya;;;;
temple_barony_orthodox                       ;        ;Metropolis;;;;
temple_barony_of_orthodox                    ;        ;Metropolis of;;;;
temple_baron_orthodox                        ;        ;Metropolitan;;;;
temple_barony_finnish_pagan                  ;        ;Sacred Grove;;;;
temple_barony_of_finnish_pagan               ;        ;Sacred Grove of;;;;
temple_barony_finnish_pagan_reformed         ;        ;Sacred Grove;;;;
temple_barony_of_finnish_pagan_reformed      ;        ;Sacred Grove of;;;;
temple_baron_baltic_pagan                    ;High Priest;Krivis;;;Shaman;Shaman
temple_barony_of_baltic_pagan                ;        ;Sacred Grove of;;;;
temple_baron_baltic_pagan_reformed           ;High Priest;Krivis;;;Shaman;Shaman
temple_barony_of_baltic_pagan_reformed       ;        ;Sacred Grove of;;;;
family_palace_baron_muslim                   ;        ;Rais;;;;
family_palace_baron_zoroastrian_group        ;        ;Rais;;;;
family_palace_baron_hindu                    ;        ;Rais;;;;
city_duke_muslim                             ;Hakim   ;Hakim;;;Wali-Emir;Wali-Emir
city_king_muslim                             ;Malik   ;Malik;;;Wali-Malik;Wali-Malik
city_kingdom_of_muslim                       ;        ;Malikate of;;;;
city_kingdom_muslim                          ;        ;Malikate;;;;
