#CODE                                          ;SED+EMF ;EMF;SWMH;OTHER;SED;VANILLA
Germania                                       ;Germania;Germania;;;;
ca_culture_scottish_3                          ;        ;Schiltron Training Ground;Schiltron Training Ground;;Schiltron Training Ground;Schiltron Training Ground
ca_culture_scottish_4                          ;        ;Schiltron Training Ground;Schiltron Training Ground;;Schiltron Training Ground;Schiltron Training Ground
ca_culture_scottish_5                          ;Schiltron Training Ground;Schiltron Training Ground;;;;
ca_culture_group_baltic_0                      ;        ;Warrior Gathering Ground;;;;
ca_culture_group_baltic_1                      ;        ;Warrior Gathering Ground;Warrior Gathering Ground;;Warrior Gathering Ground;Warrior Gathering Ground
ca_culture_group_baltic_2                      ;        ;Warrior Gathering Ground;Warrior Gathering Ground;;Warrior Gathering Ground;Warrior Gathering Ground
ca_culture_group_baltic_3                      ;        ;Warrior Gathering Ground;Warrior Gathering Ground;;Warrior Gathering Ground;Warrior Gathering Ground
ca_culture_group_baltic_4                      ;        ;Warrior Gathering Ground;Warrior Gathering Ground;;Warrior Gathering Ground;Warrior Gathering Ground
ca_culture_group_baltic_5                      ;        ;Warrior Gathering Ground;;;;
ca_culture_group_altaic_0                      ;        ;Riding Grounds;;;;
ca_culture_group_altaic_1                      ;        ;Riding Grounds;Riding Grounds;;Riding Grounds;Riding Grounds
ca_culture_group_altaic_2                      ;        ;Riding Grounds;Riding Grounds;;Riding Grounds;Riding Grounds
ca_culture_group_altaic_3                      ;        ;Riding Grounds;Riding Grounds;;Riding Grounds;Riding Grounds
ca_culture_group_altaic_4                      ;        ;Riding Grounds;Riding Grounds;;Riding Grounds;Riding Grounds
ca_culture_group_altaic_5                      ;        ;Riding Grounds;;;;
ca_culture_frank_norman_german_0               ;        ;Jousting Lists;;;;
ca_culture_frank_norman_german_1               ;        ;Jousting Lists;Jousting Lists;;Jousting Lists;Jousting Lists
ca_culture_frank_norman_german_2               ;        ;Jousting Lists;Jousting Lists;;Jousting Lists;Jousting Lists
ca_culture_frank_norman_german_3               ;        ;Jousting Lists;Jousting Lists;;Jousting Lists;Jousting Lists
ca_culture_frank_norman_german_4               ;        ;Jousting Lists;Jousting Lists;;Jousting Lists;Jousting Lists
ca_culture_frank_norman_german_5               ;        ;Jousting Lists;;;;
ca_culture_group_iberian_0                     ;Knight Training Ground;Caballero Training Ground;;;;
ca_culture_group_iberian_1                     ;        ;Caballero Training Ground;Caballero Training Ground;;Knight Training Ground;Caballero Training Ground
ca_culture_group_iberian_2                     ;        ;Caballero Training Ground;Caballero Training Ground;;Knight Training Ground;Caballero Training Ground
ca_culture_group_iberian_3                     ;        ;Caballero Training Ground;Caballero Training Ground;;Knight Training Ground;Caballero Training Ground
ca_culture_group_iberian_4                     ;        ;Caballero Training Ground;Caballero Training Ground;;Knight Training Ground;Caballero Training Ground
ca_culture_group_iberian_5                     ;Knight Training Ground;Caballero Training Ground;;;;
ca_culture_italian_0                           ;Cavalry Training Ground;Cavalleria Training Ground;;;;
ca_culture_italian_1                           ;Cavalry Training Ground;Cavalleria Training Ground;Militia Training Ground;;Militia Training Ground;Pike Training Ground
ca_culture_italian_2                           ;Cavalry Training Ground;Cavalleria Training Ground;Militia Training Ground;;Militia Training Ground;Pike Training Ground
ca_culture_italian_3                           ;Cavalry Training Ground;Cavalleria Training Ground;Militia Training Ground;;Militia Training Ground;Pike Training Ground
ca_culture_italian_4                           ;Cavalry Training Ground;Cavalleria Training Ground;Militia Training Ground;;Militia Training Ground;Pike Training Ground
ca_culture_italian_5                           ;Cavalry Training Ground;Cavalleria Training Ground;;;;
ca_culture_italian_cavalry_desc                ;Elite Italian mounted crossbowmen (balestrieri) train here, using a multifarious specialization of arms that lends itself especially well to shock and defense tactics, at considerable expense. This military tradition draws from Italian-German (Lombard) origins.;Elite Italian mounted crossbowmen (balestrieri) train here, a multifarious specialization of arms that lends itself especially well to shock and defense tactics, at considerable expense. This military tradition draws from Italian-German (Lombard) origins.;;;;
ca_culture_russian_0                           ;        ;Druzhina Training Ground;;;;
ca_culture_russian_5                           ;        ;Druzhina Training Ground;;;;
ca_culture_group_north_germanic_0              ;Housecarl Training Ground;Huscarl Training Ground;;;;
ca_culture_group_north_germanic_5              ;Housecarl Training Ground;Huscarl Training Ground;;;;
ca_culture_hungarian_0                         ;        ;Hussar Training Ground;;;;
ca_culture_hungarian_5                         ;        ;Hussar Training Ground;;;;
ca_culture_group_arabic_0                      ;        ;Camel Training Grounds;;;;
ca_culture_group_arabic_1                      ;Camel Training Grounds;Camel Training Grounds;Camel Riding Ground;;Camel Riding Ground;Camel Riding Ground
ca_culture_group_arabic_2                      ;Camel Training Grounds;Camel Training Grounds;Camel Riding Ground;;Camel Riding Ground;Camel Riding Ground
ca_culture_group_arabic_3                      ;Camel Training Grounds;Camel Training Grounds;Camel Riding Ground;;Camel Riding Ground;Camel Riding Ground
ca_culture_group_arabic_4                      ;Camel Training Grounds;Camel Training Grounds;Camel Riding Ground;;Camel Riding Ground;Camel Riding Ground
ca_culture_group_arabic_5                      ;        ;Camel Training Grounds;;;;
ca_culture_group_byzantine_0                   ;        ;Cataphract Training Ground;;;;
ca_culture_group_byzantine_5                   ;        ;Cataphract Training Ground;;;;
ca_culture_irish_0                             ;        ;Gallowglass Training Ground;;;;
ca_culture_irish_5                             ;        ;Gallowglass Training Ground;;;;
ca_culture_ethiopian_0                         ;        ;Ethiopian Drilling Grounds;;;;
ca_culture_ethiopian_5                         ;        ;Ethiopian Drilling Grounds;;;;
ca_culture_west_african_0                      ;        ;Horon Warrior Lodge;;;;
ca_culture_west_african_5                      ;        ;Horon Warrior Lodge;;;;
ca_culture_group_south_slavic_0                ;Hussar Training Ground;Gusar Training Ground;;;;
ca_culture_group_south_slavic_5                ;Hussar Training Ground;Gusar Training Ground;;;;
ca_culture_croatia_0                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_1                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_2                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_3                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_4                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_5                           ;        ;Infantry Training Ground;;;;
ca_culture_croatia_1_desc                      ;        ;The southern Slavic nations trained powerful heavy infantry.;;;;
ca_culture_dutch_0                             ;        ;Goedendag Militia Quarters;;;;
ca_culture_dutch_1                             ;        ;Goedendag Militia Quarters;Goedendag Militia Quarters;;Goedendag Militia Quarters;Goedendag Militia Quarters
ca_culture_dutch_2                             ;        ;Goedendag Militia Quarters;Goedendag Militia Quarters;;Goedendag Militia Quarters;Goedendag Militia Quarters
ca_culture_dutch_3                             ;        ;Goedendag Militia Quarters;Goedendag Militia Quarters;;Goedendag Militia Quarters;Goedendag Militia Quarters
ca_culture_dutch_4                             ;        ;Goedendag Militia Quarters;Goedendag Militia Quarters;;Goedendag Militia Quarters;Goedendag Militia Quarters
ca_culture_dutch_5                             ;        ;Goedendag Militia Quarters;;;;
ca_culture_basque_0                            ;        ;Kuartela;;;;
ca_culture_basque_1                            ;        ;Kuartela;;;;
ca_culture_basque_2                            ;        ;Kuartela;;;;
ca_culture_basque_3                            ;        ;Kuartela;;;;
ca_culture_basque_4                            ;        ;Kuartela;;;;
ca_culture_basque_5                            ;        ;Kuartela;;;;
ca_culture_basque_1_desc                       ;        ;The Basque were renowned for their powerful heavy infantry.;;;;
ca_culture_jewish_0                            ;        ;Jewish Heavy Infantry Barracks;;;;
ca_culture_jewish_5                            ;        ;Jewish Heavy Infantry Barracks;;;;
ca_culture_nahuatl_0                           ;        ;Jaguar Warrior Lodge;;;;
ca_culture_nahuatl_5                           ;        ;Jaguar Warrior Lodge;;;;
ca_culture_portuguese_galician_andalusian_0    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_1    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_2    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_3    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_4    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_5    ;        ;Jinete Riding Grounds;;;;
ca_culture_portuguese_galician_andalusian_desc ;        ;Lightly-armored cavalry train here in the art of flanking and peppering the enemy with arrows and javelins, softening them before the heavier elements of the army charge the lines.;;;;
ca_culture_group_north_african_0               ;        ;Camel Riding Grounds;;;;
ca_culture_group_north_african_1               ;Camel Riding Grounds;Camel Riding Grounds;Zanatan Riding Ground;;Zenata Riding Ground;
ca_culture_group_north_african_2               ;Camel Riding Grounds;Camel Riding Grounds;Zanatan Riding Ground;;Zenata Riding Ground;
ca_culture_group_north_african_3               ;Camel Riding Grounds;Camel Riding Grounds;Zanatan Riding Ground;;Zenata Riding Ground;
ca_culture_group_north_african_4               ;Camel Riding Grounds;Camel Riding Grounds;Zanatan Riding Ground;;Zenata Riding Ground;
ca_culture_group_north_african_5               ;        ;Camel Riding Grounds;;;;
ca_culture_group_north_african_1_desc          ;Lightly-armored camelry train here in the art of flanking and peppering the enemy with arrows and javelins.;Lightly-armored camelry train here in the art of flanking and peppering the enemy with arrows and javelins..;Capable of producing the fastest and most mobile cavalry in North Africa, the Zenata tribe was revered for their horsemanship to a degree that they were deemed essential for the Almohad effort to expand their power. Catholic Iberians weren't slow to realize the potency of these warriors and as a result moved to copy the tactics of the hard tribesmen with their own Jinettes.;;Capable of producing the fastest and most mobile cavalry in North Africa, the Zenata tribe was revered for their horsemanship to a degree that they were deemed essential for the Almohad effort to expand their power. Catholic Iberians weren’t slow to realize the potency of these warriors and as a result moved to copy the tactics of the hard tribesmen with their own Jinettes.;
ca_culture_catalan_1                           ;        ;Almoghavars Conscription Camp;Almoghavars Conscription Camp;;Almogavar Conscription Camp;
ca_culture_catalan_2                           ;        ;Almoghavars Conscription Camp;Almoghavars Conscription Camp;;Almogavar Conscription Camp;
ca_culture_catalan_3                           ;        ;Almoghavars Conscription Camp;Almoghavars Conscription Camp;;Almogavar Conscription Camp;
ca_culture_catalan_4                           ;        ;Almoghavars Conscription Camp;Almoghavars Conscription Camp;;Almogavar Conscription Camp;
ca_culture_catalan_5                           ;Almogavar Conscription Camp;Almoghavars Conscription Camp;;;;
ca_culture_catalan_0                           ;Almogavar Conscription Camp;Almoghavars Conscription Camp;;;;
ca_culture_catalan_1_desc                      ;Lightly-armored irregulars gather here in hopes of joining up with an army that can feed them more than brigandage can. Skilled with raiding the enemy with arrows and javelins, these unscrupulous ruffians can be a terror to an unsuspecting enemy.;Lightly-armored irregulars gather here in hopes of joining up with an army that can feed them more than brigandage can. Skilled with raiding the enemy with arrows and javelins, these unscrupulous ruffians can be a terror to an unsuspecting enemy.;Almoghavars are a hardy bunch. Lightly armored but unrelenting, these mercenaries are a force to be respected.;;Almoghavars are a hardy bunch. Lightly armored but unrelenting, these mercenaries are a force to be respected.;
ca_culture_assyrian_1                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_2                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_3                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_4                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_5                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_0                          ;        ;Kashat Archery Range;;;;
ca_culture_assyrian_1_desc                     ;        ;The Syrian tradition of training eagle-eyed archers is kept alive here, stretching back even to antiquity when these warriors served as auxiliaries in Roman legions.;;;;
#1_PB_decisions.csv;;;;;
#1_PB_effects.csv;;;;;
#1_PB_events.csv;;;;;
#1_PB_flavor.csv;;;;;
#1_PB_laws.csv;;;;;
#1_PB_loans.csv;;;;;
#1_PB_martial_prowess.csv;;;;;
#1_PB_new_titles.csv;;;;;
e_bulgaria                                     ;        ;Bulgarian Empire;;;;
e_bulgaria_adj                                 ;        ;Bulgarian;;;;
#1_PB_objectives.csv;;;;;
#1_PB_tournaments.csv;;;;;
#1_PB_various.csv;;;;;
#1_PB_war_checks.csv;;;;;
#1_VIET_Bookmarks.csv;;;;;
BM_SCOURGE_OF_GOD                              ;        ;Scourge of God;;;;
BM_SCOURGE_OF_GOD_DESC                         ;        ;From the East they came, ruthless and without mercy: strange men, dressed in exotic armor and speaking in guttural tongues that none understood. Rumors carried across the Silk Road and the Indian Ocean have told of how Genghis Khan and his invincible Mongol hordes shattered the greatest empires of the known world, from Cathay to Persia. Though Genghis Khan is now dead, the sons and grandsons of Genghis intend to continue his conquests. They have their eyes upon Europe and the rest of the Middle East, and the entire world may be united under the banner of Genghis… if his descendants do not end up fighting among themselves, that is. Perhaps the end of days has finally come at last, a punishment for the sins of the wicked… or perhaps this is God’s greatest test yet for the faithful.;;;;
BM_OSMANS_DREAM                                ;        ;Osman’s Dream;;;;
BM_OSMANS_DREAM_DESC                           ;With the breakup of the Sultanate of Rum and the decline of the Byzantine Empire, several warlords in Anatolia seek fame and glory in the ensuing power vacuum. Foremost among them is Osman, a pious and brave man. According to a dream he had many, many years ago, great things are in store for Osman and his dynasty. They might even conquer great Constantinople one day. But the journey to Constantinople won’t be easy, and the Byzantine Empire, which has resisted attack after attack for almost a thousand years, will not go down without a fight.;With the breakup of the Sultanate of the Rum and the decline of the Byzantine Empire, several warlords in Anatolia seek fame and glory in the ensuing power vacuum. Foremost among them is Osman, a pious and brave man. According to a dream he had many, many years ago, great things are in store for Osman and his dynasty. They might even conquer great Constantinople one day. But the journey to Constantinople won’t be easy, and the Byzantine Empire, which has resisted attack after attack for almost a thousand years, will not go down without a fight.;;;;
BM_KHITAN                                      ;        ;The Khitan;;;;
BM_KHITAN_DESC                                 ;For more than two centuries, the Khitan were the rightful rulers of northern China, perfectly balancing their traditional, nomadic way of life, and the urbane, sophisticated culture of their Chinese subjects. However, overthrown by their Jurchen vassals in the early years of the 12th century, remnants of the once-great Khitan have fled to Central Asia, where they seek to re-create their imperial splendor. Having just defeated the once-mighty Karakhanids and the Seljuks, the Khitan now have a foothold in the region. Will they continue their conquests, spreading their Sinicized nomadic culture and their Buddhist faith, or will they settle down, content with re-creating their Chinese empire in Central Asia? All that is certain is that the Khitan are not the first horde to appear suddenly from the far east, nor will they be the last.;For more than two centuries, the Khitan were the rightful rulers of northern China, perfectly balancing their traditional, nomadic way of life, and the urbane, sophisticated culture of their Chinese subjects. However, overthrown by their Jurchen vassals in the early years of the 12th century, remnants of the once-great Khitan have fled to Central Asia, where they seek to re-create their imperial splendor. Having just defeated the once-mighty Kara-Khanids and the Seljuks, the Khitan now have a foothold in the region. Will they continue their conquests, spreading their Sinicized nomadic culture and their Buddhist faith, or will they settle down, content with re-creating their Chinese empire in Central Asia? All that is certain is that the Khitan are not the first horde to appear suddenly from the far east, nor will they be the last.;;;;
#1_VIET_Traits.csv;;;;;
#1_emf_adventurer.csv;;;;;
#1_emf_ambitions.csv;;;;;
#1_emf_autolander.csv;;;;;
#1_emf_builder.csv;;;;;
#1_emf_buildings.csv;;;;;
ca_culture_indian_0                            ;        ;War Elephant Pens;;;;
ca_culture_indian_5                            ;        ;War Elephant Pens;;;;
ca_culture_germanic_0                          ;        ;Germanic Infantry Barracks;;;;
ca_culture_germanic_5                          ;        ;Germanic Infantry Barracks;;;;
ca_culture_pictish_0                           ;        ;Hall of War;;;;
ca_culture_pictish_5                           ;        ;Hall of War;;;;
ca_culture_suebi_0                             ;        ;Free Warrior Camp;;;;
ca_culture_suebi_5                             ;        ;Free Warrior Camp;;;;
#1_emf_cb.csv;;;;;
#1_emf_core.csv;;;;;
title_despot_noconclave_desc                   ;        ;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;;;;
ERA_CHAR_INFO_122                              ;        ; ; ;;;
#1_emf_cost_tooltips_codegen.csv;;;;;
#1_emf_crier.csv;;;;;
#1_emf_crusade.csv;;;;;
#1_emf_cta.csv;;;;;
#1_emf_customizer.csv;;;;;
#1_emf_debug.csv;;;;;
#1_emf_decadence.csv;;;;;
#1_emf_dynlevy.csv;;;;;
#1_emf_empires.csv;;;;;
#1_emf_faction.csv;;;;;
#1_emf_feudalizer.csv;;;;;
#1_emf_game_rules.csv;;;;;
#1_emf_historical.csv;;;;;
#1_emf_holy_orders.csv;;;;;
d_arsiyah                                      ;        ;Arsiyah;;;;
d_arsiyah_adj                                  ;        ;Arsiyah;;;;
d_saqaliba                                     ;        ;Saqaliba;;;;
d_saqaliba_adj                                 ;Saqaliba;Saqlabi;;;;
#1_emf_imperial.csv;;;;;
ca_imperial_dec_1                              ;        ;Imperial Decay: 10-20;;;;
ca_imperial_dec_2                              ;        ;Imperial Decay: 20-30;;;;
ca_imperial_dec_3                              ;        ;Imperial Decay: 30-40;;;;
ca_imperial_dec_4                              ;        ;Imperial Decay: 40-50;;;;
ca_imperial_dec_5                              ;        ;Imperial Decay: 50-60;;;;
ca_imperial_dec_6                              ;        ;Imperial Decay: 60-70;;;;
ca_imperial_dec_7                              ;        ;Imperial Decay: 70-80;;;;
ca_imperial_dec_8                              ;        ;Imperial Decay: 80-100;;;;
ca_imperial_dec_desc                           ;The decay and corruption within the imperial government has reduced its effectiveness at recruiting and maintaining a standing army.;The decay and corruption within the Imperial government has reduced its effectiveness at recruiting and maintaining a standing army.;;;;
tp_imperial_dec_1                              ;        ;Imperial Decay: 10-20;;;;
tp_imperial_dec_2                              ;        ;Imperial Decay: 20-30;;;;
tp_imperial_dec_3                              ;        ;Imperial Decay: 30-40;;;;
tp_imperial_dec_4                              ;        ;Imperial Decay: 40-50;;;;
tp_imperial_dec_5                              ;        ;Imperial Decay: 50-60;;;;
tp_imperial_dec_6                              ;        ;Imperial Decay: 60-70;;;;
tp_imperial_dec_7                              ;        ;Imperial Decay: 70-80;;;;
tp_imperial_dec_8                              ;        ;Imperial Decay: 80-100;;;;
#1_emf_intrigue.csv;;;;;
#1_emf_laws.csv;;;;;
#1_emf_lucky.csv;;;;;
#1_emf_magyars.csv;;;;;
tb_emf_magyar_1                                ;        ;Magyar Divisions;;;;
tb_emf_magyar_desc                             ;        ;For years, the Magyar clans have been torn apart by internal wars and strife. Many believe this has left the clans weakened, and while there is hope for eventual recovery, some believe it will be too late and that the clans are in a state which has left them weak to attack from neighbors.;;;;
#1_emf_marriage.csv;;;;;
#1_emf_mongols.csv;;;;;
MOGHUL                                         ;        ;Moghul Khanate;;;;
MOGHUL_ADJ                                     ;        ;Moghul;;;;
#1_emf_mr.csv;;;;;
#1_emf_nde.csv;;;;;
#1_emf_nomad.csv;;;;;
no_lucky_desc                                  ;        ;AI bonus for nomad Lucky Rulers.;;;;
no_lucky_1                                     ;        ;Lucky Warhorse Stables;;;;
#1_emf_notify_codegen.csv;;;;;
#1_emf_nwo.csv;;;;;
#1_emf_prisoner.csv;;;;;
#1_emf_regional.csv;;;;;
#1_emf_religion.csv;;;;;
adoptionist                                    ;        ;Adoptionist;Adoptionist;;Adoptionist;
adoptionist_DESC                               ;        ;Adoptionists reject the Holy Trinity, believing that Jesus Christ was adopted as God's son at his ascension, chosen because of his sinless devotion to the will of God. They do not revere the Holy Mary, and were declared a Christian heresy at the end of the 2nd Century.;Adoptionists reject the Holy Trinity, believing that Jesus Christ was adopted as God's son at his ascension, chosen because of his sinless devotion to the will of God. They do not revere the Holy Mary, and were declared a Christian heresy at the end of the 2nd Century.;;Adoptionists reject the Holy Trinity, believing that Jesus Christ was adopted as God’s son at his ascension, chosen because of his sinless devotion to the will of God. They do not revere the Holy Mary, and were declared a Christian heresy at the end of the 2nd century.;
apostolic                                      ;        ;Apostolic;Apostolic;;Apostolic;
apostolic_DESC                                 ;Sometimes referred to as “Gregorian,” this was one of the early Christian faiths, founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century on a matter of Christology – they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.\n§Y*§! Learned Apostolics may subscribe to the Alexandrite school of theology;Sometimes referred to as 'Gregorian', this was one of the early Christian faiths founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century as a matter of Christology -- they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.\n§Y*§! Learned Apostolics may subscribe to the Alexandrite school of theology;Sometimes referred to as 'Gregorian', this was one of the early Christian faiths founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century as a matter of Christology -- they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.;;Sometimes referred to as “Gregorian,” this was one of the early Christian faiths, founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century on a matter of Christology – they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.;
arian                                          ;        ;Arian;Arian;;Arian;
arian_DESC                                     ;        ;Arianism is a nontrinitarian belief that asserts that Jesus Christ is a Son of God, created by God the Father, distinct from the Father and therefore subordinate to the Father. It denies that Jesus is God the Son. The Ecumenical First Council of Nicaea of 325 AD deemed it to be a heresy.;Arianism is a nontrinitarian belief that asserts that Jesus Christ is a Son of God, created by God the Father, distinct from the Father and therefore subordinate to the Father. It denies that Jesus is God the Son. The Ecumenical First Council of Nicaea of 325 AD deemed it to be a heresy.;;Arianism is a nontrinitarian belief that asserts that Jesus Christ is a Son of God, created by God the Father, distinct from the Father and therefore subordinate to the Father. It denies that Jesus is God the Son. The Ecumenical First Council of Nicaea of 325 AD deemed it to be a heresy.;
haruri                                         ;        ;Haruri;Haruri;;Haruri;
haruri_DESC                                    ;        ;The Haruri are a sect from the period of the Four Rightly-Guided Caliphs, named for their first leader, Habib ibn-Yazid al-Haruri. The Haruri were originally one branch of the Khariji 'Rejectors' movement, so called because they rejected Ali's right to the Caliphate.;The Haruri are a sect from the period of the Four Rightly-Guided Caliphs, named for their first leader, Habib ibn-Yazid al-Haruri. The Haruri were originally one branch of the Khariji 'Rejectors' movement, so called because they rejected Ali's right to the Caliphate.;;The Haruri are a sect from the period of the Rashidun Caliphs, named for their first leader, Habib ibn-Yazid al-Haruri. The Haruri were originally one branch of the Kharijite “Rejectors” movement, so called because they rejected Ali’s right to the Caliphate.;
ismaili                                        ;        ;Isma'ili;Isma'ili;;Isma‘ili;
