#CODE                                                       ;SED+EMF ;EMF;SWMH;OTHER;SED;VANILLA
Germania                                                    ;Germania;Germania;;;;
imperial_emperor_norwegian                                  ;Emperor ;Keisari;;;;
imperial_emperor_female_gothic                              ;Empress ;Keisaraynja;;;;
imperial_emperor_female_icelandic                           ;Empress ;Keisaraynja;;;;
imperial_emperor_female_norse                               ;Empress ;Keisaraynja;;;;
imperial_emperor_female_danish                              ;Empress ;Keisaraynja;;;;
imperial_emperor_female_swedish                             ;Empress ;Keisaraynja;;;;
imperial_emperor_female_norwegian                           ;Empress ;Keisaraynja;;;;
imperial_baron_title_ruler_consort_gothic                   ;        ;Herra;;;;
imperial_baron_title_ruler_consort_icelandic                ;        ;Herra;;;;
imperial_baron_title_ruler_consort_danish                   ;        ;Herra;;;;
imperial_baron_title_ruler_consort_swedish                  ;        ;Herra;;;;
imperial_baron_title_ruler_consort_norwegian                ;        ;Herra;;;;
imperial_baron_title_ruler_consort_female_gothic            ;Mistress;Frú;;;;
imperial_baron_title_ruler_consort_female_icelandic         ;Mistress;Frú;;;;
imperial_baron_title_ruler_consort_female_danish            ;Mistress;Frú;;;;
imperial_baron_title_ruler_consort_female_swedish           ;Mistress;Frú;;;;
imperial_baron_title_ruler_consort_female_norwegian         ;Mistress;Frú;;;;
imperial_count_title_ruler_consort_gothic                   ;        ;Herra;;;;
imperial_count_title_ruler_consort_icelandic                ;Landnámaður;Herra;;;;
imperial_count_title_ruler_consort_danish                   ;        ;Herra;;;;
imperial_count_title_ruler_consort_swedish                  ;        ;Herra;;;;
imperial_count_title_ruler_consort_norwegian                ;Lendmann;Herra;;;;
imperial_count_title_ruler_consort_female_gothic            ;Mistress;Frú;;;;
imperial_count_title_ruler_consort_female_icelandic         ;Mistress;Frú;;;;
imperial_count_title_ruler_consort_female_danish            ;Mistress;Frú;;;;
imperial_count_title_ruler_consort_female_swedish           ;Mistress;Frú;;;;
imperial_count_title_ruler_consort_female_norwegian         ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_gothic                    ;        ;Herra;;;;
imperial_duke_title_ruler_consort_icelandic                 ;        ;Herra;;;;
imperial_duke_title_ruler_consort_danish                    ;        ;Herra;;;;
imperial_duke_title_ruler_consort_swedish                   ;        ;Herra;;;;
imperial_duke_title_ruler_consort_norwegian                 ;        ;Herra;;;;
imperial_duke_title_ruler_consort_female_gothic             ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_female_icelandic          ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_female_danish             ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_female_swedish            ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_female_norwegian          ;Mistress;Frú;;;;
imperial_duke_title_ruler_consort_female_norse              ;Mistress;Frú;;;;
imperial_title_ruler_consort_gothic                         ;King    ;Konungr;;;;
imperial_title_ruler_consort_icelandic                      ;King    ;Konungr;;;;
imperial_title_ruler_consort_danish                         ;King    ;Konungr;;;;
imperial_title_ruler_consort_swedish                        ;King    ;Konungr;;;;
imperial_title_ruler_consort_norwegian                      ;King    ;Konungr;;;;
imperial_title_ruler_consort_norse                          ;King    ;Konungr;;;;
imperial_title_ruler_consort_female_gothic                  ;Queen   ;Dróttning;;;;
imperial_title_ruler_consort_female_icelandic               ;Queen   ;Dróttning;;;;
imperial_title_ruler_consort_female_norse                   ;Queen   ;Dróttning;;;;
imperial_title_ruler_consort_female_danish                  ;Queen   ;Dróttning;;;;
imperial_title_ruler_consort_female_swedish                 ;Queen   ;Dróttning;;;;
imperial_title_ruler_consort_female_norwegian               ;Queen   ;Dróttning;;;;
imperial_emperor_title_ruler_consort_danish                 ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_swedish                ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_icelandic              ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_gothic                 ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_norwegian              ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_norse                  ;Emperor ;Keisari;;;;
imperial_emperor_title_ruler_consort_female_danish          ;Empress ;Keisaraynja;;;;
imperial_emperor_title_ruler_consort_female_swedish         ;Empress ;Keisaraynja;;;;
imperial_emperor_title_ruler_consort_female_norwegian       ;Empress ;Keisaraynja;;;;
imperial_emperor_title_ruler_consort_female_icelandic       ;Empress ;Keisaraynja;;;;
imperial_emperor_title_ruler_consort_female_norse           ;Empress ;Keisaraynja;;;;
imperial_emperor_title_ruler_consort_female_gothic          ;Empress ;Keisaraynja;;;;
imperial_title_prince_swedish                               ;Prince  ;Prins;;;;
imperial_title_prince_female_swedish                        ;Princess;Prinsesse;;;;
imperial_title_prince_danish                                ;Prince  ;Prins;;;;
imperial_title_prince_female_danish                         ;Princess;Prinsesse;;;;
imperial_title_prince_norwegian                             ;Prince  ;Prins;;;;
imperial_title_prince_female_norwegian                      ;Princess;Prinsesse;;;;
imperial_duchy_of_icelandic                                 ;        ;Jarldom of;;;;
imperial_duchy_of_gothic                                    ;        ;Jarldom of;;;;
imperial_duchy_of_swedish                                   ;        ;Jarldom of;;;;
imperial_duchy_of_danish                                    ;        ;Jarldom of;;;;
imperial_duchy_of_norwegian                                 ;        ;Jarldom of;;;;
imperial_county_of_norwegian                                ;County of;Fylki of;;;;
imperial_kingdom_of_icelandic                               ;Kingdom of;Konungríki of;;;;
imperial_kingdom_of_gothic                                  ;Kingdom of;Konungríki of;;;;
imperial_kingdom_of_swedish                                 ;Kingdom of;Konungríki of;;;;
imperial_kingdom_of_danish                                  ;Kingdom of;Konungríki of;;;;
imperial_kingdom_of_norwegian                               ;Kingdom of;Konungríki of;;;;
imperial_kingdom_of_norse                                   ;Kingdom of;Konungríki of;;;;
imperial_kingdom_icelandic                                  ;Kingdom ;Konungríki;;;;
imperial_kingdom_gothic                                     ;Kingdom ;Konungríki;;;;
imperial_kingdom_swedish                                    ;Kingdom ;Konungríki;;;;
imperial_kingdom_danish                                     ;Kingdom ;Konungríki;;;;
imperial_kingdom_norwegian                                  ;Kingdom ;Konungríki;;;;
imperial_kingdom_norse                                      ;Kingdom ;Konungríki;;;;
imperial_duchy_icelandic                                    ;        ;Jarldom;;;;
imperial_duchy_gothic                                       ;        ;Jarldom;;;;
imperial_duchy_swedish                                      ;        ;Jarldom;;;;
imperial_duchy_danish                                       ;        ;Jarldom;;;;
imperial_duchy_norwegian                                    ;        ;Jarldom;;;;
imperial_county_norwegian                                   ;County  ;Fylki;;;;
imperial_baron_russian                                      ;Boyar   ;Boyarin;;;;
imperial_baron_female_russian                               ;Boyarynia;Boyarynya;;;;
imperial_baron_title_ruler_consort_russian                  ;Boyar   ;Boyarin;;;;
imperial_baron_title_ruler_consort_female_russian           ;Boyarynia;Boyarynya;;;;
imperial_count_russian                                      ;Prince  ;Udelny Knyaz;;;;
imperial_count_female_russian                               ;Princess;Udelnaya Knyaginya;;;;
imperial_count_title_ruler_consort_russian                  ;Prince  ;Udelny Knyaz;;;;
imperial_count_title_ruler_consort_female_russian           ;Princess;Knyaginya;;;;
imperial_duke_russian                                       ;Prince  ;Knyaz;;;;
imperial_duke_female_russian                                ;Princess;Knyaginya;;;;
imperial_duke_title_ruler_consort_russian                   ;Prince  ;Knyaz;;;;
imperial_duke_title_ruler_consort_female_russian            ;Princess;Knyaginya;;;;
imperial_king_russian                                       ;Grand Duke;Veliky Knyaz;;;;
imperial_king_female_russian                                ;Grand Duchess;Velikaya Knyaginya;;;;
imperial_title_ruler_consort_russian                        ;Grand Duke;Veliky Knyaz;;;;
imperial_title_ruler_consort_female_russian                 ;Princess;Knyaginya;;;;
imperial_emperor_russian                                    ;        ;Tsar;;;;
imperial_emperor_female_russian                             ;Tsarina ;Tsaritsa;;;;
imperial_emperor_title_ruler_consort_russian                ;Grand Duke;Velikiy Kniaz;;;;
imperial_emperor_title_ruler_consort_female_russian         ;Tsarina ;Tsaritsa;;;;
imperial_title_prince_russian                               ;        ;Knyazhich;;;;
imperial_title_prince_female_russian                        ;        ;Knyazhna;;;;
imperial_barony_of_russian                                  ;        ;Volost of;;;;
imperial_county_of_russian                                  ;Udel of ;Udelnoe Knyazhestvo of;;;;
imperial_duchy_of_russian                                   ;Duchy of;Knyazhestvo of;;;;
imperial_kingdom_of_russian                                 ;Grand Duchy of;Velikoe Knyazhestvo of;;;;
imperial_empire_of_russian                                  ;Tsardom of;Tsarstvo of;;;;
imperial_baron_scottish                                     ;Chieftain;Toisech;;;;
imperial_baron_female_scottish                              ;Chieftess;Toisecha;;;;
imperial_baron_title_ruler_consort_scottish                 ;Chieftain;Toisech;;;;
imperial_baron_title_ruler_consort_female_scottish          ;Chieftess;Toisecha;;;;
imperial_count_scottish                                     ;        ;Earl;;;;
imperial_count_title_ruler_consort_scottish                 ;        ;Earl;;;;
imperial_duke_scottish                                      ;Earl    ;Mormaer;;;;
imperial_duke_title_ruler_consort_scottish                  ;Earl    ;Mormaer;;;;
imperial_county_of_scottish                                 ;        ;Earldom of;;;;
imperial_duchy_of_scottish                                  ;        ;Mormaerdom of;;;;
imperial_baron_irish                                        ;Tigerna ;Tiarna;;;;
imperial_baron_female_irish                                 ;Lady    ;Bantiarna;;;;
imperial_baron_title_ruler_consort_irish                    ;Tigerna ;Tiarna;;;;
imperial_baron_title_ruler_consort_female_irish             ;Lady    ;Bantiarna;;;;
imperial_count_irish                                        ;        ;Ri Buiden;;;;
imperial_count_female_irish                                 ;Lady    ;Bantiarna;;;;
imperial_count_title_ruler_consort_irish                    ;        ;Ri Buiden;;;;
imperial_count_title_ruler_consort_female_irish             ;Lady    ;Bantiarna;;;;
imperial_duke_irish                                         ;Rí Ruirech;Ri Ruirech;;;;
imperial_duke_female_irish                                  ;Lady    ;Bantiarna;;;;
imperial_duke_title_ruler_consort_irish                     ;Rí Ruirech;Ri Ruirech;;;;
imperial_duke_title_ruler_consort_female_irish              ;Lady    ;Bantiarna;;;;
imperial_king_irish                                         ;High King;Ard Rí;;;;
imperial_king_female_irish                                  ;Queen   ;Banríon;;;;
imperial_king_title_ruler_consort_irish                     ;High King;Ard Rí;;;;
imperial_king_title_ruler_consort_female_irish              ;Queen   ;Banríon Chéile;;;;
imperial_emperor_irish                                      ;        ;Ollamh Érenn;;;;
imperial_emperor_female_irish                               ;        ;Ollamh Érenn;;;;
imperial_emperor_title_ruler_consort_female_irish           ;        ;Ollamh Érenn;;;;
imperial_title_prince_irish                                 ;        ;Flaith;;;;
imperial_title_prince_female_irish                          ;        ;Banfhlaith;;;;
imperial_barony_of_irish                                    ;People of;Tuath of;;;;
imperial_county_of_irish                                    ;Province of;Cóicid of;;;;
imperial_duchy_of_irish                                     ;        ;Kingdom of;;;;
imperial_kingdom_of_irish                                   ;        ;Kingdom of;;;;
imperial_empire_of_irish                                    ;        ;Kingdom of;;;;
imperial_baron_welsh                                        ;Tigerna ;Tiarna;;;;
imperial_baron_female_welsh                                 ;Lady    ;Bantiarna;;;;
imperial_baron_title_ruler_consort_welsh                    ;Tigerna ;Tiarna;;;;
imperial_baron_title_ruler_consort_female_welsh             ;Lady    ;Bantiarna;;;;
imperial_count_welsh                                        ;        ;Tywysog;;;;
imperial_count_title_ruler_consort_welsh                    ;        ;Tywysoges;;;;
imperial_duke_welsh                                         ;        ;Tywysog;;;;
imperial_duke_female_welsh                                  ;        ;Tywysoges;;;;
imperial_duke_title_ruler_consort_welsh                     ;        ;Tywysog;;;;
imperial_duke_title_ruler_consort_female_welsh              ;        ;Tywysoges;;;;
imperial_king_welsh                                         ;King    ;Brenin;;;;
imperial_king_female_welsh                                  ;Queen   ;Breninhes;;;;
imperial_king_title_ruler_consort_welsh                     ;King    ;Brenin;;;;
imperial_king_title_ruler_consort_female_welsh              ;Queen   ;Breninhes;;;;
imperial_emperor_welsh                                      ;King    ;Brenin;;;;
imperial_emperor_female_welsh                               ;Queen   ;Breninhes;;;;
imperial_emperor_title_ruler_consort_female_welsh           ;Queen   ;Breninhes;;;;
imperial_title_prince_welsh                                 ;Heir    ;Etifedd;;;;
imperial_barony_of_welsh                                    ;Commote of;Cwmwd o;;;;
imperial_county_of_welsh                                    ;Cantref of;Cantref o;;;;
imperial_duchy_of_welsh                                     ;Principality of;Tywysogaeth o;;;;
imperial_kingdom_of_welsh                                   ;Kingdom of;Teyrnas o;;;;
imperial_empire_of_welsh                                    ;Kingdom of;Teyrnas o;;;;
imperial_baron_cumbric                                      ;Tigerna ;Tiarna;;;;
imperial_baron_female_cumbric                               ;Lady    ;Bantiarna;;;;
imperial_baron_title_ruler_consort_cumbric                  ;Tigerna ;Tiarna;;;;
imperial_baron_title_ruler_consort_female_cumbric           ;Lady    ;Bantiarna;;;;
imperial_count_cumbric                                      ;        ;Tywysog;;;;
imperial_count_title_ruler_consort_cumbric                  ;        ;Tywysoges;;;;
imperial_duke_cumbric                                       ;        ;Tywysog;;;;
imperial_duke_female_cumbric                                ;        ;Tywysoges;;;;
imperial_duke_title_ruler_consort_cumbric                   ;        ;Tywysog;;;;
imperial_duke_title_ruler_consort_female_cumbric            ;        ;Tywysoges;;;;
imperial_king_cumbric                                       ;King    ;Brenin;;;;
imperial_king_female_cumbric                                ;Queen   ;Breninhes;;;;
imperial_king_title_ruler_consort_cumbric                   ;King    ;Brenin;;;;
imperial_king_title_ruler_consort_female_cumbric            ;Queen   ;Breninhes;;;;
imperial_emperor_cumbric                                    ;King    ;Brenin;;;;
imperial_emperor_female_cumbric                             ;Queen   ;Breninhes;;;;
imperial_emperor_title_ruler_consort_female_cumbric         ;Queen   ;Breninhes;;;;
imperial_title_prince_cumbric                               ;Heir    ;Etifedd;;;;
imperial_barony_of_cumbric                                  ;Commote of;Cwmwd o;;;;
imperial_county_of_cumbric                                  ;Cantref of;Cantref o;;;;
imperial_duchy_of_cumbric                                   ;Principality of;Tywysogaeth o;;;;
imperial_kingdom_of_cumbric                                 ;Kingdom of;Teyrnas o;;;;
imperial_empire_of_cumbric                                  ;Kingdom of;Teyrnas o;;;;
imperial_baron_cornish                                      ;Tigerna ;Tiarna;;;;
imperial_baron_female_cornish                               ;Lady    ;Bantiarna;;;;
imperial_baron_title_ruler_consort_cornish                  ;Tigerna ;Tiarna;;;;
imperial_baron_title_ruler_consort_female_cornish           ;Lady    ;Bantiarna;;;;
imperial_count_cornish                                      ;        ;Tywysog;;;;
imperial_count_title_ruler_consort_cornish                  ;        ;Tywysoges;;;;
imperial_duke_cornish                                       ;        ;Tywysog;;;;
imperial_duke_female_cornish                                ;        ;Tywysoges;;;;
imperial_duke_title_ruler_consort_cornish                   ;        ;Tywysog;;;;
imperial_duke_title_ruler_consort_female_cornish            ;        ;Tywysoges;;;;
imperial_king_cornish                                       ;King    ;Brenin;;;;
imperial_king_female_cornish                                ;Queen   ;Breninhes;;;;
imperial_king_title_ruler_consort_cornish                   ;King    ;Brenin;;;;
imperial_king_title_ruler_consort_female_cornish            ;Queen   ;Breninhes;;;;
imperial_emperor_cornish                                    ;King    ;Brenin;;;;
imperial_emperor_female_cornish                             ;Queen   ;Breninhes;;;;
imperial_emperor_title_ruler_consort_female_cornish         ;Queen   ;Breninhes;;;;
imperial_title_prince_cornish                               ;Heir    ;Etifedd;;;;
imperial_barony_of_cornish                                  ;Commote of;Cwmwd o;;;;
imperial_county_of_cornish                                  ;Cantref of;Cantref o;;;;
imperial_duchy_of_cornish                                   ;Principality of;Tywysogaeth o;;;;
imperial_kingdom_of_cornish                                 ;Kingdom of;Teyrnas o;;;;
imperial_empire_of_cornish                                  ;Kingdom of;Teyrnas o;;;;
imperial_duke_lithuanian                                    ;Duke    ;Kunigaikštis;;;;
imperial_duke_female_lithuanian                             ;Duchess ;Kunigaikštiene;;;;
imperial_king_lithuanian                                    ;Grand Duke;Didysis Kunigaikštis;;;;
imperial_king_female_lithuanian                             ;Grand Duchess;Dydžioji Kunigaikštiene;;;;
imperial_king_title_ruler_consort_lithuanian                ;Duke    ;Kunigaikštis;;;;
imperial_king_title_ruler_consort_female_lithuanian         ;Duchess ;Kunigaikštiene;;;;
imperial_emperor_female_lithuanian                          ;Grand Duchess;Dydžioji Kunigaikštiene;;;;
imperial_emperor_title_ruler_consort_lithuanian             ;Duke    ;Kunigaikštis;;;;
imperial_emperor_title_ruler_consort_female_lithuanian      ;Grand Duchess;Dydžioji Kunigaikštiene;;;;
imperial_kingdom_of_lithuanian                              ;Grand Duchy of;Dydžioji Kunigaikštyste;;;;
imperial_count_lithuanian                                   ;Voivode ;Vaivadas;;;;
imperial_baron_lithuanian                                   ;        ;Bajoras;;;;
imperial_count_english                                      ;        ;Earl;;;;
imperial_count_title_ruler_consort_english                  ;        ;Earl;;;;
imperial_county_of_english                                  ;        ;Earldom of;;;;
imperial_baron_saxon                                        ;        ;Thegn;;;;
imperial_baron_title_ruler_consort_saxon                    ;        ;Thegn;;;;
imperial_count_saxon                                        ;        ;Ealdorman;;;;
imperial_count_female_saxon                                 ;Lady    ;Hlæfdige;;;;
imperial_count_title_ruler_consort_saxon                    ;        ;Ealdorman;;;;
imperial_count_title_ruler_consort_female_saxon             ;Lady    ;Hlæfdige;;;;
imperial_duke_saxon                                         ;Earl    ;Eorl;;;;
imperial_duke_female_saxon                                  ;Lady    ;Hlæfdige;;;;
imperial_duke_title_ruler_consort_saxon                     ;Earl    ;Eorl;;;;
imperial_duke_title_ruler_consort_female_saxon              ;Lady    ;Hlæfdige;;;;
imperial_duchy_of_saxon                                     ;Earldom of;Eorldom of;;;;
imperial_county_of_saxon                                    ;Shire of;Scír of;;;;
imperial_king_saxon                                         ;King    ;Cyning;;;;
imperial_king_female_saxon                                  ;Queen   ;Cwén;;;;
imperial_king_title_ruler_consort_saxon                     ;King    ;Cyning;;;;
imperial_king_title_ruler_consort_female_saxon              ;Queen   ;Cwén;;;;
imperial_title_prince_saxon                                 ;        ;Ætheling;;;;
imperial_kingdom_of_saxon                                   ;Kingdom of;Cyningríce of;;;;
imperial_kingdom_saxon                                      ;Kingdom ;Cyningríce;;;;
imperial_emperor_saxon                                      ;Emperor ;Héahcásere;;;;
imperial_emperor_female_saxon                               ;Queen   ;þéodcwén;;;;
imperial_emperor_title_ruler_consort_saxon                  ;Emperor ;Héahcásere;;;;
imperial_emperor_title_ruler_consort_female_saxon           ;Queen   ;þéodcwén;;;;
imperial_empire_saxon                                       ;Empire  ;Héafodríce;;;;
imperial_empire_of_saxon                                    ;Empire of;Héafodríce of;;;;
imperial_county_saxon                                       ;Shire   ;Scír;;;;
imperial_baron_frankish                                     ;        ;Baron;;;;
imperial_baron_female_frankish                              ;Baroness;Baronne;;;;
imperial_baron_title_ruler_consort_frankish                 ;        ;Baron;;;;
imperial_baron_title_ruler_consort_female_frankish          ;Baroness;Baronne;;;;
imperial_count_frankish                                     ;Count   ;Comte;;;;
imperial_count_female_frankish                              ;Countess;Comtesse;;;;
imperial_count_title_ruler_consort_frankish                 ;Count   ;Comte;;;;
imperial_count_title_ruler_consort_female_frankish          ;Countess;Comtesse;;;;
imperial_duke_frankish                                      ;Duke    ;Duc;;;;
imperial_duke_female_frankish                               ;Duchess ;Duchesse;;;;
imperial_duke_title_ruler_consort_frankish                  ;Duke    ;Duc;;;;
imperial_duke_title_ruler_consort_female_frankish           ;Duchess ;Duchesse;;;;
imperial_king_frankish                                      ;King    ;Roi;;;;
imperial_king_female_frankish                               ;Queen   ;Reine;;;;
imperial_king_title_ruler_consort_frankish                  ;King    ;Roi;;;;
imperial_king_title_ruler_consort_female_frankish           ;Queen   ;Reine;;;;
imperial_emperor_frankish                                   ;Emperor ;Empereur;;;;
imperial_emperor_female_frankish                            ;Empress ;Impératrice;;;;
imperial_emperor_title_ruler_consort_female_frankish        ;Empress ;Impératrice;;;;
imperial_title_prince_frankish                              ;        ;Prince;;;;
imperial_title_prince_female_frankish                       ;Princess;Princesse;;;;
imperial_barony_of_frankish                                 ;Barony of;Baronnie de;;;;
imperial_county_of_frankish                                 ;County of;Comté de;;;;
imperial_duchy_of_frankish                                  ;Duchy of;Duché de;;;;
imperial_kingdom_of_frankish                                ;Kingdom of;Royaume de;;;;
imperial_barony_frankish                                    ;Barony  ;Baronnie;;;;
imperial_county_frankish                                    ;County  ;Comté;;;;
imperial_duchy_frankish                                     ;Duchy   ;Duché;;;;
imperial_kingdom_frankish                                   ;Kingdom ;Royaume;;;;
imperial_baron_occitan                                      ;        ;Baron;;;;
imperial_baron_female_occitan                               ;Baroness;Baronessa;;;;
imperial_baron_title_ruler_consort_occitan                  ;        ;Baron;;;;
imperial_baron_title_ruler_consort_female_occitan           ;Baroness;Baronessa;;;;
imperial_count_occitan                                      ;Count   ;Comte;;;;
imperial_count_female_occitan                               ;Countess;Comtessa;;;;
imperial_count_title_ruler_consort_occitan                  ;Count   ;Comte;;;;
imperial_count_title_ruler_consort_female_occitan           ;Countess;Comtessa;;;;
imperial_duke_occitan                                       ;Duke    ;Duc;;;;
imperial_duke_female_occitan                                ;Duchess ;Duquessa;;;;
imperial_duke_title_ruler_consort_occitan                   ;Duke    ;Duc;;;;
imperial_duke_title_ruler_consort_female_occitan            ;Duchess ;Duquessa;;;;
imperial_king_occitan                                       ;King    ;Rei;;;;
imperial_king_female_occitan                                ;Queen   ;Reina;;;;
imperial_king_title_ruler_consort_occitan                   ;King    ;Rei;;;;
imperial_king_title_ruler_consort_female_occitan            ;Queen   ;Reina;;;;
imperial_emperor_occitan                                    ;Emperor ;Emperaire;;;;
imperial_emperor_female_occitan                             ;Empress ;Emperairitz;;;;
imperial_emperor_title_ruler_consort_occitan                ;Emperor ;Emperaire;;;;
imperial_emperor_title_ruler_consort_female_occitan         ;Empress ;Emperairitz;;;;
imperial_title_prince_occitan                               ;        ;Prince;;;;
imperial_title_prince_female_occitan                        ;Princess;Princessa;;;;
imperial_barony_of_occitan                                  ;Barony of;Baronia de;;;;
imperial_county_of_occitan                                  ;County of;Comtat de;;;;
imperial_duchy_of_occitan                                   ;Duchy of;Ducat de;;;;
imperial_kingdom_of_occitan                                 ;Kingdom of;Reialme de;;;;
imperial_barony_occitan                                     ;Barony  ;Baronia;;;;
imperial_county_occitan                                     ;County  ;Comtat;;;;
imperial_duchy_occitan                                      ;Duchy   ;Ducat;;;;
imperial_kingdom_occitan                                    ;Kingdom ;Reialme;;;;
imperial_baron_portuguese                                   ;Baron   ;Barão;;;;
imperial_baron_female_portuguese                            ;Baroness;Baronesa;;;;
imperial_baron_title_ruler_consort_portuguese               ;Baron   ;Barão;;;;
imperial_baron_title_ruler_consort_female_portuguese        ;Baroness;Baronesa;;;;
imperial_count_portuguese                                   ;Count   ;Conde;;;;
imperial_count_female_portuguese                            ;Countess;Condessa;;;;
imperial_count_title_ruler_consort_portuguese               ;Count   ;Conde;;;;
imperial_count_title_ruler_consort_female_portuguese        ;Countess;Condessa;;;;
imperial_duke_portuguese                                    ;Duke    ;Duque;;;;
imperial_duke_female_portuguese                             ;Duchess ;Duquesa;;;;
imperial_duke_title_ruler_consort_portuguese                ;Duke    ;Duque;;;;
imperial_duke_title_ruler_consort_female_portuguese         ;Duchess ;Duquesa;;;;
imperial_king_portuguese                                    ;King    ;Rei;;;;
imperial_king_female_portuguese                             ;Queen   ;Rainha;;;;
