#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
79        ;        ;of Thouars;de Thouars;de Thouars;frankish;138003|40020|40030|40032|40037|40022|40042|40024|40040|40026|40027|138032|138034|138035|138036|138037|138038|138039|138040|138041|138042|7564|7622|205931|205930|455928|455931|455938|455930|455935|455936|455937|91139|138033|138065|138094|138095|144960|144961|144962|144963|144964|144965
80        ;        ;of Brienne;de Brienne;de Brienne;frankish;30809|30989|453044|455850|455852|455853|461730|461732|461733|461735|461739|461741|461742|461744|461745|461746|91141|31382|31383|32222|32223|455929|73289|73291|73292|73294|73295|144945|144946|200096
81        ;        ;of Anjou;d'Anjou;d'Anjou;frankish;455406|455805|455806|461700|461701|461703|461704|461705|461710|461712|461714|461715|461716|461718|461719|461720|461721|461723|461724|461725|461726|461727|469500|469510|469511|469512|469513|469514|469515|469520|7494|98048|32785|32786|32787|32788|32789|461729|183500|200108|70681
82        ;        ;;Chamillart;Chamillart;frankish;
83        ;        ;of Châtillon;de Châtillion;de Châtillion;frankish;
84        ;        ;d’Avaugour;d'Avaugour;d'Avaugour;frankish;455770
85        ;        ;of Dreux;de Dreaux;de Dreaux;frankish;
86        ;        ;of Dreux;de Dreux;de Dreux;frankish;204986|204987|204988|204989|205517|455517|455753|455788|455789|7431|7620|7621|7626|91035|91036|91039|91041|91042|91043|91044|91045|91046|91047|91048|91049|91050|91051|91052|91053|91054|91056|91128|91166|91225|91226|91227|91228|91229|91230|91231|91232|91233|91234|91235|91236|91237|91239|91240|91241|91242|91243|455755|455756|455757|455751|455750|455754
87        ;        ;of Neufchâtel;de Neuchastel;von Neuenburg;frankish;462090|462092|462094|462096|462097|462098|32764|20288|212010|212012|212013|212014|212017|212018|40560|32760|32761|32762|32765|32763|32768|32769|32770|32767|32771|32772|32773|32774|32775|32776|32778
88        ;        ;;Scarponnois;Scarponnois;frankish;11000|129004|179995|179996|179997|179998|179999|20250|455760|455761|455763|455765|7565|7566|7568|7569|7570|7571|31661|31662|34300|34301|34302|34303|34304|34305|34306|34307|34308|34309|34310|34311|34312|34313|34314|34315|34316|34317|34318|34319|34320|161489|161490|161762|161763|454521|462033|462034|462303|462307|34321|34322|34323|34324|34325|34326|34327|7656|7658|7659|7661
89        ;        ;;de Clermont;de Clermont;frankish;455725|7472|91144
90        ;        ;;de Réthel;de Vitry;frankish;232015
91        ;        ;;de Rodès;de Rodez;occitan;455715|138300|138302|138304|138306|138308|138310|138311|138312
92        ;        ;;de Dampierre;de Dampierre;frankish;455710|455711|455712|455713|455714|455766|455767|455768|455769|455940|455942|456554|487041|7476|7477|7478|7483|7486|7487|7488|91155|94006|31551|33224|33225|33226|33227|91238|138429|138428|161901|161932|161933|161934
93        ;        ;;de Lusignan;de Lusignan;frankish;155252|7365|7382|7444|138027|138028|138029|40050|40052|40055|138002|40054|138004|138005|138030|138007|138008|138001|138011|138012|138013|138031|138014|230528|138015|138016|138010|138017|138018|138020|138021|138022|138023|138024|138025|205667|205668|205661|205663|205665|205659|205660|223500|223502|223503|223504|223505|223506|31019|223507|223508|223509|30995|30996|30997|461905|461914|461916|461921|461923|461924|461918|461920|461903|461900|461907|461908|461909|461912|461913|461910|461911|31858|73290|200139
94        ;        ;;de Sully;de Sully;frankish;91327|91328|91329|1000226022
95        ;        ;;de Bourg;de Bourg;frankish;455632
96        ;        ;;de Guyenne;de Gironde;occitan;455605|455606
97        ;        ;;de Bergerac;de Bergerac;occitan;455562
98        ;        ;;de Peiregòrd;de Périgord;occitan;40072|144605|138043|138046|40074|40076|138049|138050|138051|138052|138053|205601|205604|205600|205602|205603|138058|138059|138060|455561|455560|455563|461722|40083
99        ;        ;;de L'isle Jourdain;de L'isle Jourdain;occitan;455554
100       ;        ;;d'Artois;d'Artois;frankish;454524|455405|455515|455516|455518|455519|455520|455521|455522|455523|455524|455545|455546|455825|455941|91147
101       ;        ;;de Valois;de Valois;frankish;455499|455500|455501|455502|455503|455504|455506|455510|455511|455512|455513|455514|455537|461702|461717|161900
102       ;        ;;de Guines;de Guines;frankish;232011|454994|32137|32145|32146|32147|32148|32149|32150|32154|32155|32157|32158|32159|32160|32161|32162|32163|32164|32165|32168|32172|32173|32174|32175|32178|32179|32180|32181|32183|40900|160385|160386|160387|160388|161361|41230|41232|41233|41235|41234
103       ;        ;;Balliol;Balliol;norman;230524|230530|7360|230523|161374|161383|161384
104       ;        ;;Hayles;Hayles;saxon;454551
105       ;        ;;of Norfolk;of Norfolk;saxon;454550|454552|454553
106       ;        ;;Plantagenet;Plantagenet;norman;204500|204502|204503|204504|204505|204507|204508|204509|204510|204511|204512|204513|204514|204516|204573|204630|232020|232682|454500|454501|454502|454503|454505|454506|454507|454510|454516|454520|454522|454523|454525|454527|454529|454530|454531|454532|454533|454534|454605|455764|455791|455792|487043|7510|129037|129038|138451|161697|161698|161699|183029|183030|183010|183071|183072|183073|183074|103000|204499|204506|183009
107       ;        ;;of Scotland;of Scotland;scottish;
108       ;        ;;af Island;af Island;norwegian;40610|40612|40613|452610|452612
109       ;        ;;Brusastad;Brusastad;norwegian;452600|452602|452603|452604|452605|452606|452607|452608|452620|452621
110       ;        ;;von Rügen;von Rügen;german;
111       ;        ;;von Werle;von Werle;german;144212|144213|144214|144215|144216|144217|144218|144219|30069|7033
112       ;        ;;von Mecklemburg;von Mecklemburg;german;
113       ;        ;;von Wittenberg;von Wittenberg;german;
114       ;        ;;von Brandenburg;von Brandenburg;german;462809|462827
115       ;        ;;von Glogau;von Glogau;german;451961
116       ;        ;;von Holstein;von Holstein;german;31766
117       ;        ;;von Rendsburg;von Rendsburg;german;
118       ;        ;;Porse;Porse;danish;451800|451801|451802|451803|451804
119       ;        ;;von Pommern;von Pommern;german;
120       ;        ;;von Slesvig;von Slesvig;german;451501|451502|451504
121       ;        ;;Grip;Grip;swedish;450840|450841|194223|194224|194225|194226|194227|194228
122       ;        ;;Rose;Rose;saxon;
123       ;        ;;Menteith;Menteith;scottish;450823|188926|188927|188928|188929|188930|188931|188932|188945|188946|188948|188953
124       ;        ;;Strathearn;Strathearn;scottish;450822
125       ;        ;;Bolt;Bolt;norwegian;450810|450812
126       ;        ;;Svarte Skånning;Svarte;swedish;450802
127       ;        ;;Skancke;Skancke;swedish;450800|450801|450803|450804|450805|450807|450808
128       ;        ;;Thornberg;Thornberg;norwegian;450783|450784|450785
129       ;        ;;Giske;Giske;norwegian;450780|450781|450782|450787|450788|450790
130       ;        ;;Ribbing;Ribbing;danish;450770
131       ;        ;;Bååt;Bååt;swedish;450520|450760
132       ;        ;;Raud;Raud;norwegian;450752
133       ;        ;;Gullbjelke;Gullbjelke;norwegian;450750|450751
134       ;        ;;Rova;Rova;finnish;450740|450742
135       ;        ;;Hesby;Hesby;norwegian;450730|450731|450732|450733
136       ;        ;;Ulv;Ulv;swedish;144670|450722|450830|450833
137       ;        ;;Sparre;Sparre;swedish;450720|450721|450723|450724|450725|450726|450727|450728|450729|194241|194242|194243|194244|194245|194246
138       ;        ;;Färla;Färla;swedish;450713|450718
139       ;        ;;Banú Rasúl;Rasulid;bedouin_arabic;144094|144095|144096|144097|144098
140       ;        ;;Bragde;Brahe;swedish;
141       ;        ;;af Rumby;af Rumby;swedish;450702|450860
142       ;        ;;af Brunnsholm;af Brunnsholm;swedish;450700|450701|450703|450704|450705
143       ;        ;;af Ulvåsa;af Ulvåsa;swedish;450690|450691|450692|450693|450694|450695|450696|450697|450698|450699|450771
144       ;        ;;Sjöblad;Sjöblad;swedish;450680|450681|450682|450683
145       ;        ;;av Sudreim;av Sudreim;norwegian;450660|450661|450670
146       ;        ;;Skarsholm;Skarsholm;danish;
147       ;        ;;Blå;Blå;danish;450650|450651|450656|450657|450658|450659
148       ;        ;;Natt och Dag;Natt och Dag;swedish;450647|450648|450649|194253|194254|194255|194256|194257|194258
149       ;        ;;Griphuvud;Griphuvud;swedish;450633|450634|450635
150       ;        ;;Lejon;Lejon;swedish;450630|450631|450640
151       ;        ;;Syktyvkar;Syktyvkar;komi;
152       ;        ;;Glysing;Glysing;danish;450603
153       ;        ;;Bielke;Bielke;swedish;450600|450601|450604|450606|450610|450611|450613|450615|450620
154       ;        ;;von Holstein;von Holstein;german;451503
155       ;        ;;af Bjälbo;af Bjälbo;swedish;200519|200521|200523|200524|200525|200526|200527|200528|200529|200530|200531|200532|200533|200534|200535|200540|200541|200543|30605|450500|450501|450502|450504|450505|450506|450507|450508|450509|450510|450512|450513|450514|450607|450614|450653|450655|450712|126001|33337|33338|33339|33340|161122|170021|170000|170001|170002|170003|170004|170005|170006
156       ;        ;;di Crivelli;di Crivelli;italian;223754
157       ;        ;;de Chypre;de Chypre;norman;
158       ;        ;;de Harenc;de Harenc;norman;223751
159       ;        ;;de Tiberiade;de Tiberiade;norman;
160       ;        ;;Saint-Gilles;Saint-Gilles;frankish;
161       ;        ;;de Montjoy;de Montjoy;norman;223601
162       ;        ;;d'Éolienne;d'Éolienne;frankish;
163       ;        ;;de Bessa;de Bessa;frankish;223586
164       ;        ;;de Ramla;de Ramla;frankish;223581
165       ;        ;;d'Ibelin;d'Ibelin;frankish;
166       ;        ;;de Toron;de Toron;norman;223004|223560|223561|93007|93008
167       ;        ;;Montferrato;Montferrato;italian;
168       ;        ;;Andreievich;Andreievich;russian;
169       ;        ;;Dobrynich;Dobrynich;russian;
170       ;        ;;Kuchka;Kuchka;armenian;222677
171       ;        ;;Komnenos;Komnenos;greek;
172       ;        ;;Petrilov;Petrilov;russian;
173       ;        ;;Borisov;Borisov;russian;
175       ;        ;;Subislawowic;Subislawowic;polish;221750|221751|221755|221760|30450|30451|30452|30453|30454|30455|30456|30457|30458|30459|30460|30461|30462|30464|30466|30467|30468|30469|451519|93534|170029|30463
176       ;        ;;Obroditen;Obroditen;pommeranian;
177       ;        ;;Gryfita;Gryfita;pommeranian;221700|221702|221703|221710|221711|221712|221713|221714|221715|221716|221717|221718|221719|221720|221721|221722|221723|30520|30521|30525|30526|30527|30528|30529|30530|30531|30532|30533|30534|30535|30536|451521|451950|451951|451952|451953|471554|471650|471653|471655|471658|471659|471660|471662
178       ;        ;;Znaim;Znaim;serbian;
179       ;        ;;von Berg-Schelklingen;von Berg-Schelklingen;german;212862|221518|221519|96073
180       ;        ;;Somogy;Somogy;hungarian;20375|219550|484
181       ;        ;;Kievskiy;Kievskiy;russian;
182       ;        ;;Árpády;Árpády;hungarian;
183       ;        ;;Kulinic;Kulinic;croatian;34145|34146|34147|218800|218801
184       ;        ;;Nemanjic;Nemanjic;serbian;468511|34070|34071|34072|34073|34074|34075|34076|34077|34078|34079|34080|34081|34082|34083|34084|34085|34086|34087|34088|34089|34090|34091|34092|34093|34094|34095|34096|34097|34098|34099|34100|34101|34102|34103|34108|34109|34110|34111|34112|34113|34114|34117|34118|34120|34121|34122|34130|34142|34143|34144|218510|218511|218512|218505|218500|218506|218507|218508|468500|468501|468502|468504|468505|468506|468510
185       ;        ;;Asen;Asen;bulgarian;217500|217501|217502|217503|217504|217505|217506|217507|31160|31161|31162|31163|31164|31165|31166|31167|31168|31169|31170|31171|31172|31183|465551|31173|31174|31175|31176|31177|31178|31179|31180|31182|465550|465552|465553|465554|465555|465560|465561|465562|465563|465564
186       ;        ;;Kholmsky;Kholmsky;russian;
188       ;        ;;Makrodoukas;Macrodoukas;greek;215660|180997|180999
189       ;        ;;Aineidas;Aineidas;greek;
190       ;        ;;Rubenid;Rubenid;armenian;223000|223003|223005|223006|223010|223012|223014|223015|232561|232563|232564|232565|232566|232568|232569|232570|232571|232572|232573|30920|30990|30991|30992|30993|30994|30998|30999|159265|159266|159267|159268|159284
191       ;        ;;Vojislavljevic;Vojislavljevic;serbian;70357|70358|20474|20490|20491|20492|20493|20494|20495|20496|20499|20529|20533|20538|20539|20558|40530|4491|70350|70351|70352|70353|70354|70355|70356|70359|70360|70361|70362|34123|34124|34125|34126|34127|34128|34129|34131|34132|34133|34134|34135|34136|34137|34138|34139|34140|34141
192       ;        ;;Kantakouzenos;Kantakouzenos;greek;
193       ;        ;;Pegonitissos;Pegonitissos;greek;1783
195       ;        ;;Angelos;Angelos;greek;125711|125712|125713|125714|20518|215022|215500|215501|215502|215503|215504|215506|215507|215508|215509|215510|215511|215512|215513|215514|215515|215516|215524|215526|215527|7686|34104|34105|34106|34107|34115|34116|34269|34270|34271|34272|34274|34276|34277|34278|34279|34280|34394|34415
197       ;        ;;Mac Carthaigh;Mac Carthaigh;irish;214600|214601|214602|214609|214610|83252|83253|83254|83255|83256|83257|83258|83259|83260|83261|83262|83263|83264|83265|83266|83267|83268|83269|83270|83271|83272|83273|83274|83275|83276|83277|83278|83279|83280|83281|83282|83283|83284|83285|83286|83287|83288|83289|83290|83291|83292|83293|83294|83295|83296
198       ;        ;;Ua Braenain;Ua Braenain;irish;454202
199       ;        ;;Ua Néill Noígiallaich;Ua Néill Noígiallaich;irish;131501|131502|131503|131504|131505|131506|131511|131512|131513|131516|131517|131520|214552|6100|7197|7198|7199|7243|7244|7245|7246|7247|7248|7249|7250|7251|7252|7254|7256|7257|7258|7259|7260|7261|7262|7263|7264|7265|7266|7267|7268|7269|7270|7271|7272|7273|7274|7275|7276|927|928|930|931|939|940|942|943|944|945|946|947|948|949|83016|83017|83018|83019|83020|83021|83022|83023|83034|83125|83126|83127|83128|83132|83133|83134|83135|83139|83140|83141|83594|83595|83596|83597|83598|165000|165001|165003|165004|165005|165006|165007|165008|165009|165010|165020|165011|165012|165013|165014|165015|165016|165017|165018|165019|166055|166056|166057|166058|166059|166129|166131|166132|166334|166335|166336|166337|166339|166340|166342|166343|166344|166345|166346|166347|166348|166349|166350|166351|166352|166353|166354|166355|166356|166357|166358|166359|166360|166361|166362|166363|166364|166365|166366|166368|166467|166369|166370|166371|166372|184109|160246|160247|160248|160249|160250|160251|160252|160253|160254
200       ;        ;;Ua Murchada;Ua Murchada;irish;
201       ;        ;;Ua Conchobair;Ua Conchobair;irish;214500|214501|214502|214503|214505|214510|214520|909|910|911|83457|83458|83459|83460|83461|83462|83463|83464|83465|83466|83467|83468|83469|83470|83471|83472|83473|83474|83475|83476|83477|83478|83479|83480|83481|83482|83490|83491|83492|83493|83494|83495|83496|83497|83498|83499|83500|83501|83502|83503|83504|83505|83506|83507|83508|83509|83510|83511|83512|83513|83514|83515|83516|83517|83518|83519|83520|83521|83522
202       ;        ;;Mastropiero;Mastropiero;italian;
203       ;        ;;d'Arborea;d'Arborea;italian;213561
204       ;        ;;di Saluzzo;di Saluzzo;italian;454044
205       ;        ;;de Busca;de Busca;italian;213540
206       ;        ;;Aleramici;Aleramicci;italian;1000167010|1000167011|1000167012|1000167013|1000167014|1000167015|223541|213520|213521|213522|213523|213524|213525|213526|213541|213542|213550|213551|213552|213560|223540|232559|31346|420301|420302|420304|420305|420306|420307|465522|70970|70971|70972|70973|70974|70975|70977|70978|70979|70980|70981|70982|70983|70984|70985|70986|70987|70988|71023|71024|71025|71026|71027|71028|71029|71030|71031|71032|71033|71034|71035|71037|71038|71039|71040|71041|71042|71043|71044|71045|71046|71047|71048|71049|71050|71051|71052|71053|71054|71055|71056|71057|71058|71059|71060|71061|71062|71063|71064|71065|71066|71067|71068|71069|71070|71071|71138|71139|71141|71142|71143|71144|71145|71178|71180|71181|71182|71183|71184|71185|71186|71187|71188|71189|71190|71191|71192|71194|71195|71196|71197|71198|71199|71200|71201|71202|71203|71207|71208|71211|71212|71213|71216|71217|71218|71219|71220|71221|71222|71223|71224|71225|71226|71227|71228|71229|71230|71231|71234|71235|71236|71237|71238|71239|71240|71241|71242|71243|71244|71245|71246|71247|71248|71249|71250|71251|71252|71253|71255|71256|71257|71258|71259|71260|71261|7727|7728|7729|7730|7733|7734|7735|7736|7737|91143|33361|33362|33363|33364|33365|33366|33368|462804|34994
207       ;        ;;von Plain;von Plain;german;212980
208       ;        ;;Lunéville;Luneville;frankish;
209       ;        ;;van Loon;van Loon;dutch;
210       ;        ;;von Formbach;von Formbach;german;212909|212967|30210|30211|30212|30213|30215|20239|33405|33406|33407|33408|33409|33410|33411
211       ;        ;;von Wasserburg;von Wasserburg;german;31531
212       ;        ;;von Pettendorf;von Lengenfeld;german;212963
213       ;        ;;von Eberstein;von Eberstein;german;212940|212941|212942|183256|183257
214       ;        ;;von Heinsberg;von Heinsberg;german;
215       ;        ;;von Wettin;von Wettin;german;
216       ;        ;;von Weimar;von Weimar;german;1616|20235|212936|7060|7061|70617|70618|7062|7063|7300|7302|7310|7311|7313|7314|7400|33464|144958
217       ;        ;;von Wittelsbach;von Wittelsbach;german;11060|20257|212931|212950|212951|212952|212953|212954|212955|212956|212957|212960|212962|30099|40714|40715|462036|462712|462730|462731|462732|462733|462734|462735|462736|462737|462739|462740|462744|462745|462746|462747|462748|462749|462750|462752|462753|462754|462755|462756|462757|462758|462760|462761|462762|462763|7557|7559|98009|33465|33466|33467|33468|170035
218       ;        ;;von Andechs;von Andechs;german;11062|11066|144249|212930|212932|212933|212934|212935|212943|212944|212945|212946|212964|212966|231050|231051|231052|40703|40716|40717|40718|4257|70834|7653|7670|7684|33416|33511|33512|33513|33514|33515|33516|33517|33526|33527|33528|161702|161703
219       ;        ;;von Sulzbach;von Sulzbach;german;10090|20258|221541
220       ;        ;;van Serooskerken;van Serooskerken;frisian;
221       ;        ;;von Kleve;von Kleve;german;
222       ;        ;;von Stumpenhusen;von Versfleth;german;212916
223       ;        ;;von Wickerode;von Wickerode;german;212911
224       ;        ;;von Oldenburg;von Oldenburg;german;20223|212910|212912|212915|30062|30063|30064|30065|30066|30067|30068|30070|30071|30072|30073|30074|30077|30078|30081|30082|30083|30084|30085|30086|30678|462909|462910|462912|462913|462914|462915|462917|462919|161562|161563
225       ;        ;;von Winzenburg;von Winzenburg;german;31823|31825
226       ;        ;;von Askanien;Askanien;german;20266|20267|20269|20270|20271|212030|212031|212032|212033|212037|212039|212905|212908|30306|451982|462100|462101|462102|462103|462104|462105|462106|462107|462109|462110|462111|462112|462113|462114|462118|462120|462122|462124|462125|462126|462127|462128|462129|462390|462391|462392|462393|462394|462395|462396|462397|462398|7587|7588|7508|7558|7560|7574|7688|7692|7693|7697|451517|98041|125997|33336|33341|33342|33343|33344|33345|33346|33347|33348|33349|33386|33412|33413|33414|33415|33417|33419|33420|33421|33422|33423|33424|33425|33426|31794|31796|31795|31776|31793|33735|33736|33737|33738|33739|33740|33741|33742|33743|33744|33745|33746|33747|33748|33750|33751|33752|33754|33755|33756|33757|33758|33759|33760|33761|33762|33763|33764|33765|33766|33767|33768|33769|33770|33771|33772|33773|33774|33775|33776|33777|33778|33779|33780|33781|33782|33783|33784|161704|161739|170011|170012|170013|170014
227       ;        ;;von Thüringen;von Thüringen;german;168224|168225|168226|168227|168228|168229|168230|190375|190376|190377|190378|190379|190380|190381|190382|190383|190384|190385|190386
228       ;        ;;von Bogen;von Bogen;german;231027|231028|231029
229       ;        ;;von Meissen;von Meissen;german;462806
230       ;        ;;von Österreich;von Österreich;german;
231       ;        ;;de Clerieux;de Cleriuex;frankish;212810
232       ;        ;;d'Albon;d'Albon;occitan;138403|40460|40462|40466|212804|212803|40468|213112|212802|212801|212800|206039|138405|212805|205681|205680|205684|205685|206015|7491|7485|7489|7490|455670
233       ;        ;;de Poitiers-Valentinois;de Poitiers-Valentinois;occitan;212780|212781|212782|455450|455452|455453|455454|455457|455458|455459|455460|455461|455462|455463|455464|455465|455467|455468|455469|455470|455471|31664|455455|455466
234       ;        ;;Visconti;Visconti;italian;1000167084|1000167085|1000167086|1000167087|1000167088|213007|213030|213031|412071|463140|463141|463144|463145|463146|463147|463148|463150|463151|463152|70769|70770|70771|70773|70774|70776|70778|70779|70780|70781|70783|70784|70785|70788|70789|70790|70791|70792|70954|71169|71170|73460|73461
235       ;        ;;de Valpergue;de Valpergue;frankish;212760|212761
236       ;        ;;de Cuiseaux;de Cuiseaux;frankish;212750
237       ;        ;;von Genf;von Genf;german;
