#CODE            ;SED     ;SWMH;OTHER;VANILLA
frisian          ;Frisian ;Fresisk;;Frisian
#More Persia,,,,,,,,,,,,,,;;;;
qufs             ;Qufs    ;Kufichi;;
khalaj           ;Khalaj  ;Khaláj;;
brahui           ;Brahui  ;Brahui;;
#,,,,,,,,,,,,,,;;;;
romanian         ;Romanian;Rumân;;Vlach
#,,,,,,,,,,,,,,;;;;
sinic            ;Sinic   ;Sinic;;
khitan           ;Khitan  ;Qidun;;Khitan
