#CODE                                 ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x;;;;
c_aachen_adj                          ;        ;Aachen;;
c_alania_adj_uyghur                   ;        ;As;;
c_alania_adj_zanata                   ;        ;Al-Lanian;;
c_alava_adj                           ;        ;Alavesa;;
c_albi_adj                            ;        ;Albi;;
c_alcaraz_adj                         ;        ;Alcaraceña;;
c_alencon_adj                         ;        ;Alenconan;;
c_aleppo_adj_frankish                 ;        ;Halapian;;
c_aleppo_adj_greek                    ;        ;Berroian;;
c_aleppo_adj_norman                   ;        ;Halapian;;
c_alexandretta_adj                    ;Iskenderun;Alexandrouan;;Alexandrettan
c_alexandretta_adj_andalusian_arabic  ;        ;Iskandarian;;
c_alexandretta_adj_armenian           ;        ;Aleksandrettan;;
c_alexandretta_adj_bedouin_arabic     ;        ;Iskandarian;;
c_alexandretta_adj_egyptian_arabic    ;        ;Iskandarian;;
c_alexandretta_adj_frankish           ;        ;Alexandrettan;;
c_alexandretta_adj_levantine_arabic   ;        ;Iskandarian;;
c_alexandretta_adj_maghreb_arabic     ;        ;Iskandarian;;
c_alexandretta_adj_masmuda            ;        ;Iskandarian;;
c_alexandretta_adj_norman             ;        ;Alexandrettan;;
c_alexandretta_adj_oghuz              ;        ;Iskenderian;;
c_alexandretta_adj_sanhaja            ;        ;Iskandarian;;
c_alexandretta_adj_sicilian_arabic    ;        ;Iskandarian;;
c_alexandretta_adj_tagelmust          ;        ;Iskandarian;;
c_alexandretta_adj_tuareg             ;        ;Iskandarian;;
c_alexandretta_adj_turkish            ;        ;Iskenderian;;
c_alexandretta_adj_turkmen            ;        ;Iskenderian;;
c_alexandretta_adj_zanata             ;        ;Iskandarian;;
c_alexandria_adj                      ;Alexandrian;Iskandaríyí;;Alexandrian
c_alife_adj                           ;Alifan  ;Alife;;
c_allaqi_adj                          ;        ;Allaqí;;
c_altmark_adj                         ;Altmark ;Altmark;;Werbener
c_alvito_adj                          ;Alvitan ;Alvito;;
c_alwa_adj                            ;Alodian ;Alwanan;;
c_amadiya_adj                         ;        ;Amadiyan;;
c_amadiya_adj_armenian                ;        ;Korchaykan;;
c_amadiya_adj_greek                   ;        ;Corduenan;;
c_amadiya_adj_kurdish                 ;        ;Kardoxi;;
c_amalfi_adj                          ;Amalfitan;Amalfi;;Amalfitan
c_amasia_adj                          ;Amaseian;Amaseian;;
c_amasia_adj_frankish                 ;Amasya  ;Amaséan;;
c_amasia_adj_norman                   ;Amasya  ;Amaséan;;
c_amasia_adj_oghuz                    ;Amasya  ;Amásiyyan;;
c_amasia_adj_turkish                  ;Amasya  ;Amásiyyan;;
c_amasia_adj_turkmen                  ;Amasya  ;Amásiyyan;;
c_amastris_adj                        ;Amasra  ;Amastrian;;Amastrian
c_amastris_adj_oghuz                  ;        ;Amasran;;
c_amastris_adj_turkish                ;        ;Amasran;;
c_amastris_adj_turkmen                ;        ;Amasran;;
c_amhara_adj                          ;        ;Amharan;;
c_amida_adj_andalusian_arabic         ;        ;Ámidan;;
c_amida_adj_armenian                  ;Tigranocerta;Tigranokertan;;
c_amida_adj_bedouin_arabic            ;        ;Ámidan;;
c_amida_adj_egyptian_arabic           ;        ;Ámidan;;
c_amida_adj_kurdish                   ;        ;Amedian;;
c_amida_adj_levantine_arabic          ;        ;Ámidan;;
c_amida_adj_maghreb_arabic            ;        ;Ámidan;;
c_amida_adj_oghuz                     ;Diyarbakir;Diyar-i Bekrian;;
c_amida_adj_sicilian_arabic           ;        ;Ámidan;;
c_amida_adj_turkish                   ;Diyarbakir;Diyar-i Bekrian;;
c_amida_adj_turkmen                   ;Diyarbakir;Diyar-i Bekrian;;
c_amisos_adj_oghuz                    ;Canik   ;Canikan;;
c_amisos_adj_turkish                  ;Canik   ;Canikan;;
c_amisos_adj_turkmen                  ;Canik   ;Canikan;;
c_amman_adj_frankish                  ;        ;Ahamantan;;
c_amman_adj_greek                     ;        ;Philadelpheian;;
c_amman_adj_norman                    ;        ;Ahamantan;;
c_amorion_adj                         ;Amorian ;Amorian;;Amoran
c_amorion_adj_oghuz                   ;        ;Amúriyyan;;
c_amorion_adj_turkish                 ;        ;Amúriyyan;;
c_amorion_adj_turkmen                 ;        ;Amúriyyan;;
c_anamur_adj                          ;Anemurium;Anemourian;;
c_anamur_adj_andalusian_arabic        ;Mamure  ;Ma'muriyan;;
c_anamur_adj_armenian                 ;        ;Stalemuran;;
c_anamur_adj_bedouin_arabic           ;Mamure  ;Ma'muriyan;;
c_anamur_adj_egyptian_arabic          ;Mamure  ;Ma'muriyan;;
c_anamur_adj_frankish                 ;        ;Stallimurian;;
c_anamur_adj_levantine_arabic         ;Mamure  ;Ma'muriyan;;
c_anamur_adj_maghreb_arabic           ;Mamure  ;Ma'muriyan;;
c_anamur_adj_norman                   ;        ;Stallimurian;;
c_anamur_adj_oghuz                    ;Anamur  ;Anamurian;;
c_anamur_adj_sicilian_arabic          ;Mamure  ;Ma'muriyan;;
c_anamur_adj_turkish                  ;Anamur  ;Anamurian;;
c_anamur_adj_turkmen                  ;Anamur  ;Anamurian;;
c_ancona_adj                          ;Anconitan;Ancona;;Anconian
c_andechs_adj                         ;        ;Andechs;;
c_andria_adj                          ;        ;Andria;;
c_anglesey_adj                        ;Anglesey;Ynys Moneg;;Anglesee
c_angot_adj                           ;        ;Angoti;;
c_anhalt_adj                          ;Anhaltian;Anhalt;;Zerwisti
c_ani_adj_georgian                    ;        ;Anisian;;
c_ani_adj_greek                       ;        ;Anian;;
c_ani_adj_kurdish                     ;        ;Anîan;;
c_ankyra_adj_oghuz                    ;        ;Engüriyyan;;
c_ankyra_adj_turkish                  ;        ;Engüriyyan;;
c_ankyra_adj_turkmen                  ;        ;Engüriyyan;;
c_annaba_adj                          ;Annaba  ;Annábí;;Annaban
c_annaba_adj_greek                    ;        ;Hippo Regian;;
c_annaba_adj_roman                    ;        ;Hippo Regian;;
c_anti-atlas_adj                      ;Tin Mal ;Tinmallalí;;Safian
c_antibes_adj                         ;        ;Antibes;;
c_antiocheia_adj_andalusian_arabic    ;        ;Antakiyan;;
c_antiocheia_adj_armenian             ;        ;Antiokan;;
c_antiocheia_adj_bedouin_arabic       ;        ;Antakiyan;;
c_antiocheia_adj_egyptian_arabic      ;        ;Antakiyan;;
c_antiocheia_adj_levantine_arabic     ;        ;Antakiyan;;
c_antiocheia_adj_maghreb_arabic       ;        ;Antakiyan;;
c_antiocheia_adj_masmuda              ;        ;Antakiyan;;
c_antiocheia_adj_oghuz                ;        ;Antakiyan;;
c_antiocheia_adj_sanhaja              ;        ;Antakiyan;;
c_antiocheia_adj_sicilian_arabic      ;        ;Antakiyan;;
c_antiocheia_adj_tagelmust            ;        ;Antakiyan;;
c_antiocheia_adj_tuareg               ;        ;Antakiyan;;
c_antiocheia_adj_turkish              ;        ;Antakiyan;;
c_antiocheia_adj_turkmen              ;        ;Antakiyan;;
c_antiocheia_adj_zanata               ;        ;Antakiyan;;
c_aosta_adj                           ;Aostan  ;Aosta;;Aostan
c_aoudaghost_adj                      ;Aoudaghost;Awdaghustí;;Aoudaghosti
c_aprutium_adj                        ;Abruzzese;Aprutio;;Aquiline
c_apulia_adj                          ;Melfi   ;Melfi;;Apulian
c_aquileia_adj                        ;Aquileian;Aquileia;;Aquileian
c_araouane_adj                        ;Araouane;Arawání;;Araouanei
c_arbanon_adj                         ;Arbanon ;Arbanian;;
c_arbanon_adj_arberian                ;        ;Arbërian;;
c_arbanon_adj_oghuz                   ;Albanian;Arvanidian;;
c_arbanon_adj_turkish                 ;Albanian;Arvanidian;;
c_arbanon_adj_turkmen                 ;Albanian;Arvanidian;;
c_arborea_adj                         ;Arborean;Arborea;;Arborean
c_arcadia_adj                         ;Arcadian;Arcadian;;
c_arcadia_adj_central_italian         ;        ;Arcadian;;
c_arcadia_adj_corsican                ;        ;Arcadian;;
c_arcadia_adj_dalmatian               ;        ;Arcadian;;
c_arcadia_adj_frankish                ;        ;Arcadian;;
c_arcadia_adj_greek                   ;        ;Arkadian;;
c_arcadia_adj_italian                 ;        ;Arcadian;;
c_arcadia_adj_ligurian                ;        ;Arcadian;;
c_arcadia_adj_neapolitan              ;        ;Arcadian;;
c_arcadia_adj_norman                  ;        ;Arcadian;;
c_arcadia_adj_oghuz                   ;Tripoli ;Tripolitan;;
c_arcadia_adj_sardinian               ;        ;Arcadian;;
c_arcadia_adj_sicilian                ;        ;Arcadian;;
c_arcadia_adj_southern_italian        ;        ;Arcadian;;
c_arcadia_adj_turkish                 ;Tripoli ;Tripolitan;;
c_arcadia_adj_turkmen                 ;Tripoli ;Tripolitan;;
c_arcadia_adj_tuscan                  ;        ;Arcadian;;
c_arcadia_adj_venetian                ;        ;Arcadian;;
c_archa_adj_andalusian_arabic         ;Afamiyya;Fámiean;;
c_archa_adj_bedouin_arabic            ;Afamiyya;Fámiean;;
c_archa_adj_egyptian_arabic           ;Afamiyya;Fámiean;;
c_archa_adj_frankish                  ;Apamea  ;Apaméan;;
c_archa_adj_greek                     ;Apamea  ;Apameian;;
c_archa_adj_levantine_arabic          ;Afamiyya;Fámiean;;
c_archa_adj_maghreb_arabic            ;Afamiyya;Fámiean;;
c_archa_adj_norman                    ;Apamea  ;Apaméan;;
c_archa_adj_sicilian_arabic           ;Afamiyya;Fámiean;;
c_archelais_adj                       ;Colonian;Archelaïsan;;
c_archelais_adj_oghuz                 ;Aksaray ;Ak Sarayan;;
c_archelais_adj_turkish               ;Aksaray ;Ak Sarayan;;
c_archelais_adj_turkmen               ;Aksaray ;Ak Sarayan;;
c_archreims_adj                       ;        ;Reims;;
c_arezzo_adj                          ;Aretine ;Arezzo;;Arretine
c_argyll_adj                          ;Argyll  ;Earra Ghaidhealeach;;Argyllian
c_arigh_adj                           ;Oued Righ;Aríghí;;Arighian
c_arlon_adj                           ;        ;Arlon;;
c_arnsberg_adj                        ;        ;Arnsberg;;
c_arran_adj                           ;Albanian;Arranian;;
c_arta_adj_central_italian            ;        ;Artan;;
c_arta_adj_corsican                   ;        ;Artan;;
c_arta_adj_dalmatian                  ;        ;Artan;;
c_arta_adj_frankish                   ;        ;Arthean;;
c_arta_adj_greek                      ;        ;Artan;;
c_arta_adj_italian                    ;        ;Artan;;
c_arta_adj_ligurian                   ;        ;Artan;;
c_arta_adj_neapolitan                 ;        ;Artan;;
c_arta_adj_norman                     ;        ;Arthean;;
c_arta_adj_oghuz                      ;        ;Nardan;;
c_arta_adj_sardinian                  ;        ;Artan;;
c_arta_adj_sicilian                   ;        ;Artan;;
c_arta_adj_southern_italian           ;        ;Artan;;
c_arta_adj_turkish                    ;        ;Nardan;;
c_arta_adj_turkmen                    ;        ;Nardan;;
c_arta_adj_tuscan                     ;        ;Artan;;
c_arta_adj_venetian                   ;        ;Artan;;
c_artaani_adj                         ;        ;Artaanian;;
c_artaani_adj_armenian                ;        ;Ardahani;;
c_artaani_adj_oghuz                   ;        ;Ardahani;;
c_artaani_adj_turkish                 ;        ;Ardahani;;
c_artaani_adj_turkmen                 ;        ;Ardahani;;
c_artois_adj                          ;Artois  ;Artois;;Artoisan
c_artsakh_adj                         ;Artsakhian;Artsakhian;;
c_artsakh_adj_armenian                ;Khachenian;Khachenian;;
c_artsakh_adj_oghuz                   ;        ;Artsahian;;
c_artsakh_adj_pecheneg                ;        ;Artsahian;;
c_artsakh_adj_turkish                 ;        ;Artsahian;;
c_artsakh_adj_turkmen                 ;        ;Artsahian;;
c_asas_adj_greek                      ;Al-Raqqah;Kallinikan;;
c_ashli_adj                           ;Ashli   ;Ashlian;;Ashli
c_ashli_adj_avar                      ;        ;Ishlëian;;
c_ashli_adj_bohemian                  ;        ;Oshelian;;
c_ashli_adj_bolghar                   ;        ;Ishlëian;;
c_ashli_adj_bosnian                   ;        ;Oshelian;;
c_ashli_adj_bulgarian                 ;        ;Oshelian;;
c_ashli_adj_carantanian               ;        ;Oshelian;;
c_ashli_adj_croatian                  ;        ;Oshelian;;
c_ashli_adj_khazar                    ;        ;Ishlëian;;
c_ashli_adj_slovieni                  ;        ;Oshelian;;
c_ashli_adj_russian                   ;        ;Oshel;;
c_ashli_adj_serbian                   ;        ;Oshelian;;
c_asmena_adj                          ;        ;Ašmena;;
c_assab_adj                           ;Assab   ;Assabi;;Assab
c_asti_adj                            ;Astigiani;Asti;;
c_aswan_adj                           ;Aswan   ;Aswání;;Aswanian
c_aswan_adj_greek                     ;        ;Syenan;;
c_asyut_adj                           ;Asyut   ;Asyútí;;Asyutian
c_asyut_adj_greek                     ;        ;Lykopolitan;;
c_atheniai_adj_central_italian        ;        ;Atenian;;
c_atheniai_adj_corsican               ;        ;Atenian;;
c_atheniai_adj_dalmatian              ;        ;Atenian;;
c_atheniai_adj_frankish               ;        ;Athènian;;
c_atheniai_adj_italian                ;        ;Atenian;;
c_atheniai_adj_ligurian               ;        ;Atenian;;
c_atheniai_adj_neapolitan             ;        ;Atenian;;
c_atheniai_adj_norman                 ;        ;Athènian;;
c_atheniai_adj_oghuz                  ;        ;Atinian;;
c_atheniai_adj_sardinian              ;        ;Atenian;;
c_atheniai_adj_sicilian               ;        ;Atenian;;
c_atheniai_adj_southern_italian       ;        ;Atenian;;
c_atheniai_adj_turkish                ;        ;Atinian;;
c_atheniai_adj_turkmen                ;        ;Atinian;;
c_atheniai_adj_tuscan                 ;        ;Atenian;;
c_atheniai_adj_venetian               ;        ;Atenian;;
c_atholl_adj                          ;Atholl  ;Atholleach;;Athollian
c_atlas_mnt_adj                       ;Tiaret  ;Táhartí;;Askedalian
c_attaleia_adj_central_italian        ;        ;Sattalian;;
c_attaleia_adj_corsican               ;        ;Sattalian;;
c_attaleia_adj_dalmatian              ;        ;Sattalian;;
c_attaleia_adj_frankish               ;        ;Sattalian;;
c_attaleia_adj_italian                ;        ;Sattalian;;
c_attaleia_adj_ligurian               ;        ;Sattalian;;
c_attaleia_adj_neapolitan             ;        ;Sattalian;;
c_attaleia_adj_norman                 ;        ;Sattalian;;
c_attaleia_adj_oghuz                  ;Antalya ;Antáliyyan;;
c_attaleia_adj_sardinian              ;        ;Sattalian;;
c_attaleia_adj_sicilian               ;        ;Sattalian;;
c_attaleia_adj_southern_italian       ;        ;Sattalian;;
c_attaleia_adj_turkish                ;Antalya ;Atalyan;;
c_attaleia_adj_turkmen                ;Antalya ;Antáliyyan;;
c_attaleia_adj_tuscan                 ;        ;Sattalian;;
c_attaleia_adj_venetian               ;        ;Sattalian;;
c_attundaland_adj                     ;        ;Attundalandr;;
c_atzele_adj                          ;        ;Atzelei;;
c_augsburg_adj                        ;Augsburg;;;
c_aunis_adj                           ;        ;Aunis;;
c_auxois_adj                          ;        ;Auxois;;
c_avila_adj                           ;        ;Abulense;;
c_awkar_adj                           ;Awkar   ;Awkarí;;
c_aydhab_adj                          ;‘Aydhab ;Aydhaban;;Aydhab
c_aydhab_adj_greek                    ;        ;Berenikan;;
c_aydhab_adj_roman                    ;        ;Berenikan;;
c_az_zarqa_adj_greek                  ;Azraq   ;Basienan;;
c_azov_adj                            ;Azovian ;Azaqan;;Azovian
c_azov_adj_arberian                   ;Don     ;Tanaisan;;
c_azov_adj_armenian                   ;Don     ;Tanaisan;;
c_azov_adj_bohemian                   ;        ;Azovan;;
c_azov_adj_bolghar                    ;Don     ;Buzanian;;
c_azov_adj_bosnian                    ;        ;Azovan;;
c_azov_adj_bulgarian                  ;        ;Azovan;;
c_azov_adj_carantanian                ;        ;Azovan;;
c_azov_adj_central_italian            ;Tana    ;Tanan;;
c_azov_adj_corsican                   ;Tana    ;Tanan;;
c_azov_adj_crimean_gothic             ;Don     ;Tanaiskvíslian;;
c_azov_adj_croatian                   ;        ;Azovan;;
c_azov_adj_dalmatian                  ;Tana    ;Tanan;;
c_azov_adj_georgian                   ;Don     ;Tanaisan;;
c_azov_adj_greek                      ;Don     ;Tanaisan;;
c_azov_adj_italian                    ;Tana    ;Tanan;;
c_azov_adj_khazar                     ;Don     ;Buzanian;;
c_azov_adj_ligurian                   ;Tana    ;Tanan;;
c_azov_adj_lithuanian                 ;        ;Azovan;;
c_azov_adj_slovieni                   ;        ;Azovan;;
c_azov_adj_neapolitan                 ;Tana    ;Tanan;;
c_azov_adj_norse                      ;Don     ;Tanakvíslr;;
c_azov_adj_oghuz                      ;        ;Azakan;;
c_azov_adj_pecheneg                   ;Don     ;Jazyian;;
c_azov_adj_polish                     ;        ;Azowan;;
c_azov_adj_pommeranian                ;        ;Azovan;;
c_azov_adj_russian                    ;        ;Azov;;
c_azov_adj_sardinian                  ;Tana    ;Tanan;;
c_azov_adj_serbian                    ;        ;Azovan;;
c_azov_adj_sicilian                   ;Tana    ;Tanan;;
c_azov_adj_southern_italian           ;Tana    ;Tanan;;
c_azov_adj_turkish                    ;        ;Azakan;;
c_azov_adj_turkmen                    ;        ;Azakan;;
c_azov_adj_tuscan                     ;Tana    ;Tanan;;
c_azov_adj_venetian                   ;Tana    ;Tanan;;
c_baalbek_adj_frankish                ;        ;Balbecan;;
c_baalbek_adj_greek                   ;        ;Helioupolitan;;
c_baalbek_adj_norman                  ;        ;Balbecan;;
c_bacau_adj                           ;Bacau   ;Bacauian;;Bacauian
c_bacs_adj                            ;Bács    ;Bácsish;;Bacsian
c_bacs_adj_bohemian                   ;        ;Báchian;;
c_bacs_adj_bosnian                    ;        ;Bachian;;
c_bacs_adj_croatian                   ;        ;Bachian;;
c_bacs_adj_german                     ;        ;Batschian;;
c_bacs_adj_slovieni                   ;        ;Báchian;;
c_bacs_adj_oghuz                      ;        ;Baçian;;
c_bacs_adj_pecheneg                   ;        ;Baçian;;
c_bacs_adj_romanian                   ;        ;Bacish;;
c_bacs_adj_serbian                    ;        ;Bachian;;
c_bacs_adj_turkish                    ;        ;Baçian;;
c_bacs_adj_turkmen                    ;        ;Baçian;;
c_baden_adj                           ;Baden   ;Baden;;Badenian
c_baghk_adj                           ;        ;Baghkian;;
c_baghk_adj_oghuz                     ;        ;Kafanian;;
c_baghk_adj_pecheneg                  ;        ;Kafanian;;
c_baghk_adj_persian                   ;        ;Kafanian;;
c_baghk_adj_turkish                   ;        ;Kafanian;;
c_baghk_adj_turkmen                   ;        ;Kafanian;;
c_bagirmi_adj                         ;        ;Bagirmi;;
c_bagnacavallo_adj                    ;        ;Bagnacavallo;;
c_bagrewand_adj                       ;Ayraratian;Ayrarati;;
c_bahnasa_adj                         ;        ;Bahnasí;;
c_bahnasa_adj_greek                   ;        ;Oxyrynchan;;
c_bahriya_adj                         ;        ;Bahríyí;;
c_bahriya_adj_greek                   ;        ;Oasis Mikran;;
c_bailenahuige_adj                    ;        ;Baile Na H Uigeach;;
c_baluchistan_adj                     ;        ;Baluchi;;
c_bamberg_adj                         ;Bamberg ;Bamberg;;Bambergian
c_bambuk_adj                          ;Bambouk ;Bambukí;;Bambukan
c_bandava_adj                         ;        ;Bandavaish;;
c_bangor_adj                          ;        ;Bangoran;;
c_bar_adj                             ;Bar     ;Bar;;Barrois
c_bari_adj                            ;Conversano;Conversano;;Barian
