#ID       ;SED     ;SWMH;CULTURE;CHARACTERS
#01_tuscan dynastiesSWMH.txt;;;;
1000035067;        ;Cavalcanti;tuscan;
1000035068;        ;Giandonati;tuscan;
1000035069;        ;Piccolomini;tuscan;
1000035070;        ;Tarlatini;tuscan;
1000035071;        ;Baglioni;tuscan;
1000035072;        ;Altoviti;tuscan;
1000035073;        ;Lucchesi;tuscan;
1000035074;Bonaparte;Buonaparte;tuscan;
1000035075;        ;Guicciardini;tuscan;
1000035076;        ;Guadagni;tuscan;
1000035077;        ;Trenta;tuscan;
1000035078;degli Albizzi;Albizzi;tuscan;
1000035079;        ;Donati;tuscan;
1000035080;        ;Cherchi;tuscan;
1000035060;Cinta Senese;Cinta senese;tuscan;
#02_arpitan dynastiesSWMH.txt;;;;
1000035081;of Challant;Challant;arpitan;1000091116|1000091117|1000091118|1000091119|1000091120|1000091121|1000091122|1000091123|1000091124|1000091125|1000091126|1000091127|1000091128|1000091129|1000091130|1000091131|1000091132|1000091133|1000091134|1000091135|1000091136|1000091137|1000091138|1000091139
1000035082;        ;Sarriod;arpitan;
#03_corsican dynastiesSWMH.txt;;;;
1000035151;Paoli   ;De Paoli;corsican;
#04_sardinian dynastiesSWMH.txt;;;;
#05_venetian dynastiesSWMH.txt;;;;
1000035221;        ;Carraresi;venetian;
1000035222;        ;Camposampiero;venetian;
1000035223;        ;Barbarigo;venetian;
1000035224;        ;Bembo;venetian;
1000035225;        ;Bon;venetian;
1000035226;        ;Bragadin;venetian;
1000035227;        ;Badoer;venetian;
1000035228;        ;Barbaro;venetian;
1000035229;        ;Contarini;venetian;
1000035230;        ;Dolfin;venetian;
1000035231;        ;Loredan;venetian;
1000035232;        ;Orseolo;venetian;
1000035233;        ;Pisani;venetian;
1000035234;        ;Priuli;venetian;
1000035235;        ;Partecipazio;venetian;
1000035236;        ;Querini;venetian;
1000035237;        ;Thiene;venetian;
1000035238;        ;Altan;venetian;
1000035239;        ;Amalteo;venetian;
1000035240;        ;Bonomo;venetian;
1000035241;        ;Caiselli;venetian;
1000035242;        ;Colloredo;venetian;
1000035243;        ;Lanthieri;venetian;
1000035244;        ;Panciera;venetian;
1000035245;        ;Polcenigo;venetian;
1000035246;        ;Prata;venetian;
1000035247;        ;Sbrojavacca;venetian;
1000035248;        ;Obizzi;venetian;
1000035249;        ;da Peraga;venetian;
1000035250;        ;Carbonara;venetian;
1000035251;        ;Collalto;venetian;
1000035252;        ;Tempesta;venetian;
1000035253;        ;Baffo;venetian;
1000035254;        ;Bembo;venetian;
1000035255;        ;Cappello;venetian;
1000035256;        ;Magno;venetian;
1000035257;        ;Marcello;venetian;
1000035258;        ;Moro;venetian;
1000035259;        ;Mosto;venetian;
1000035260;        ;Mula;venetian;
1000035261;        ;Nadal;venetian;
1000035262;        ;Orio;venetian;
1000035263;        ;Porto;venetian;
1000035264;        ;Salamon;venetian;
1000035265;        ;Valier;venetian;
1000035266;        ;Trissino;venetian;
1000035267;        ;Venier;venetian;
1000035268;        ;Molin;venetian;
1000035269;        ;Foscari;venetian;
1000035270;        ;Briani;venetian;
1000035271;        ;Sambonifacio;venetian;
1000035272;        ;Barbaran;venetian;
1000035273;        ;Bissari;venetian;
1000035274;        ;Acotanto;venetian;
1000035275;        ;Amizzo;venetian;
1000035276;        ;Armer;venetian;
1000035277;        ;Barison;venetian;
1000035278;        ;Basadonna;venetian;
1000035279;        ;Baseggio;venetian;
1000035280;        ;Belegno;venetian;
1000035281;        ;Boldù;venetian;
1000035282;        ;Bollani;venetian;
1000035283;        ;Calbo;venetian;
1000035284;        ;Caotorta;venetian;
1000035285;        ;Caravello;venetian;
1000035286;        ;Centranico;venetian;
1000035287;        ;Correr;venetian;
1000035288;        ;Diedo;venetian;
1000035289;        ;Erizzo;venetian;
1000035290;        ;Foscarini;venetian;
1000035313;        ;Ragogna;venetian;
1000035312;        ;Strassoldo;venetian;
#06_ligurian dynastiesSWMH.txt;;;;
1000035291;        ;Cybo;ligurian;
1000035292;        ;Doria;ligurian;
1000035293;        ;Malaspina;ligurian;
1000035294;        ;De Fornari;ligurian;1000091065|1000091066
1000035295;        ;Ceva;ligurian;
1000035296;        ;Delle Piane;ligurian;1000091067|1000091068
1000035297;        ;Di Negro;ligurian;
1000035298;        ;Tartaro;ligurian;1000091069|1000091070|1000091071|1000091072
1000035299;        ;Staglieno;ligurian;
1000035300;        ;Cattaneo;ligurian;1000091073|1000091074|1000091075|1000091076|1000091077|1000091078|1000091079|1000091080|1000091081
1000035301;        ;Embriaci;ligurian;1000091082|1000091083|1000091084|1000091085|1000091086|1000091087|1000091088|1000091089|1000091090|1000091091|1000091092|1000091093|1000091094|1000091095|1000091096|1000091097|1000091098|1000091099|1000091100|1000091101|1000091102|1000091103|1000091104|1000091105|1000091106|1000091107
1000035302;        ;Riario;ligurian;
#07_southern_italian dynastiesSWMH.txt;;;;
1000035431;        ;Ruffo;southern_italian;1000091142|1000091143|1000091144
1000035432;        ;Castriota;southern_italian;
1000035433;        ;D'Amico;southern_italian;1000091145|1000091146|1000091147|1000091148|1000091149|1000091150|1000091151
1000035434;        ;Dé Monti;southern_italian;
1000035435;        ;Ligorio;southern_italian;
1000035436;        ;Longo;southern_italian;
1000035437;        ;Paladini;southern_italian;1000091152
1000035438;        ;Pentasuglia;southern_italian;
1000035439;        ;Falluca;southern_italian;1000091155|1000091156|1000091157|1000091158|1000091153|1000091154
1000035440;        ;Borrello;southern_italian;
1000035441;        ;Pignatelli;southern_italian;
#08_central_italian dynastiesSWMH.txt;;;;
1000035361;        ;Boncompagni;central_italian;
1000035362;        ;Ruspoli;central_italian;
1000035363;        ;Caetani;central_italian;
1000035364;        ;Albani;central_italian;
1000035365;        ;Barberini;central_italian;
1000035366;        ;Borghese;central_italian;
1000035367;        ;Cesarini;central_italian;
1000035368;        ;Pamphili;central_italian;
1000035369;        ;Farnese;central_italian;
1000035370;        ;Mancini;central_italian;
1000035371;        ;Mazzetti di Pietralata;central_italian;
1000035372;        ;Torlonia;central_italian;
1000035373;        ;Turcii;central_italian;
1000035374;        ;Baglioni;central_italian;
1000035375;        ;Trinci;central_italian;
1000035376;        ;Acquaviva;central_italian;
1000035377;        ;Crollalanza;central_italian;
1000035378;        ;Da Montefeltro;central_italian;1000167212|1000167213|1000167214
1000035379;        ;Del Cassero;central_italian;
1000035380;        ;Della Rovere;central_italian;
1000035381;        ;Leopardi;central_italian;
1000035382;        ;Gabrielli;central_italian;
1000035383;        ;Massimo;central_italian;
1000035384;        ;Cantelmo;central_italian;
1000035385;        ;dei Marsi;central_italian;
1000035386;        ;Anguillara;central_italian;
1000035387;        ;de Ceccano;central_italian;
1000035388;        ;Di Vico;central_italian;
1000035389;        ;Ottaviani;central_italian;
1000035390;        ;Serlupi;central_italian;
1000035391;        ;Valderetti;central_italian;
1000035392;        ;Altieri;central_italian;
1000035393;        ;Annibaldi;central_italian;
1000035394;        ;Crescenzi;central_italian;
1000035395;        ;Frangipane;central_italian;
1000035396;        ;Mattei;central_italian;
1000035397;        ;Da Buscareto;central_italian;
1000035398;        ;della Genga;central_italian;
1000035399;        ;Guiderocchi;central_italian;
1000035400;        ;Ottoni;central_italian;
1000035401;        ;Saladini;central_italian;
1000035402;        ;Sgariglia;central_italian;
1000035403;        ;Varano;central_italian;
1000035404;        ;Baschi;central_italian;
1000035405;        ;Vitelli;central_italian;
1000035406;        ;Baglioni;central_italian;
1000035407;        ;di Fizdanza;central_italian;1000226030
#09_sicilian dynastiesSWMH.txt;;;;
1000035501;        ;Alagona;sicilian;
1000035502;        ;Caetani;sicilian;
1000035503;        ;De Luna;sicilian;
1000035504;        ;Florio;sicilian;
1000035505;        ;Majorana-Calatabiano;sicilian;
1000035506;        ;Paternò;sicilian;
1000035507;        ;Aceto;sicilian;
1000035508;        ;Asmundo;sicilian;
1000035509;        ;Avarna;sicilian;
1000035510;        ;Cipolla;sicilian;
1000035511;        ;Crisafulli;sicilian;
1000035512;        ;D'Amico;sicilian;
1000035513;        ;Fardella;sicilian;
1000035514;        ;Gravina;sicilian;
1000035515;        ;Lauria;sicilian;
1000035516;        ;Lanza;sicilian;
1000035517;        ;Lentini;sicilian;
1000035518;        ;Manno;sicilian;
1000035519;        ;Mazzarino;sicilian;
1000035520;        ;Montaperto;sicilian;
1000035521;        ;Peralta;sicilian;
1000035522;        ;Perollo;sicilian;
1000035523;        ;Rosso;sicilian;
1000035524;        ;Stendardo;sicilian;
1000035525;        ;Trimarchi;sicilian;
1000035526;        ;Valguarnera;sicilian;
1000035527;        ;Branciforte;sicilian;
1000035528;        ;Callari;sicilian;
1000035529;        ;Marchetti;sicilian;
1000035530;        ;Filangeri di Cutò;sicilian;
1000035531;        ;Gioeni;sicilian;
1000035532;        ;Grifeo;sicilian;
1000035533;        ;La Grua;sicilian;
1000035534;        ;Landolina;sicilian;
1000035535;        ;Nasitto;sicilian;
1000035536;        ;Notarbartolo;sicilian;
1000035537;        ;Orioles;sicilian;
1000035538;        ;Parisio;sicilian;
1000035539;        ;Requesens;sicilian;
1000035540;        ;Roccaberti;sicilian;
1000035541;        ;Samonà;sicilian;
1000035542;        ;Statella;sicilian;
1000035543;        ;Tagliavia;sicilian;
1000035544;        ;Villadicani;sicilian;
1000035545;        ;Villaragut;sicilian;
1000035546;        ;Molfetta;sicilian;
1000035547;        ;Albirolo;sicilian;
#10_langobardisch dynastiesSWMH.txt;;;;
1000035571;        ;Siconidi;langobardisch;
1000035572;        ;Dauferidi;langobardisch;
1000035573;        ;Landolfidi;langobardisch;1000167123
1000035574;        ;Amalfitani;langobardisch;
1000035575;        ;Di Spoleto;langobardisch;
1000035576;        ;Da Procida;langobardisch;
1000035577;        ;Barile;langobardisch;
1000035578;        ;Melatino;langobardisch;
1000035579;        ;Monaldeschi;langobardisch;
1000035580;        ;Trinci;langobardisch;
#11_neapolitan dynastiesSWMH.txt;;;;
1000035641;        ;Acquaviva;neapolitan;
1000035642;        ;D'Angiò;neapolitan;
1000035643;        ;Caracciolo;neapolitan;
1000035644;        ;Carafa;neapolitan;
1000035645;        ;Sanseverino;neapolitan;
1000035646;        ;Sergi;neapolitan;
1000035647;        ;Tocco;neapolitan;
1000035648;        ;Abbate de Castello;neapolitan;
1000035649;        ;Acciapaccia;neapolitan;
1000035650;        ;Antinori;neapolitan;
1000035651;        ;Alagna;neapolitan;
1000035652;        ;Cantelmo;neapolitan;
1000035653;        ;Capano;neapolitan;
1000035654;        ;Capasso;neapolitan;
1000035655;        ;Capece;neapolitan;
1000035656;        ;D'Afflitto;neapolitan;
1000035657;        ;Dentice;neapolitan;
1000035658;        ;Filangieri;neapolitan;
1000035659;        ;Pignatelli;neapolitan;
1000035660;        ;Pironti;neapolitan;
1000035661;        ;Rizzo;neapolitan;
1000035662;        ;Ruggi;neapolitan;
1000035663;        ;Avarna;neapolitan;
1000035664;        ;Della Marra;neapolitan;
1000035665;        ;Di Sangro;neapolitan;
1000035666;        ;Fontanarosa;neapolitan;
1000035667;        ;Gesualdo;neapolitan;
1000035668;        ;Lancellotti;neapolitan;
1000035669;        ;Nuzzo;neapolitan;
1000035670;        ;Pagano;neapolitan;
1000035671;        ;Sanfelice;neapolitan;
1000035672;        ;Zurlo;neapolitan;
#12_lombard dynastiesSWMH.txt;;;;
1000035711;        ;Rossi di Parma;italian;
1000035712;        ;Benaglio;italian;
1000035713;        ;Antegnati;italian;
1000035714;        ;Averoldi;italian;
1000035715;        ;Calegari;italian;
1000035716;        ;Carra;italian;
1000035717;        ;Casalodi;italian;
1000035718;        ;Delle Croci;italian;
1000035719;        ;Federici;italian;
1000035720;        ;Fenaroli;italian;
1000035721;        ;Gambara;italian;
1000035722;        ;Martinengo;italian;
1000035723;        ;Olofredi;italian;
1000035724;        ;Poncarale;italian;
1000035725;        ;Rodengo;italian;
1000035726;        ;Besozzi;italian;
1000035727;        ;Corradidi;italian;
1000035728;        ;Curti;italian;
1000035729;        ;Dal Verme;italian;
1000035730;        ;Sessa;italian;
1000035731;        ;Albani;italian;
1000035732;        ;Bravi;italian;
1000035733;        ;Crotta;italian;
1000035734;        ;Suardi;italian;
1000035735;        ;Avogadro;italian;
1000035736;        ;Lucini;italian;
1000035737;        ;Rusca;italian;
1000035738;        ;Cavalcabò;italian;
1000035739;        ;Andreasi;italian;
1000035740;        ;Cavriani;italian;
1000035741;        ;Bottigella;italian;
1000035742;        ;Sannazzaro;italian;
1000035743;        ;Aliprandi;italian;
1000035744;        ;Archinto;italian;
1000035745;        ;Brivio;italian;
1000035746;        ;Casati;italian;
1000035747;        ;Castelbarco;italian;
1000035748;        ;Lampugnani;italian;
1000035749;        ;Landriani;italian;
1000035750;        ;Lanthieri;italian;
1000035751;        ;Porro;italian;
1000035752;        ;Taverna;italian;
1000035753;        ;Trivulzio;italian;
1000035754;        ;Verri;italian;
1000035755;        ;Bruno di Tornaforte;italian;
1000035756;        ;Buffa di Perrero;italian;
1000035757;        ;Catena;italian;
1000035758;        ;De Gabiano;italian;
1000035759;        ;Del Vasto;italian;
1000035760;        ;Ongran;italian;
1000035761;        ;di Pombia;italian;
1000035762;        ;Provana;italian;
1000035763;        ;Vialardi;italian;
1000035764;        ;Alfieri;italian;
1000035765;        ;Alioni;italian;
1000035766;        ;Antignano;italian;
1000035767;        ;Garetti;italian;
1000035768;        ;Montafia;italian;
1000035769;        ;Manfredi;italian;
1000035770;        ;Accarisi;italian;
1000035771;        ;Alidosi;italian;
1000035772;        ;Calboli;italian;
1000035773;        ;Garagnani;italian;
1000035774;        ;Merenda;italian;
1000035775;        ;Silighini;italian;
1000035776;        ;Albergati;italian;
1000035777;        ;Geremia;italian;
1000035778;        ;Isolani;italian;
1000035779;        ;Montecuccoli;italian;
1000035780;        ;Pico;italian;
1000035304;        ;Parpaglia;italian;
1000035305;        ;Scarampi;italian;
1000035306;        ;Bonalcosi;italian;
1000035307;        ;della Faggiuola;italian;
1000035308;        ;Da Polenta;italian;
1000035309;        ;Solaro;italian;
1000035310;        ;Faletti;italian;
1000035311;        ;Pagani;italian;
1000035313;        ;Trivulzio;italian;
#13_pommeranian dynastiesSWMH.txt;;;;
1000035781;        ;Barnekow;pommeranian;
1000035782;        ;Linstow;pommeranian;
1000035783;        ;Vestenie;pommeranian;
1000035784;        ;Normann;pommeranian;
1000035785;        ;Santz;pommeranian;
1000035786;        ;Steinwehr;pommeranian;
1000035787;        ;Moltke;pommeranian;
1000035788;        ;Pressentin;pommeranian;
1000035789;        ;Knuth;pommeranian;
1000035790;        ;Dodenberg;pommeranian;
1000035791;        ;Göretze;pommeranian;
1000035792;        ;Mule;pommeranian;
1000035793;        ;Krakewitz;pommeranian;
1000100400;        ;Velunzani;pommeranian;1000226900|1000226901
1000100401;        ;Licicaviki;pommeranian;1000226902|1000226903|1000226904
1000103840;        ;Raciborzyce;pommeranian;
1000103841;        ;Sobieslawice;pommeranian;
1000103842;        ;Swantiboricz;pommeranian;
1000103843;        ;Meklemburska;pommeranian;
1000103844;        ;Obodrytow;pommeranian;
1000103845;        ;Grelle;pommeranian;
#15_danish dynastiesSWMH.txt;;;;
1000035851;        ;Sested;danish;
1000035852;        ;Krag;danish;
1000035853;        ;Krummedige;danish;
1000035854;        ;Grubbe;danish;
1000035855;        ;Krugelund;danish;
1000035856;        ;Galskyt;danish;
1000035857;        ;Vind;danish;
1000035858;        ;Giedde;danish;
1000035859;        ;Aasmul;danish;
1000035860;        ;Kjærulf;danish;
1000035861;        ;Lykke;danish;
1000035862;        ;Godov;danish;
1000035863;        ;Rani;danish;
1000035864;        ;Skram;danish;
1000035865;        ;Kruse;danish;
1000035866;        ;Markmand;danish;
1000035867;        ;Løvenbalk;danish;
1000035868;        ;Lund;danish;
1000035869;        ;Pors;danish;
1000035870;        ;Lunge;danish;
1000035871;        ;Krumpen;danish;
1000035872;        ;Prip;danish;
1000035873;        ;Mus;danish;
1000035874;        ;Kirt;danish;
1000035875;        ;Af Vadskær;danish;
1000035876;        ;Harbou;danish;
1000035877;        ;Glug;danish;
1000035878;        ;Due;danish;1000227860|1000227861|1000227862|1000227864|1000227865|1000227866|1000227867|1000227868|1000227869|1000227870|1000227871|1000227878
1000035879;        ;Griis;danish;
1000035880;        ;Grim;danish;
1000035881;        ;Glob;danish;
1000035882;        ;Skovgård;danish;
1000035883;        ;Steeg;danish;
1000035884;        ;Straale;danish;
1000035885;        ;Steen;danish;
1000035886;        ;Snekken;danish;
1000035887;        ;Sommer;danish;
1000035888;        ;Saxtrup;danish;
1000035889;        ;Sappi;danish;
1000035890;        ;Brock;danish;
1000035891;        ;Laxmand;danish;
1000035892;        ;Skade;danish;
1000035893;        ;Røde;danish;
1000035894;        ;Råsted;danish;
1000035895;        ;Rød;danish;
1000035896;        ;Abildgaard;danish;
1000035897;        ;Hvide;danish;
1000035898;        ;Kyrning;danish;
1000035900;        ;Dreefeld;danish;
1000053800;        ;Dotting;danish;
1000053801;        ;Gagge;danish;
1000053802;        ;Rudbek;danish;
1000053803;        ;Taa;danish;
1000053804;        ;Urne;danish;1000227903|1000227904|1000227905|1000227906|1000227907|1000227908|1000227909|1000227910|1000227911|1000227912|1000227913
1000053805;        ;Tinhuus;danish;
1000053806;        ;Vognsen;danish;
1000053807;        ;Udsen;danish;
1000053808;        ;Halland;danish;
1000053809;        ;Falster;danish;
1000053810;        ;Reef;danish;
1000053811;        ;Hørby;danish;
1000053812;        ;Limbek;danish;
1000053813;        ;Krognos;danish;1000227951|1000227952|1000227953|1000227954|1000227955
1000053814;        ;Kruckow;danish;
1000053815;        ;Smalsted;danish;
1000053816;        ;Vinter;danish;
1000053817;        ;Panter;danish;
1000053818;        ;Skaaning;danish;
1000053819;        ;Fasti;danish;
1000053820;        ;Stalder;danish;
1000053821;        ;Lange;danish;
1000053822;        ;Mormand;danish;
1000053823;        ;Bodilsen;danish;1000227850|1000227852|1000227853|1000227854|1000227856
#16_norwegian dynastiesSWMH.txt;;;;
1000053600;        ;Slæðe;norwegian;
1000053601;        ;Paus;norwegian;
1000053602;        ;Skaktavl;norwegian;
1000053603;        ;Hrafn;norwegian;
1000053604;        ;Haukur;norwegian;
1000053605;        ;Loftur;norwegian;
1000053606;        ;Torfi;norwegian;
1000053607;        ;Bjørn;norwegian;
1000053608;        ;Eggert;norwegian;
1000053609;        ;Hummer;norwegian;
1000053610;        ;Skak;norwegian;
1000053611;        ;Kalips;norwegian;
#17_swedish dynastiesSWMH.txt;;;;
1000053700;        ;Tillbakaseende Ulv;swedish;
1000053701;        ;Hand;swedish;
1000053702;        ;Uggla;swedish;
1000053703;        ;Gyllenstierna;swedish;
1000053704;        ;Häst;swedish;
1000053705;        ;Sabelskjöld;swedish;
1000053706;        ;Gumsehuvud;swedish;
1000053707;        ;Barun;swedish;
1000053708;        ;Forstena;swedish;
1000053709;        ;Sandbro;swedish;
1000053710;        ;Ama;swedish;
1000053711;        ;Örnfot;swedish;
1000053712;        ;av Aranäs;swedish;1000234000
#18_gothic dynastiesSWMH.txt;;;;
1000053901;        ;Av Folke;gothic;1000227876
1000053902;        ;Aspenäs;gothic;
1000053903;        ;Gumsehuvud;gothic;
1000053904;        ;Glysing;gothic;
1000053905;        ;Gädda;gothic;
1000053906;        ;Hjärne;gothic;
1000053907;        ;Läma;gothic;
1000053908;        ;Änga;gothic;
1000053909;        ;Näf;gothic;
1000053910;        ;Stjärnbåt;gothic;
1000053911;        ;Rakered;gothic;
1000053912;        ;Hatt;gothic;
#19_andaluzian dynastiesSWMH.txt;;;;
1000053000;        ;Banu Razid;andalusian_arabic;
1000053001;        ;Banu Amir;andalusian_arabic;
1000053002;        ;Banu Aglab;andalusian_arabic;
1000053003;        ;Banu Dil-Nun;andalusian_arabic;
1000053004;        ;Banu Sumadih;andalusian_arabic;
1000053005;        ;Banu Qasim;andalusian_arabic;
#20_frisian dynastiesSWMH.txt;;;;
1000053030;        ;Abdena;frisian;
1000053031;        ;Aildesna;frisian;
1000053032;        ;Tjarksena;frisian;
1000053033;        ;Onneken;frisian;
1000053034;        ;fan Innhausen;frisian;
1000053035;        ;fan Knyphausen;frisian;
1000053036;        ;Manninga;frisian;
1000053037;        ;Ukena;frisian;
1000053038;        ;Allena;frisian;
1000053039;        ;Wiemken;frisian;
1000053040;        ;Papinga;frisian;
1000053041;        ;Beninga;frisian;
1000053042;        ;Roorda;frisian;
1000053043;        ;Aartsma;frisian;
1000053044;        ;Alkema;frisian;
1000053045;        ;Alserda;frisian;
1000053046;        ;Anema;frisian;
1000053047;        ;Anjema;frisian;
1000053048;        ;Annema;frisian;
1000053049;        ;Arkema;frisian;
1000053050;        ;Atmsa;frisian;
1000053051;        ;Aukema;frisian;
1000053052;        ;Baarda;frisian;
1000053053;        ;Baarsma;frisian;
1000053054;        ;Bakema;frisian;
1000053055;        ;Barwegen;frisian;
1000053056;        ;Bootsma;frisian;
1000053057;        ;de Vries;frisian;
1000053058;        ;Dijkstra;frisian;
1000053059;        ;Hansen;frisian;
1000053060;        ;Herrema;frisian;
1000053061;        ;Hoekstra;frisian;
1000053062;        ;Laninga;frisian;
1000053063;        ;Reijnder;frisian;
1000053064;        ;van Wieren;frisian;
1000053065;        ;tom Brok;frisian;
1000103800;        ;Ripperda;frisian;
1000103801;        ;Heemstra;frisian;
1000103802;        ;Albada;frisian;
1000103803;        ;Hopper;frisian;
1000103804;        ;Harinxma;frisian;
1000103805;        ;Attena;frisian;
1000103806;        ;Idzinga;frisian;
1000103807;        ;Kankena;frisian;
1000103808;        ;Liauckema;frisian;
1000103809;        ;Regnarda;frisian;
1000103810;        ;Bockema;frisian;
1000103811;        ;Hettinga;frisian;
1000103812;        ;Walta;frisian;
1000103813;        ;Onsta;frisian;
1000103814;        ;Ewsum;frisian;
1000103815;        ;Lewe;frisian;
1000103816;        ;Jemgum;frisian;
1000103817;        ;Rengers;frisian;
1000103818;        ;fan Westflinge;frisian;
1000103819;        ;fan Eastfryslân;frisian;
#21_icelandic dynastiesSWMH.txt;;;;
1000053070;        ;Aronsson;icelandic;
1000053071;        ;Viktorsson;icelandic;
1000053072;        ;Jónsson;icelandic;
1000053073;        ;Mikkelsson;icelandic;
1000053074;        ;Kristofersson;icelandic;
1000053075;        ;Sigurðsson;icelandic;
1000053076;        ;Kárisson;icelandic;
1000053077;        ;Arnarsson;icelandic;
1000053078;        ;Alexandersson;icelandic;
1000053079;        ;Bjarkisson;icelandic;
1000053080;        ;Tómasson;icelandic;
1000053081;        ;Ólafursson;icelandic;
1000053082;        ;Olavsson;icelandic;
1000053083;        ;Christiansson;icelandic;
1000053084;        ;Brynjarsson;icelandic;
1000053085;        ;Gunnarsson;icelandic;
1000053086;        ;Ísaksson;icelandic;
1000053087;        ;Þorgilsson;icelandic;
1000053088;        ;Þorsson;icelandic;
1000053089;        ;Eiríksson;icelandic;
1000053090;        ;Sturluson;icelandic;
1000053091;        ;Stefansson;icelandic;
1000053092;        ;Sigurbjornsson;icelandic;
1000053093;        ;Einarsson;icelandic;
1000053094;        ;Magnússon;icelandic;
1000053095;        ;Guðmundsson;icelandic;
1000053096;        ;Valdimarsson;icelandic;
1000053097;        ;Antonsson;icelandic;
1000053098;        ;Arisson;icelandic;
1000053099;        ;Sæmundsson;icelandic;
1000053100;        ;Gissurarson;icelandic;
#22_cornish dynastiesSWMH.txt;;;;
1000053110;        ;Trelawny;cornish;
1000053111;        ;Trevithick;cornish;
1000053112;        ;Polperro;cornish;
1000053113;        ;Polkerris;cornish;
1000053114;        ;de Penzance;cornish;
1000053115;        ;Kerfosow;cornish;
1000053116;        ;Carrek;cornish;
1000053117;        ;Rosdew;cornish;
1000053118;        ;Roswarne;cornish;
1000053119;        ;Landry;cornish;
1000053120;        ;Gwavas;cornish;
1000053121;        ;Hammett;cornish;
1000053122;        ;Tremethyk;cornish;
1000053123;        ;Trenowden;cornish;
1000053124;        ;Penprase;cornish;
1000053125;        ;Nancekivell;cornish;
1000053126;        ;Angove;cornish;
1000053127;        ;Dyer;cornish;
1000053128;        ;Helyer;cornish;
1000053129;        ;Marrak;cornish;
1000053130;        ;Gloyne;cornish;
1000053131;        ;Gwennol;cornish;
1000053132;        ;Pascoe;cornish;
1000053133;        ;Teague;cornish;
1000053134;        ;Gwydn;cornish;
1000053135;        ;Baragwanath;cornish;
1000053136;        ;Trescothick;cornish;
1000053137;        ;Penberthy;cornish;
1000053138;        ;Nancarrow;cornish;
1000053139;        ;Chenoweth;cornish;
1000053140;        ;Menhenick;cornish;
1000053141;        ;Penhaligon;cornish;
1000053142;        ;Arundell;cornish;
1000053143;        ;Boscawen;cornish;
1000053144;        ;Godolphin;cornish;
#23_mercs dynastiesSWMH.txt;;;;
1000053150;        ;of Camelot;english;1000140050|1000140051
1000053151;        ;Þorvaldsson;norwegian;1000140055
1000053152;        ;Haraldrson;danish;1000140056
1000053153;        ;Donia;frisian;1000140057
