#CODE                            ;SED2    ;SWMH;OTHER;SED1;VANILLA
#CombatUpdate.csv;;
#India.csv;;
c_kandail_adj                    ;        ;;;;Kandail
c_makran_adj                     ;        ;;;;Makran
#LegacyOfRome.csv;;
#RulerDesigner.csv;;
#SwordOfIslam.csv;;
#WikipediaLinks.csv;;
#sunset_invasion.csv;;
e_mexikha                        ;        ;;;;Aztec Empire
e_mexikha_adj                    ;        ;;;;Aztec
#text1.csv;;
d_uppland                        ;        ;;Sviþjod;;Uppland
d_uppland_adj                    ;        ;;;;Upplander
c_uppland_adj                    ;        ;;;;Upplander
c_vastergotland_adj              ;        ;;;;West Geatish
c_ostergotland_adj               ;        ;;;;East Geatish
c_sodermanland_adj               ;        ;;;;Södermannian
c_gotland_adj                    ;        ;;;;Gotlander
c_smaland_adj                    ;        ;;;;Värender
e_rebels                         ;        ;;;;Rebels
e_rebels_adj                     ;        ;;;;Rebel
e_pirates                        ;        ;;;;Pirates
e_latin_empire_adj               ;        ;;;;Latin
c_kaisereia_adj                  ;        ;;;;Kaisereian
c_galatia_adj                    ;        ;;;;Galatian
c_amisos_adj                     ;        ;;;;Amisosian
c_sinope_adj                     ;        ;;;;Sinopean
c_paphlagonia_adj                ;        ;;;;Paphlagonian
c_herakleia_adj                  ;        ;;;;Herakleian
c_ankyra_adj                     ;        ;;;;Ancyran
c_nikaea_adj                     ;        ;;;;Nikaean
c_nikomedeia_adj                 ;        ;;;;Nikomedeian
c_kyzikos_adj                    ;        ;;;;Kyzikosian
c_dorylaion_adj                  ;        ;;;;Dorylaionian
c_ikonion_adj                    ;        ;;;;Ikonionian
c_smyrna_adj                     ;        ;;;;Smyrnan
c_abydos_adj                     ;        ;;;;Abydosian
c_euboia_adj                     ;        ;;;;Euboian
c_kaliopolis_adj                 ;        ;;;;Kaliopolisian
c_thessalonike_adj               ;        ;;;;Thessalonikian
c_epeiros_adj                    ;        ;;;;Epirotian
c_arta_adj                       ;        ;;;;Artan
c_cephalonia_adj                 ;        ;;;;Phaeacians
c_hellas_adj                     ;        ;;;;Hellenic
c_atheniai_adj                   ;        ;;;;Athenian
c_achaia_adj                     ;        ;;;;Achaian
c_korinthos_adj                  ;        ;;;;Korinthian
c_methone_adj                    ;        ;;;;Methonian
c_theodosia_adj                  ;        ;;;;Theodosian
c_cherson_adj                    ;        ;;;;Chersonian
c_attaleia_adj                   ;        ;;;;Attaleian
c_rhodos_adj                     ;        ;;;;Rhodian
c_lykia_adj                      ;        ;;;;Lykian
c_gastrikland_adj                ;        ;;;;Gästriklander
c_aland_adj                      ;        ;;;;Ålander
d_ostergotland                   ;        ;;Austrgautland,Østergøtland;;Östergötland
d_ostergotland_adj               ;        ;;;;East Geatish
c_narke_adj                      ;        ;;;;Närkian
d_vastergotland                  ;        ;;Vestrgautland;;Västergötland
d_vastergotland_adj              ;        ;;;;West Geatish
c_dal_adj                        ;        ;;;;Dalabo
c_viken_adj                      ;        ;;;;Vikish
d_norrland                       ;        ;;Kænlandi,Cwenaland,Norlanti;;Norrland
d_norrland_adj                   ;        ;;;;Norrlander
c_vasterbotten_adj               ;        ;;;;Västerbottnian
c_angermanland_adj               ;        ;;;;Ångermanlander
c_medelpad_adj                   ;        ;;;;Medelpadian
c_halsingland_adj                ;        ;;;;Hälsinglander
c_dalarna_adj                    ;        ;;;;Dalish
c_varmland_adj                   ;        ;;;;Värmlander
c_vastmanland_adj                ;        ;;;;Västmanlander
d_smaland                        ;        ;;Smáland;Gotland;Småland
d_smaland_adj                    ;        ;;;Gotlandish;Smålander
c_oland_adj                      ;        ;;;;Ölander
c_hamburg_adj                    ;        ;;;;Hamburgian
c_lubeck_adj                     ;        ;;;;Lübecker
c_holstein_adj                   ;        ;;;;Holsteinian
c_bremen_adj                     ;        ;;;;Bremenian
c_oldenburg_adj                  ;        ;;;;Oldenburgian
c_osnabruck_adj                  ;        ;;;;Osnabrückian
c_munster_adj                    ;        ;;;;Munsterian
c_gottingen_adj                  ;        ;;;;Göttingian
c_rostock_adj                    ;        ;;;;Rostocker
c_werle_adj                      ;        ;;;;Werlian
c_rugen_adj                      ;        ;;;;Rügenian
c_celle_adj                      ;        ;;;;Cellian
c_luneburg_adj                   ;        ;;;;Lüneburgian
c_braunschweig_adj               ;        ;;;;Braunschweigian
c_altmark_adj                    ;        ;;;;Altmarkian
c_anhalt_adj                     ;        ;;;;Anhaltian
d_meissen                        ;        ;;;;Meissen
d_meissen_adj                    ;        ;;;;Meissian
c_meissen_adj                    ;        ;;;;Meissian
c_weimar_adj                     ;        ;;;;Weimarian
c_plauen_adj                     ;        ;;;;Plauenian
c_thuringen_adj                  ;        ;;;;Thüringian
c_nassau_adj                     ;        ;;;;Nassauian
d_holland                        ;        ;;Hollande,Hollân;;Holland
d_holland_adj                    ;        ;;;;Hollander
c_frisia_adj                     ;        ;;;;Frisian
c_holland_adj                    ;        ;;;;Hollander
c_westfriesland_adj              ;        ;;;;Westfrieslander
c_zeeland_adj                    ;        ;;;;Zeelander
d_gelre                          ;        ;;Geldern,Gueldre;;Gelre
c_ostfriesland_adj               ;        ;;;;Ostfrieslander
c_gelre_adj                      ;        ;;;;Gelrian
c_sticht_adj                     ;        ;;;;Stichtian
d_brabant                        ;        ;;;;Brabant
d_brabant_adj                    ;        ;;;;Brabantian
c_brabant_adj                    ;        ;;;;Brabantian
c_hainaut_adj                    ;        ;;;;Hainautian
c_breda_adj                      ;        ;;;;Bredian
d_luxembourg                     ;        ;;Lützelburg,Lutzelburg;;Luxembourg
d_luxembourg_adj                 ;        ;;;;Luxembourgian
c_luxembourg_adj                 ;        ;;;;Luxembourgian
c_loon_adj                       ;        ;;;;Loonian
c_liege_adj                      ;        ;;;;Liegian
c_koln_adj                       ;        ;;;;Kölnian
c_julich_adj                     ;        ;;;;Jülichian
c_trier_adj                      ;        ;;;;Trierian
c_kleve_adj                      ;        ;;;;Klevian
c_mainz_adj                      ;        ;;;;Mainzian
c_leiningen_adj                  ;        ;;;;Leiningian
c_bamberg_adj                    ;        ;;;;Bambergian
c_pfalz_adj                      ;        ;;;;Pfalzian
c_metz_adj                       ;        ;;;;Metzian
c_verdun_adj                     ;        ;;;;Verdunian
c_lorraine_adj                   ;        ;;;;Lorrainian
c_saintois_adj                   ;        ;;;;Saintoisian
d_baden                          ;        ;;;;Baden
d_baden_adj                      ;        ;;;;Badenian
c_baden_adj                      ;        ;;;;Badenian
c_breisgau_adj                   ;        ;;;;Breisgauer
d_alsace                         ;        ;;Elsass,Alsace,Elzas;;Alsace
d_alsace_adj                     ;        ;;;;Alsatian
c_nordgau_adj                    ;        ;;;;Nordgauer
c_sundgau_adj                    ;        ;;;;Sundgauer
c_tirol_adj                      ;        ;;;;Tyrolian
c_trent_adj                      ;        ;;;;Trentian
c_st_gallen_adj                  ;        ;;;;St. Gallenian
c_innsbruck_adj                  ;        ;;;;Innsbruckian
c_schwaben_adj                   ;        ;;;;Swabian
c_ulm_adj                        ;        ;;;;Ulmian
c_furstenberg_adj                ;        ;;;;Fürstenbergian
c_wurttemberg_adj                ;        ;;;;Württembergian
c_kempten_adj                    ;        ;;;;Kemptian
c_oberbayern_adj                 ;        ;;;;Oberbayerian
c_salzburg_adj                   ;        ;;;;Salzburgian
c_niederbayern_adj               ;        ;;;;Niederbayerian
c_nurnberg_adj                   ;        ;;;;Nürnbergian
c_passau_adj                     ;        ;;;;Passauian
c_znojmo_adj                     ;        ;;;;Znojmo
c_osterreich_adj                 ;        ;;;;Österreicher
c_steiermark_adj                 ;        ;;;;Steiermarkian
c_wolgast_adj                    ;        ;;;;Wolgastian
c_stettin_adj                    ;        ;;;;Stettiner
d_pomeralia                      ;        ;;Pommerellen;;Pomeralia
d_pomeralia_adj                  ;        ;;;;Pomeralian
c_chelminskie_adj                ;        ;;;;Chelminskian
c_slupsk_adj                     ;        ;;;;Slupskian
c_lubusz_adj                     ;        ;;;;Lubuszian
c_gnieznienskie_adj              ;        ;;;;Gnieznienskian
c_poznanskie_adj                 ;        ;;;;Poznanskian
c_kaliskie_adj                   ;        ;;;;Kaliskian
c_lower_silesia_adj              ;        ;;;;Lower Silesian
c_upper_silesia_adj              ;        ;;;;Upper Silesian
c_opole_adj                      ;        ;;;;Opolian
c_cieszyn_adj                    ;        ;;;;Cieszyan
c_krakowskie_adj                 ;        ;;;;Krakowskian
c_sacz_adj                       ;        ;;;;Saczian
c_sandomierskie_adj              ;        ;;;;Sandomierskian
c_sieradzko-leczyckie_adj        ;        ;;;;Sieradzko-Leczyckian
c_kujawy_adj                     ;        ;;;;Kujawian
c_scalovia_adj                   ;        ;;;;Scalovian
c_plock_adj                      ;        ;;;;Plockian
c_czersk_adj                     ;        ;;;;Czerskian
c_west_dvina_adj                 ;        ;;;;West Dvinian
d_vitebsk                        ;        ;;;;Vitebsk
d_vitebsk_adj                    ;        ;;;;Vitebskian
d_courland                       ;        ;;Kuurinmaa,Kuramaa,Kurãmõ,Kuršas,Kurzeme,Kurlandia,Kurland;;Courland
d_courland_adj                   ;        ;;;;Courlander
c_zemigalians_adj                ;        ;;;;Zemigallian
c_kurs_adj                       ;        ;;;;Kursian
d_samogitia                      ;        ;;;;Samogitia
d_samogitia_adj                  ;        ;;;;Samogitian
c_zhmud_adj                      ;        ;;;;Lithuanian
c_lettigalians_adj               ;        ;;;;Lettigallian
c_livs_adj                       ;        ;;;;Livonian
c_dorpat_adj                     ;        ;;;;Dorpatian
c_osel_adj                       ;        ;;;;Öselian
c_reval_adj                      ;        ;;;;Kalevanian
c_reval_adj_swedish              ;        ;;;;Revalian
c_reval_adj_danish               ;        ;;;;Revalian
c_reval_adj_norwegian            ;        ;;;;Revalian
c_reval_adj_german               ;        ;;;;Revalian
c_narva_adj                      ;        ;;;;Narvaian
c_vodi_adj                       ;        ;;;;Ingrian
d_karelia                        ;        ;;Kirialaland;;Karelia
d_karelia_adj                    ;        ;;;;Karelian
c_kexholm_adj                    ;        ;;;;Kexholmian
c_savolaks_adj                   ;        ;;;;Savolaksian
c_kemi_adj                       ;        ;;;;Kemian
c_kola_adj                       ;        ;;;;Kolaian
c_kandalax_adj                   ;        ;;;;Kandalaxian
c_nyland_adj                     ;        ;;;;Nylander
c_finland_adj                    ;        ;;;;Finlander
c_tavasts_adj                    ;        ;;;;Tavastian
c_satakunta_adj                  ;        ;;;;Satakuntan
c_osterbotten_adj                ;        ;;;;Ostrobothnian
c_velikiye_luki_adj              ;        ;;;;Lukian
d_yaroslavl                      ;        ;;;;Yaroslavl
d_yaroslavl_adj                  ;        ;;;;Yaroslavian
d_ryazan                         ;        ;;;;Ryazan
d_cheremisa                      ;        ;;;;Cheremisa
d_cheremisa_adj                  ;        ;;;;Cheremisan
c_yaik_adj                       ;        ;;;;Yaikian
c_torki_adj                      ;        ;;;;Torkian
c_belgorod_adj                   ;        ;;;;Belgorodian
c_birlad_adj                     ;        ;;;;Birladian
c_aqtobe_adj                     ;        ;;;;Aqtobian
c_turnu_adj                      ;        ;;;;Turnuian
c_tirgoviste_adj                 ;        ;;;;Tirgovistian
c_severin_adj                    ;        ;;;;Severinian
c_sarpa_adj                      ;        ;;;;Sarpan
c_yegorlyk_adj                   ;        ;;;;Yegorlykian
c_kuma_adj                       ;        ;;;;Kuman
c_mangyshlak_adj                 ;        ;;;;Mangyshlakian
c_bukhara_adj                    ;        ;;;;Bukharan
c_merv_adj                       ;        ;;;;Mervian
c_dihistan_adj                   ;        ;;;;Dihistian
c_gurgan_adj                     ;        ;;;;Gurgian
c_nishapur_adj                   ;        ;;;;Nishapuran
c_qohistan_adj                   ;        ;;;;Qohistian
c_mazandaran_adj                 ;        ;;;;Mazandarian
c_esfahan_adj                    ;        ;;;;Esfahanian
c_yazd_adj                       ;        ;;;;Yazdian
c_shiraz_adj                     ;        ;;;;Shirazian
c_hormuz_adj                     ;        ;;;;Hormuzian
c_kerman_adj                     ;        ;;;;Kermian
c_qom_adj                        ;        ;;;;Qomian
c_hamadan_adj                    ;        ;;;;Hamadian
c_rayy_adj                       ;        ;;;;Rayyan
c_balkh_adj                      ;        ;;;;Balkhian
k_mesopotamia                    ;        ;;;;Mesopotamia
k_mesopotamia_adj                ;        ;;;;Mesopotamian
d_kermanshah                     ;        ;;;;Kermanshah
d_kermanshah_adj                 ;        ;;;;Kermanshahi
c_qazwin_adj                     ;        ;;;;Qazwinian
c_kermanshah_adj                 ;        ;;;;Kermanshahian
c_luristan_adj                   ;        ;;;;Luristian
d_tigris                         ;        ;;;;Tigris
d_tigris_adj                     ;        ;;;;Tigran
c_tigris_adj                     ;        ;;;;Tigrisian
c_al_amarah_adj                  ;        ;;;;Al Amarahian
c_al_nasiryah_adj                ;        ;;;;Al Nasiryahian
d_basra                          ;        ;;;;Basra
d_basra_adj                      ;        ;;;;Basrite
c_kufa_adj                       ;        ;;;;Kufan
c_rummah_adj                     ;        ;;;;Rummahian
c_kuwait_adj                     ;        ;;;;Kuwaitan
c_basra_adj                      ;        ;;;;Basran
c_damman_adj                     ;        ;;;;Dammani
c_al_hasa_adj                    ;        ;;;;Al Hasan
c_bahrein_adj                    ;        ;;;;Bahreinian
d_nefoud                         ;        ;;;;Nefoud
d_nefoud_adj                     ;        ;;;;Nefoudi
c_al_nadjaf_adj                  ;        ;;;;Al Nadjafian
c_al_habbariyah_adj              ;        ;;;;Al Habbariyahian
c_ar_ar_adj                      ;        ;;;;Shakian
c_madaba_adj                     ;        ;;;;Madaban
c_az_zarqa_adj                   ;        ;;;;Az Zarqan
d_baghdad                        ;        ;;;;Baghdad
d_baghdad_adj                    ;        ;;;;Baghdadian
c_karbala_adj                    ;        ;;;;Karbalan
c_baghdad_adj                    ;        ;;;;Baghdadian
c_deir_adj                       ;        ;;;;Deirian
c_kirkuk_adj                     ;        ;;;;Kirkukian
d_mosul                          ;        ;;Mepsila;;Mosul
d_mosul_adj                      ;        ;;;;Mosulian
c_mosul_adj                      ;        ;;;;Mosulian
c_kurdistan_adj                  ;        ;;;;Kurdistanian
c_al_jazira_adj                  ;        ;;;;Al Jaziran
c_al_bichri_adj                  ;        ;;;;Al Bichrian
c_sinjar_adj                     ;        ;;;;Sinjarian
c_bira_adj                       ;        ;;;;Biranian
c_oromieh_adj                    ;        ;;;;Oromiehian
c_gilan_adj                      ;        ;;;;Gilanian
c_tabriz_adj                     ;        ;;;;Tabrizian
d_azerbaijan                     ;        ;;Media Atropatene;;Azerbaijan
d_azerbaijan_adj                 ;        ;;;;Azerbaijani
c_shirvan_adj                    ;        ;;;;Shirvanian
c_azerbaijan_adj                 ;        ;;;;Azerbaijani
c_suenik_adj                     ;        ;;;;Suenikian
c_shemakha_adj                   ;        ;;;;Shemakhan
c_vaspurakan_adj                 ;        ;;;;Vaspurakani
c_dwin_adj                       ;        ;;;;Dwinian
c_ani_adj                        ;        ;;;;Anian
c_karin_adj                      ;        ;;;;Karinian
c_taron_adj                      ;        ;;;;Taronian
c_amida_adj                      ;        ;;;;Amidan
c_nisibin_adj                    ;        ;;;;Nisibinian
d_edessa                         ;        ;;Ar-Ruha,Urfa,Riha;;Edessa
d_edessa_adj                     ;        ;;;;Edessan
c_edessa_adj                     ;        ;;;;Edessan
c_tell_bashir_adj                ;        ;;;;Tell Bashirian
c_aintab_adj                     ;        ;;;;Aintabian
c_koloneia_adj                   ;        ;;;;Coloneian
c_melitene_adj                   ;        ;;;;Melitenian
c_lykandos_adj                   ;        ;;;;Lykandosian
c_tarsos_adj                     ;        ;;;;Tarsosian
c_adana_adj                      ;        ;;;;Adanan
c_teluch_adj                     ;        ;;;;Teluchian
c_seleukeia_adj                  ;        ;;;;Seleukeian
c_theodosiopolis_adj             ;        ;;;;Theodosiopolite
c_trapezous_adj                  ;        ;;;;Trapezousian
c_chaldea_adj                    ;        ;;;;Chaldean
c_kartli_adj                     ;        ;;;;Kartlian
c_tao_adj                        ;        ;;;;Taoian
c_guria_adj                      ;        ;;;;Gurian
c_kakheti_adj                    ;        ;;;;Kakhetian
c_albania_adj                    ;        ;;;;Albanian
c_derbent_adj                    ;        ;;;;Derbentian
c_imeretia_adj                   ;        ;;;;Imeretian
c_abkhazia_adj                   ;        ;;;;Abkhazian
c_galaz_adj                      ;        ;;;;Galazian
c_zeta_adj                       ;        ;;;;Zetan
d_slavonia                       ;        ;;Pannonia Savia;;Slavonia
d_slavonia_adj                   ;        ;;;;Slavonian
c_varadzin_adj                   ;        ;;;;Varazdinian
c_vas_adj                        ;        ;;;;Vasian
c_sopron_adj                     ;        ;;;;Sopronian
d_ungvar                         ;        ;;Chrobatia,Ungwar;;Ungvar
c_abauj_adj                      ;        ;;;;Abaujian
c_heves_adj                      ;        ;;;;Hevian
c_istria_adj                     ;        ;;;;Istrian
c_krain_adj                      ;        ;;;;Krainian
c_karnten_adj                    ;        ;;;;Karntenian
c_aquileia_adj                   ;        ;;;;Aquileian
c_venezia_adj                    ;        ;;;;Venezian
d_verona                         ;        ;;Venetia;;Verona
d_verona_adj                     ;        ;;;;Veronian
c_treviso_adj                    ;        ;;;;Trevisian
c_verona_adj                     ;        ;;;;Veronian
c_padova_adj                     ;        ;;;;Padovian
c_mantua_adj                     ;        ;;;;Mantuian
c_lombardia_adj                  ;        ;;;;Lombard
c_brescia_adj                    ;        ;;;;Brescian
c_grisons_adj                    ;        ;;;;Grisonian
c_pavia_adj                      ;        ;;;;Pavian
c_cremona_adj                    ;        ;;;;Cremonian
c_monferrato_adj                 ;        ;;;;Monferratian
c_genoa_adj                      ;        ;;;;Genoese
c_modena_adj                     ;        ;;;;Modenian
c_parma_adj                      ;        ;;;;Parmian
d_ferrara                        ;        ;;;;Ferrara
d_ferrara_adj                    ;        ;;;;Ferraran
c_bologna_adj                    ;        ;;;;Bolognian
c_ferrara_adj                    ;        ;;;;Ferrarian
c_ravenna_adj                    ;        ;;;;Ravennian
c_lucca_adj                      ;        ;;;;Luccian
c_firenze_adj                    ;        ;;;;Firenzian
c_siena_adj                      ;        ;;;;Sienian
d_pisa                           ;        ;;Pisae,Pisai;;Pisa
d_pisa_adj                       ;        ;;;;Pisan
c_pisa_adj                       ;        ;;;;Pisan
c_piombino_adj                   ;        ;;;;Piombinian
c_orbetello_adj                  ;        ;;;;Orbetellian
c_ancona_adj                     ;        ;;;;Anconian
c_urbino_adj                     ;        ;;;;Urbinian
d_spoleto                        ;        ;;Valeria,Oualeria;;Spoleto
d_spoleto_adj                    ;        ;;;;Spoletan
c_roma_adj                       ;        ;;;;Roman
c_spoleto_adj                    ;        ;;;;Spoletian
c_orvieto_adj                    ;        ;;;;Orvietian
d_sardinia                       ;        ;;Sardiniae,Sardo;;Sardinia
d_sardinia_adj                   ;        ;;;;Sardinian
c_corsica_adj                    ;        ;;;;Corsican
c_arborea_adj                    ;        ;;;;Arborean
c_cagliari_adj                   ;        ;;;;Cagliarian
d_benevento                      ;        ;;Beneventum,Beneuenton;;Benevento
d_benevento_adj                  ;        ;;;;Benevenetian
c_benevento_adj                  ;        ;;;;Benevenetian
c_capua_adj                      ;        ;;;;Capuan
c_apulia_adj                     ;        ;;;;Apulian
c_foggia_adj                     ;        ;;;;Foggian
c_bari_adj                       ;        ;;;;Barian
c_lecce_adj                      ;        ;;;;Leccian
d_salerno                        ;        ;;Lukania;;Salerno
d_salerno_adj                    ;        ;;;;Salernian
c_salerno_adj                    ;        ;;;;Salernian
c_napoli_adj                     ;        ;;;;Napolitanian
d_calabria                       ;        ;;Lucania et Brutii,Kalavrias;;Calabria
d_calabria_adj                   ;        ;;;;Calabrian
c_taranto_adj                    ;        ;;;;Tarantian
c_consenza_adj                   ;        ;;;;Catanzaron
c_reggio_adj                     ;        ;;;;Reggioian
c_messina_adj                    ;        ;;;;Messinian
c_palermo_adj                    ;        ;;;;Palermian
c_siracusa_adj                   ;        ;;;;Siracusian
c_trapani_adj                    ;        ;;;;Trapanian
c_malta_adj                      ;        ;;;;Maltese
c_nice_adj                       ;        ;;;;Niçois
c_provence_adj                   ;        ;;;;Provencal
c_venaissin_adj                  ;        ;;;;Venaissinian
c_saluzzo_adj                    ;        ;;;;Saluzzian
d_savoie                         ;        ;;;;Savoy
d_savoie_adj                     ;        ;;;;Savoyard
c_piemonte_adj                   ;        ;;;;Piemontian
c_savoie_adj                     ;        ;;;;Savoian
c_valais_adj                     ;        ;;;;Valaisian
c_geneve_adj                     ;        ;;;;Genevan
d_dauphine                       ;        ;;;;Dauphiné
c_lyon_adj                       ;        ;;;;Lyonnais
c_forez_adj                      ;        ;;;;Forezian
c_chalons_adj                    ;        ;;;;Chalonnianj
c_neuchatel_adj                  ;        ;;;;Neuchatelian
c_bern_adj                       ;        ;;;;Bernian
c_schwyz_adj                     ;        ;;;;Schwyzian
c_aargau_adj                     ;        ;;;;Aargaunian
c_besancon_adj                   ;        ;;;;Besanconian
k_france                         ;        ;;Franza,França,Francia,Francland,Frantzia,Galliae,Gallia;;France
k_france_adj                     ;        ;;;;French
