#CODE;;ENGLISH;;ENGLISH
k_papal_state;Papal States;Status Pontificius;;Papal State
k_granada;Granada;Granada;;Granada
k_granada_adj;Granadan;Granadina;;Granadine
k_catalunya;Catalonia;Catalunya;;Catalonia
k_catalunya_adj;Catalan;Catalana;;Catalan
d_alba_de_tormes;Alba de Tormes;Alba de Tormes;;Alba de Tormes
d_alba_de_tormes_adj;;de Alba de Tormes;;de Alba de Tormes
d_alburquerque;Alburquerque;Alburquerque;;Alburquerque
d_alburquerque_adj;;de Alburquerque;;Alburquerque
d_cardona;Cardona;Cardona;;Cardona
d_cardona_adj;;de Cardona;;Cardonan
d_gandia;Gandia;Gandia;;Gandia
d_gandia_adj;;de Gandia;;Gandian
d_infantado;Infantado;Infantado;;Infantado
d_infantado_adj;;de Infantado;;Infantadan
d_medina_sidonia;Medina-Sidonia;Medina Sidonia;;Medina Sidonia
d_medina_sidonia_adj;;de Medina Sidonia;;Medina Sidonian
d_medinaceli;Medinaceli;Medinaceli;;Medinaceli
d_medinaceli_adj;;de Medinaceli;;Medinacelian
e_occitania;Occitania;Occitània;;Occitania
e_occitania_adj;Occitan;Occitan;;Occitan
d_sangermano;Terra Sancti Benedicti;Terra Sancti Benedicti;;Terra Sancti Benedicti
d_sangermano_adj;Terra;Bendicitian;;Bendicitian
d_swabia;Swabia;Schwaben;;Swabia
d_swabia_adj;Swabian;Schwäbische;;Swabian
d_carinthia;Carinthia;Kärnten;Noricum Mediterraneum;Carinthia
d_carinthia_adj;Carinthian;Kärntnische;;Carinthian
d_saxony;Saxony;Sachsen;;Saxony
d_saxony_adj;Saxon;Sächsische;;Saxon
d_bavaria;Bavaria;Baiern;;Bavaria
d_bavaria_adj;Bavarian;Bairische;;Bavarian
d_franconia;Franconia;Franken;;Rhenish Franconia
d_franconia_adj;Franconian;Fränkische;;Franconian
d_lauenburg;Lauenburg;Lauenburg;;Lauenburg
d_lauenburg_adj;Lauenburgian;Lauenburgische;;Lauenburgian
k_salerno;Salerno;Principato di Salerno;;Salerno
k_salerno_adj;Salernitan;Salernian;;Salernian
d_yatviags;Yotvingians;Jotvingiai;;Yatviag
d_yatviags_adj;Yotvingian;Jotvingiu;;Yatviagian
d_pruthenians;Old Prussians;Prùsà;;Pruthenians
d_pruthenians_adj;Old Prussian;Prusu;;Pruthenian
d_curonian;Curonians;Kurši;;Curonians
d_curonian_adj;Curonian;Kuršiu;;Curonian
d_zemigalians;Semigallians;Zemgali;;Semigallians
d_zemigalians_adj;Semigallian;Zemgali;;Semigallian
d_lettigalians;Latgalians;Latgali;;Lettigallians
d_lettigalians_adj;Latgalian;Latgali;;Lettigallian
d_esthonia;Estonia;Eesti;Esthland,Adalsyssla,Eesti;Estonians
d_esthonia_adj;Estonian;Eesti;;Estonian
d_narbonne;Narbonne;Narbona;;Narbonne
d_narbonne_adj;Narbonnese;Narbonnais;;Narbonnese
d_nordfrisland;Uthlande;Utlande;Außenlande;Utlande
d_nordfrisland_adj;Uthlande;Utlandr;;Utlandish
d_ugandians;Ungannians;Ugandilased;;Ugandians
d_ugandians_adj;Ungannian;Ugandian;;Ugandian
d_oseelians;Oeselians;Saarlased;;Oselians
d_oeelians_adj;Oeselian;Saarlanian;;
d_vironians;Vironians;Virulased;;Vironians
d_vironians_adj;Vironian;Virulanian;;Vironian
d_rotalians;Rotalians;Läänelased;;Rotalians
d_rotalians_adj;Rotalian;Läänemaaian;;Rotalian
d_estonia;Estonians;Eestlased;;Estonians
d_estonia_adj;Estonian;Eestonian;;Estonian
d_vanemas;Vanema;Vanemi;;Vanemians
d_vanemas_adj;;Vanemu;;Vanemian
d_sakalians;Sakalians;Sakali;;Sakalians
d_sakalians_adj;Sakalian;Sakalu;;Sakalian
d_selonians;Selonians;Seli;;Selonians
d_selonians_adj;Selonian;Selu;;Selonian
d_talavians;Talavians;Tãlavi;;Talavians
d_talavians_adj;Talavian;Tãlavu;;Talivian
d_deltuvians;Deltuvians;Deltuvai;;Deltuvians
d_deltuvians_adj;Deltuvian;Deltuvos;;Deltuvian
d_veleti;Veleti;Wilzi;;Wilzians
d_veleti_adj;;Wilzi;;Wilzian
d_chutizi;Chutizi;Chutizi;;Chutizians
d_chutizi_adj;;Chutizi;;Chutizian
d_wolinians;Wolinians;Velunzani;;Wolinians
d_wolinians_adj;Wolinian;Velunzani;;Wolinian
d_leubuzzi;Leubuzzi;Licicaviki;;Lebuzians
d_leubuzzi_adj;;Licicaviki;;Lebuzian
d_drevlyans;Drevlyans;Drevlyane;;Drevlyans
d_drevlyans_adj;Drevlyan;Drevlyanskiy;;Drevlyan
d_ulichs;Ulichs;Ulichane;;Ulichians
d_ulichs_adj;Ulich;Ulichanskiy;;
d_east_polanes;Polans;Polyane;;Polyanians
d_east_polanes_adj;Polan;Polyanskiy;;
d_volhynians;Volhynians;Volyniane;;Volhynians
d_volhynians_adj;Volhynian;Volynianskiy;;Volhynian
d_buzhans;Buzhans;Buzhane;;Buzhans
d_buzhans_adj;Buzhan;Buzhanskiy;;Buzhan
d_tivertsi;Tivertsi;Tivertsi;;Tivertsians
d_tivertsi_adj;;Tivertskiy;;Tivertsian
e_ulm;Ulm;Ulm;;Ulm
e_ulm_adj;;Ulmian;;Ulmian
d_erzosterreich;Austria;Österreich;;Österreich
d_erzosterreich_adj;Austrian;Österreichische;;Österreichen
k_norman_england;England;England;;England
k_norman_england_adj;English;English;;English
d_kryvians;Krivichs;Krivichi;;Kryvians
d_kryvians_adj;Krivich;Krivichsky;;Kryvian
d_severians;Severians;Severiane;;Severians
d_severians_adj;;Severiansky;;Severian
d_lendians;Lendians;Ledzianie;;Lendians
d_lendians_adj;Lendian;Ledzianie;;Lendian
k_geats;Götaland;Gautaríki;;Götaland
k_geats_adj;Geatish;Gautr;;Geatish
e_kaleva;Kalevala;Kalevala;;Kalevala
e_kaleva_adj;;Kalevalan;;Kalevalan
d_bohemians;Czechs;Czechowé;;Bohemians
d_bohemians_adj;Czech;Czeský;;
d_massufa;Massufa;Massúfa;;
d_massufa_adj;;Massúfí;;
d_lamtuna;Lamtuna;Lamtúna;;
d_lamtuna_adj;;Lamtúní;;
d_lamta;Lemta;Lamta;;
d_lamta_adj;;Lamtí;;
d_zaghawa;Zaghawa;Zagháwa;;
d_zaghawa_adj;;Zagháwí;;
d_guddala;Guddala;Guddála;;
d_guddala_adj;;Guddálí;;
d_targa;Fezzan;Targa;;
d_targa_adj;;Targí;;
d_lawata;Laguatan;Lawata;;
d_lawata_adj;;Lawatí;;
d_soninke;Soninke;Soninke;;
d_soninke_adj;;Soninke;;
d_duguwa;Zaghawa;Duguwa;;
d_duguwa_adj;;Duguwí;;
d_blemmyes;Beja;Béja;;
d_blemmyes_adj;;Béjí;;
k_makuria;Makuria;Makuria;Makouria,Muqurra;
k_makuria_adj;Makurian;Makurian;;
k_alodia;Alodia;Alodia;;
k_alodia_adj;Alodian;Alodian;;
k_moravia;Great Moravia;Velká Morava;;
k_moravia_adj;Great Moravian;Velkomoravský;;
k_shiite;Shia;Shia;;Shia
k_shiite_adj;Shi'ite;Shiite;;Shiite
k_sunni;Sunni;Sunni;;Sunni
k_sunni_adj;Sunni;Sunni;;Sunni
k_tiaret;Tiaret;Tiáret;;Tiáret
k_tiaret_adj;;Tiáretí;;Tiáretí
d_musab;Mozabites;Mus'ab;;Mus'ab
d_musab_adj;Mozabite;Mus'abí;;Mus'abí
d_gazzula;Gazzula;Gazzúla;;Gazzúla
d_gazzula_adj;;Gazzúlí;;Gazzúlí
WEST_FRANCIA;France;Francia Occidentalis;;
WEST_FRANCIA_ADJ;French;Francia Occidentalis;;
EAST_FRANCIA;Germany;Francia Orientalis;;
EAST_FRANCIA_ADJ;German;Francia Orientalis;;
d_azben;Azben;Azben;;Azben
d_azben_adj;;Azben;;Azben
d_takarkart;Takarkart;Takarkart;;Takarkart
d_takarkart_adj;;Takarkartí;;Takarkartí
d_azger;Azger;Azger;;Azger
d_azger_adj;;Azgerí;;Azgerí
d_tanmak;Banu Tanmak;Tanmak;;Tanmak
d_tanmak_adj;;Tanmaki;;Tanmaki
d_mazata;Mazata;Mazáta;;Mazáta
d_mazata_adj;;Mazátí;;Mazátí
d_naqis;Naqis;Naqís;;Naqís
d_naqis_adj;;Naqísí;;Naqísí
d_baqlin;Baqlin;Baqlín;;Baqlín
d_baqlin_adj;;Baqlíní;;Baqlíní
d_djarin;Jarin;Djarín;;Djarín
d_djarin_adj;;Djaríní;;Djaríní
d_qataa;Qata;Qata'a;;Qata'a
d_qataa_adj;;Qata'í;;Qata'í
d_bazin;Bazin;Bazín;;Bazín
d_bazin_adj;;Bazíní;;Bazíní
d_danakil;Danakil;Danakil;;Danakil
d_danakil_adj;;Danakilí;;Danakilí
d_semien;Semien;Semien;;Semien
d_semien_adj;Semien;Semien;;Semien
k_ifat;Ifat;Ifat;;Ifat
k_ifat_adj;;Ifatí;;Ifatí
k_blemmyes;Beja;Béja;;Béja
k_blemmyes_adj;;Béjí;;Béjí
#;;;;
d_dregovichi_adj;Dregovich;Dregovichi;;Dregovichi
d_radimichi_adj;Radimich;Radimichi;;Radimichi
d_hilal;Banu Hilal;Banu Hilál;;Banu Hilál
d_hilal_adj;;Hilálí;;Hilálí
k_aydin_adj;Aydin;Aydini;;Aydini
k_eretnid_adj;Eretnid;Eretni;;Eretni
k_germyan_adj;Germiyan;Germiyani;;Germiyani
k_hammadid_adj;Hamdanid;Hamdanid;;Hamdanid
k_kafsid_adj;Hafsid;Kafsid;;Kafsid
k_mentese_adj;Mentes;Mentese;;Mentese
k_tekke_adj;Teke;Tekke;;Tekke
k_zirid_adj;Zirid;Zirid;;Zirid
d_silesians;Slezanie;Slezanie;;Slezanie
d_silesians_adj;Silesian;Silesian;;Silesian
d_polans;Polans;Polanie;;Polanie
d_polans_adj;Polan;Polan;;Polan
d_mazovians;Masovians;Mazowszanie;;Mazowszanie
d_mazovians_adj;Masovian;Mazovian;;Mazovian
d_vistulans;Vistulans;Wislanie;;Wislanie
d_vistulans_adj;Vistulan;Vistulan;;Vistulan
#;;;;
k_duklja;Duklja;Duklja;;Duklja
k_duklja_adj;Dukljan;Dukljan;;Dukljan
k_armenia_minor;Lesser Armenia;Mikrá Armenia;;
k_armenia_minor_adj;Lesser Armenian;Mikrá Armenian;;
d_paulicians;Paulicians;Paulikianoi;;
d_paulicians_adj;Paulician;Paulikianoi;;
d_melitene;Malatya;Malatya;Malat'ya,Malatiya,Melitena,Meletî;
d_melitene_adj;;Malatyan;;
d_lori;Lori;Tašir;Lore;
d_lori_adj;;Lorian;;
d_lori_adj_georgian;;Lorean;;
d_pagania;Narentines;Neretljani;;
d_pagania_adj;Narentine;Narentine;;
d_rhodos;Rhodes;Rhodos;;
d_rhodos_adj;Rhodian;Rhodian;;
#Latin Empire;;;;
e_latin_empire;Latin Empire;Imperium Romaniae;;
#Indian ocean republics;;;;
d_dahlak;Dahlak;Dahlak;;
d_dahlak_adj;;Dahlakian;;
d_siraf;Siraf;Siráf;;
d_siraf_adj;;Siráfí;;
#;;;;
d_livonian_brothers_of_the_sword;Livonian Brothers of the Sword;Schwertbrüderorden;;
d_livonian_brothers_of_the_sword_adj;Livonian;Schwertbrüderische;;
#;;;;
d_uighurs;Uyghurs;Uighurs;;
d_uighurs_adj;Uyghur;Uighur;;
d_oghuz;Oghuz;Oghuz;;
d_oghuz_adj;;Oghuz;;
d_yaghma;Yagma;Yaghma;;
d_yaghma_adj;;Yaghma;;
d_chigil;Chigil;Chigil;;
d_chigil_adj;;Chigil;;
d_basmils;Basmyls;Bamils;;
d_basmils_adj;Basmyl;Basmil;;
k_kimek;Kimek;Kimek;;
k_kimek_adj;;Kimek;;
d_qipchaq;Kipchak;Qipchaq;;
d_qipchaq_adj;;Qipchaq;;
d_qirghiz;Kyrgyz;Qirghiz;;
d_qirghiz_adj;;Qirghiz;;
d_tukhsi;Tukhsi;Tukhsi;;
d_tukhsi_adj;;Tukhsi;;
d_zunbil;Zunbils;Zunbils;;
d_zunbil_adj;Zunbil;Zunbil;;
k_khwarezmia;Khwarezm;Khwarezm;;
k_khwarezmia_adj;Khwarezmian;Khwarezmí;;
d_qarluq;Karluk;Qarluq;;
d_qarluq_adj;;Qarluq;;
d_naimans;Naimans;Naiman;;
d_naimans_adj;Naiman;Nainam;;
e_khitan;Kara-Khitan Khanate;Kara Khitai;;
e_khitan_adj;Kara-Khitan;Kara Khitan;;
k_cuman;Kipchak;Qipchaq;;
k_cuman_adj;Kipchak;Qipchaq;;
#Pecheneg;;;;
d_yawdi_ertim;Irtim;Yawdi Ertim;;
d_yawdi_ertim_adj;;Yawdi Ertimian;;
d_kuerchi_chur;Tzour;Küerchi Chür;;
d_kuerchi_chur_adj;;Küerchi Chürian;;
d_qabuqsin_yula;Gyla;Qabuqsin Yula;;
d_qabuqsin_yula_adj;;Qabuqsin Yulaian;;
d_suru_kulbej;Koulpeï;Suru Külbej;;
d_suru_kulbej_adj;;Suru Külbejian;;
d_qara_bay;Charaboï;Qara Bay;;
d_qara_bay_adj;;Qara Bayian;;
d_boru_tolmach;Talmat;Boru Tolmach;;
d_boru_tolmach_adj;;Boru Tolmachian;;
d_yazi_qapan;Chopon;Yazi Qapan;;
d_yazi_qapan_adj;;Yazi Qapanian;;
d_bula_chopan;Tzopon;Bula Chopan;;
d_bula_chopan_adj;;Bula Chopanian;;
k_pechenegs;Pechenegs;Beçenek;;
k_pechenegs_adj;Pecheneg;Beçenek;;
k_qangar;Kankali;Qangar;;
k_qangar_adj;;Qangar;;
#;;;;
#Persia and Turkestan more;;;;
k_kerman;Kerman;Kermán;;
k_kerman_adj;;Kermání;;
d_shabankara;Shabankara;Shabankara;;
d_shabankara_adj;;Shabankaraí;;
d_iraqiya_oghuz;‘Iraqiya;Iraqíya;;
d_iraqiya_oghuz_adj;;Iraqí'í;;
#;;;;
k_uzes;Uzes;Uzlar;;
k_uzes_adj;Uz;Uzlar;;
#;;;;
e_khazaria;Khazaria;Qasarstan;Xäzärstan,Khazarstan,Xazarstán,Chazaria,Cassaria,Hazarstan,Kozariaia,Kozaria,Kozarye;
e_khazaria_adj;Khazar;Qazar;;
e_khazaria_adj_kirghiz;;Xäzär;;
e_khazaria_adj_mongol;;Xäzär;;
e_khazaria_adj_oghuz;;Hazar;;
e_khazaria_adj_turkmen;;Hazar;;
e_khazaria_adj_turkish;;Hazar;;
e_khazaria_adj_sicilian_greek;;Chazaroi;;
e_khazaria_adj_arberian;;Chazaroi;;
e_khazaria_adj_armenian;;Chazaroi;;
e_khazaria_adj_georgian;;Chazaroi;;
e_khazaria_adj_greek;;Chazaroi;;
e_khazaria_adj_east_gothic;;Chazaroi;;
e_khazaria_adj_pahlavi;;Xazarí;;
e_khazaria_adj_persian;;Xazarí;;
e_khazaria_adj_tajik;;Xazarí;;
e_khazaria_adj_daylamite;;Xazarí;;
e_khazaria_adj_soghdian;;Xazarí;;
e_khazaria_adj_khwarezmi;;Xazarí;;
e_khazaria_adj_kurdish;;Xazarí;;
e_khazaria_adj_khalaj;;Xazarí;;
e_khazaria_adj_pashtun;;Xazarí;;
e_khazaria_adj_qufs;;Xazarí;;
e_khazaria_adj_baloch;;Xazarí;;
e_khazaria_adj_polish;;Kozaran;;
e_khazaria_adj_pommeranian;;Kozaran;;
e_khazaria_adj_bohemian;;Kozaran;;
e_khazaria_adj_moravian;;Kozaran;;
e_khazaria_adj_russian;;Kozarskiy;;
e_khazaria_adj_serbian;;Kozaran;;
e_khazaria_adj_croatian;;Kozaran;;
e_khazaria_adj_bulgarian;;Kozaran;;
e_khazaria_adj_karantanci;;Kozaran;;
e_khazaria_adj_bosnian;;Kozaran;;
e_khazaria_adj_dalmatian;;Cassaro;;
e_khazaria_adj_italian;;Cassaro;;
e_khazaria_adj_venetian;;Cassaro;;
e_khazaria_adj_ligurian;;Cassaro;;
e_khazaria_adj_central_italian;;Cassaro;;
e_khazaria_adj_southern_italian;;Cassaro;;
e_khazaria_adj_tuscan;;Cassaro;;
e_khazaria_adj_neapolitan;;Cassaro;;
e_khazaria_adj_corsican;;Cassaro;;
e_khazaria_adj_sardinian;;Cassaro;;
e_khazaria_adj_sicilian;;Cassaro;;
#;;;;
d_black_caps;Karakalpaks;Karakalpaklar;Chyornye Klobuki,Qaum-i Kulah-i Siyahan;
d_black_caps_adj;Karakalpak;Karakalpaklan;;
d_black_caps_adj_russian;;Chyornye Klobuksky;;
#;;;;
k_magyar;Hungarians;Hét Magyar;;
#;;;;
#;;;;
d_mordvins;Mokshas;Mokshet;Tuqshi,Tuqšilar,Tuqšilär,Mordia,Mordens,Merdas,Mordva;
d_mordvins_adj;Mokshan;Mokshetian;;
d_mordvins_adj_levantine_arabic;;Tuqshi;;
d_mordvins_adj_maghreb_arabic;;Tuqshi;;
d_mordvins_adj_bedouin_arabic;;Tuqshi;;
d_mordvins_adj_egyptian_arabic;;Tuqshi;;
d_mordvins_adj_andalusian_arabic;;Tuqshi;;
d_mordvins_adj_sicilian_arabic;;Tuqshi;;
d_mordvins_adj_sanhaja;;Tuqshi;;
d_mordvins_adj_tagelmust;;Tuqshi;;
d_mordvins_adj_tuareg;;Tuqshi;;
d_mordvins_adj_masmuda;;Tuqshi;;
d_mordvins_adj_zanata;;Tuqshi;;
d_mordvins_adj_pahlavi;;Tuqshi;;
d_mordvins_adj_persian;;Tuqshi;;
d_mordvins_adj_tajik;;Tuqshi;;
d_mordvins_adj_daylamite;;Tuqshi;;
d_mordvins_adj_soghdian;;Tuqshi;;
d_mordvins_adj_khwarezmi;;Tuqshi;;
d_mordvins_adj_kurdish;;Tuqshi;;
d_mordvins_adj_khalaj;;Tuqshi;;
d_mordvins_adj_pashtun;;Tuqshi;;
d_mordvins_adj_qufs;;Tuqshi;;
d_mordvins_adj_baloch;;Tuqshi;;
d_mordvins_adj_bashkir;;Tuqshi;;
d_mordvins_adj_bolghar;;Tuqshi;;
d_mordvins_adj_turkish;;Tuqshi;;
d_mordvins_adj_turkmen;;Tuqshi;;
d_mordvins_adj_oghuz;;Tuqshi;;
d_mordvins_adj_mongol;;Tuqshi;;
d_mordvins_adj_kirghiz;;Tuqshi;;
d_mordvins_adj_uighur;;Tuqshi;;
d_mordvins_adj_cuman;;Tuqshi;;
d_mordvins_adj_khazar;;Tuqshi;;
d_mordvins_adj_pecheneg;;Tuqshi;;
d_mordvins_adj_karluk;;Tuqshi;;
d_mordvins_adj_avar;;Tuqshi;;
d_mordvins_adj_khitan;;Tuqshi;;
d_mordvins_adj_alan;;Mordian;;
d_mordvins_adj_arberian;;Mordian;;
d_mordvins_adj_armenian;;Mordian;;
d_mordvins_adj_georgian;;Mordian;;
d_mordvins_adj_greek;;Mordian;;
d_mordvins_adj_east_gothic;;Mordensian;;
d_mordvins_adj_dalmatian;;Mersdasian;;
d_mordvins_adj_italian;;Mersdasian;;
d_mordvins_adj_venetian;;Mersdasian;;
d_mordvins_adj_ligurian;;Mersdasian;;
d_mordvins_adj_central_italian;;Mersdasian;;
d_mordvins_adj_southern_italian;;Mersdasian;;
d_mordvins_adj_tuscan;;Mersdasian;;
d_mordvins_adj_neapolitan;;Mersdasian;;
d_mordvins_adj_corsican;;Mersdasian;;
d_mordvins_adj_sardinian;;Mersdasian;;
d_mordvins_adj_sicilian;;Mersdasian;;
d_mordvins_adj_english;;Mersdasian;;
d_mordvins_adj_frankish;;Mersdasian;;
d_mordvins_adj_occitan;;Mersdasian;;
d_mordvins_adj_arpitan;;Mersdasian;;
d_mordvins_adj_norman;;Mersdasian;;
d_mordvins_adj_thuringian;;Mersdasian;;
d_mordvins_adj_swabian;;Mersdasian;;
d_mordvins_adj_bavarian;;Mersdasian;;
d_mordvins_adj_low_saxon;;Mersdasian;;
d_mordvins_adj_franconian;;Mersdasian;;
d_mordvins_adj_low_german;;Mersdasian;;
d_mordvins_adj_low_frankish;;Mersdasian;;
d_mordvins_adj_dutch;;Mersdasian;;
d_mordvins_adj_german;;Mersdasian;;
d_mordvins_adj_danish;;Mersdasian;;
d_mordvins_adj_swedish;;Mersdasian;;
d_mordvins_adj_norwegian;;Mersdasian;;
d_mordvins_adj_gothic;;Mersdasian;;
d_mordvins_adj_hungarian;;Mersdasian;;
d_mordvins_adj_leonese;;Mersdasian;;
d_mordvins_adj_castillian;;Mersdasian;;
d_mordvins_adj_aragonese;;Mersdasian;;
d_mordvins_adj_basque;;Mersdasian;;
d_mordvins_adj_romanian;;Mersdasian;;
d_mordvins_adj_polish;;Mordvan;;
d_mordvins_adj_pommeranian;;Mordvan;;
d_mordvins_adj_bohemian;;Mordvan;;
d_mordvins_adj_moravian;;Mordvan;;
d_mordvins_adj_russian;;Mordvaskiy;;
d_mordvins_adj_serbian;;Mordvan;;
d_mordvins_adj_croatian;;Mordvan;;
d_mordvins_adj_bulgarian;;Mordvan;;
d_mordvins_adj_karantanci;;Mordvan;;
d_mordvins_adj_bosnian;;Mordvan;;
#;;;;
d_burtas;Burtas;Burtas;Burdas,Bortaslar,Bortaslär,Burtasy;Burtasians
d_burtas_adj;;Burtas;;Burtasian
d_burtas_adj_levantine_arabic;;Burdas;;
d_burtas_adj_maghreb_arabic;;Burdas;;
d_burtas_adj_bedouin_arabic;;Burdas;;
d_burtas_adj_egyptian_arabic;;Burdas;;
d_burtas_adj_andalusian_arabic;;Burdas;;
d_burtas_adj_sicilian_arabic;;Burdas;;
d_burtas_adj_sanhaja;;Burdas;;
d_burtas_adj_tagelmust;;Burdas;;
d_burtas_adj_tuareg;;Burdas;;
d_burtas_adj_masmuda;;Burdas;;
d_burtas_adj_zanata;;Burdas;;
d_burtas_adj_pahlavi;;Burdas;;
d_burtas_adj_persian;;Burdas;;
d_burtas_adj_tajik;;Burdas;;
d_burtas_adj_daylamite;;Burdas;;
d_burtas_adj_soghdian;;Burdas;;
d_burtas_adj_khwarezmi;;Burdas;;
d_burtas_adj_kurdish;;Burdas;;
d_burtas_adj_khalaj;;Burdas;;
d_burtas_adj_pashtun;;Burdas;;
d_burtas_adj_qufs;;Burdas;;
d_burtas_adj_baloch;;Burdas;;
d_burtas_adj_bashkir;;Bortas;;
d_burtas_adj_kasogi;;Bortas;;
d_burtas_adj_bolghar;;Bortas;;
d_burtas_adj_turkish;;Bortas;;
d_burtas_adj_turkmen;;Bortas;;
d_burtas_adj_oghuz;;Bortas;;
d_burtas_adj_mongol;;Bortas;;
d_burtas_adj_kirghiz;;Bortas;;
d_burtas_adj_uighur;;Bortas;;
d_burtas_adj_cuman;;Bortas;;
d_burtas_adj_khazar;;Bortas;;
d_burtas_adj_pecheneg;;Bortas;;
d_burtas_adj_karluk;;Bortas;;
d_burtas_adj_avar;;Bortas;;
d_burtas_adj_khitan;;Bortas;;
d_burtas_adj_polish;;Burtasy;;
d_burtas_adj_pommeranian;;Burtasy;;
d_burtas_adj_bohemian;;Burtasy;;
d_burtas_adj_moravian;;Burtasy;;
d_burtas_adj_russian;;Burtasy;;
d_burtas_adj_serbian;;Burtasy;;
d_burtas_adj_croatian;;Burtasy;;
d_burtas_adj_bulgarian;;Burtasy;;
d_burtas_adj_karantanci;;Burtasy;;
d_burtas_adj_bosnian;;Burtasy;;
#;;;;
d_mordvins_erza;Erzya;Erzyät;Irçëlar,Irçilar,Ïrzälar,Ïrzälär;
d_mordvins_erza_adj;Erzyan;Erzyätan;;
d_mordvins_erza_adj_bolghar;;Irçëian;;
d_mordvins_erza_adj_khazar;;Irçëian;;
d_mordvins_erza_adj_avar;;Irçëian;;
d_mordvins_erza_adj_bashkir;;Ïrzäian;;
d_mordvins_erza_adj_turkish;;Irçian;;
d_mordvins_erza_adj_turkmen;;Irçian;;
d_mordvins_erza_adj_kasogi;;Irçian;;
d_mordvins_erza_adj_oghuz;;Irçian;;
d_mordvins_erza_adj_mongol;;Ïrzäian;;
d_mordvins_erza_adj_kirghiz;;Ïrzäian;;
d_mordvins_erza_adj_uighur;;Ïrzäian;;
d_mordvins_erza_adj_cuman;;Ïrzäian;;
d_mordvins_erza_adj_pecheneg;;Irçian;;
d_mordvins_erza_adj_karluk;;Ïrzäian;;
d_mordvins_erza_adj_khitan;;Ïrzäian;;
#;;;;
d_zyriane;Komi;Zyriana;Syrjænger,Zyriane;
d_zyriane_adj;;Zyrianan;;
d_zyriane_adj_danish;;Syrjænger;;
d_zyriane_adj_polish;;Zyrianian;;
d_zyriane_adj_pommeranian;;Zyrianian;;
d_zyriane_adj_bohemian;;Zyrianian;;
d_zyriane_adj_moravian;;Zyrianian;;
d_zyriane_adj_russian;;Zyrianian;;
d_zyriane_adj_serbian;;Zyrianian;;
d_zyriane_adj_croatian;;Zyrianian;;
d_zyriane_adj_bulgarian;;Zyrianian;;
d_zyriane_adj_karantanci;;Zyrianian;;
d_zyriane_adj_bosnian;;Zyrianian;;
#;;;;
d_maris_vetluga;Vetluga Mari;Vütla Mari;Tuçi Sarmäslar,Tepe Çirmislar,Tepe Çirmeslär,Gornyye Cheremis;
d_maris_vetluga_adj;;Vütla Marian;;
d_maris_vetluga_adj_bashkir;;Tepe Çirmeslarian;;
d_maris_vetluga_adj_bolghar;;Tuçi Sarmäslärian;;
d_maris_vetluga_adj_turkish;;Tepe Çirmeslarian;;
d_maris_vetluga_adj_turkmen;;Tepe Çirmeslarian;;
d_maris_vetluga_adj_oghuz;;Tepe Çirmeslarian;;
d_maris_vetluga_adj_mongol;;Tepe Çirmeslärian;;
d_maris_vetluga_adj_kirghiz;;Tepe Çirmeslärian;;
d_maris_vetluga_adj_uighur;;Tepe Çirmeslärian;;
d_maris_vetluga_adj_cuman;;Tepe Çirmeslärian;;
d_maris_vetluga_adj_khazar;;Tuçi Sarmäslärian;;
d_maris_vetluga_adj_pecheneg;;Tepe Çirmeslarian;;
