#CODE;ENGLISH;ENGLISH
d_esztergom_adj;Esztergomian;Esztergomite
d_temes;Temes;Temes
d_temes_adj;Temesite;Temesite
d_ungvar_adj;Ungvaran;Ungvaran
d_pest;Pest;Biharország
d_pest_adj;Pestian;Biharországian
d_transylvania;Transsylvania;Erdélyország
d_transylvania_adj;Transsylvanian;Erdélyországian
d_nyitra;Nyitra;Nyitraország
d_nyitra_adj;Nyitrian;Nyitraországian
d_tarent;Taranto;Principato di Taranto
d_tarent_adj;Tarantian;Tarantian
d_loritello;Loritello;Loritello
d_loritello_adj;Loritellan;Loritellan
d_napoli;Naples;Napoli
d_napoli_adj;Napolitan;Napolian
d_ancona;Marche;Marche
d_ancona_adj;Marchian;Marchian
d_ravenna;Ravenna;Ravenna
d_ravenna_adj;Ravennese;Romagnian
d_modena;Modena-Reggio;Modena e Reggio
d_modena_adj;Modenan;Modenan
d_urbino;Urbino;Urbino
d_urbino_adj;Urbinian;Urbinian
d_lucca;Lucca;Lucca
d_lucca_adj;Luccan;Luccan
d_mantua;Mantua;Mantua
d_mantua_adj;Mantuian;Mantuian
d_parma;Parma;Parma
d_parma_adj;Parmese;Parmese
d_savona;Savona;Savona
d_savona_adj;Savonian;Savonian
d_monferrato;Monferrato;Monferrato
d_monferrato_adj;Monferratian;Monferratian
d_toscana;Toscana;Toscana
d_toscana_adj;Toscanan;Toscanan
d_como;Como;Como
d_como_adj;;Comoan
d_lombardia;Milan;Milan
d_lombardia_adj;Lombardian;Lombardian
d_venice;Venice;Venezia
d_venice_adj;Venetian;Veneto
d_genoa;Genoa;Genova
d_genoa_adj;Genovese;Genovesan
d_sicily;Sicilia;Sicilia
d_sicily_adj;Sicilian;Siciliani
d_apulia;Apulia;Puglia
d_apulia_adj;Apulian;Pugliani
d_alvito;Alvito;Alvito
d_alvito_adj;Alvitian;Alvitian
d_skane;Skane;Skaane
d_skane_adj;Skanske;Skaanske
d_oltenia;Oltenia;Oltenia
d_oltenia_adj;Oltenian;Oltenian
d_wallachia;Mutenia;Muntenia
d_wallachia_adj;Mutenian;Muntenian
d_moldau;Moldova;Tara de Sus
d_moldau_adj;Moldovian;Moldovenesc
d_basarabia;Bassarabia;Tara de Jos
d_basarabia_adj;Bassarabian;Moldovenesc
d_ujavar;Újavár;Újavár
d_ujavar_adj;Újavárian;Újavárian
d_gyor;Gyõr;Gyõr
d_gyor_adj;Gyõrian;Gyõrian
d_kakheti;Kakheti;Kakheti
d_kakheti_ad;Kakhetian;Kakhetian
d_greater_poland;Greater Poland;Wielkopolska
d_greater_poland_adj;Greater Polish;Wielkopolskie
d_lesser_poland;Lesser Poland;Malopolska
d_lesser_poland_adj;Lesser Polish;Malopolskie
d_mazovia;Mazovia;Mazowsze
d_mazovia_adj;Mazovian;Mazowieckie
d_kuyavia;Kuyavia;Kujawy
d_kuyavia_adj;Kuyavian;kujawsko
d_prussia;Prussia;Prusa
d_prussia_adj;Prussian;Prusiskan
d_croatia;Croatia;Hrvatska
d_croatia_adj;Croat;Hrvatski
d_bosnia;Bosnia;Bosna
d_bosnia_adj;Bosnian;Bosanci
d_burgundy;Burgundy;Bourgogne
d_burgundy_adj;Burgundian;Bourguigon
d_aquitaine;Aquitaine;Aquitània
d_aquitaine_adj;Occitan;Occitan
d_lithuanians;Lietuva;Lietuva
d_lithuanians_adj;Lietuvos;Lietuvos
d_upper_burgundy;Upper Burgundy;Haute Bourgogne 
d_upper_burgundy_adj;Upper Burgundian;Bourguigon
d_silesia;Silesia;Slask
d_silesia_adj;Silesian;Slaski
d_auvergne;Auvergne;Auvèrnhe
d_auvergne_adj;Auvergnian;Auvèrnhenan
d_limousin;Limousin;Lemosin
d_limousin_adj;Limousain;Lemosinan
d_toulouse;Toulouse;Tolosa
d_toulouse_adj;Toulousian;Tolosa
d_septimania;Septimania;Septimania
d_septimania_adj;Septimanian;Septimania
d_archberry;Berry;Berry
d_archberry_adj;Berrian;Berry
d_archreims;Reims;Reims
d_archreims_adj;Reimsian;Reims
d_champagne;Champagne;Champagne
d_champagne_adj;Champagne;Champagne
d_lowerbrittany;Lower Brittany;Breizh Izel
d_lowerbrittany_adj;Lower Breton;Breizh Brezhoneg
d_brittany;Upper Brittany;Haùtt-Bertaèyn
d_brittany_adj;Upper Breton;Haùtt-Brezhoneg
d_artois;Artois;Artois
d_artois_adj;Artoisian;Artoisian
d_alencon;Alençon;Alençon
d_alencon_adj;Alençonian;Alençonian
d_blois;Blois;Blois
d_blois_adj;Bloisan;Bloisan
d_utrecht;Utrecht;Utrecht
d_utrecht_adj;Utrechtian;Utrechtian
d_nevers;Nevers;Nevers
d_nevers_adj;Nerversian;Nerversian
d_rethel;Rethel;Rethel
d_rethel_adj;Rethelian;Rethelian
k_saxonengland;Ængland;Englaland
k_saxonengland_adj;Ænglisch;Ænglisc
k_sahara;Sahara;Sahara
k_sahara_adj;Saharan;Saharan
d_sahara;Sahara;Sahara
d_sahara_adj;Saharan;Saharan
d_armenia_minor;Cilicia Pedias;Cilicia Pedias
d_armenia_minor_adj;Cilicia Pediasen;Cilicia Pediasen
d_seleukeia;Cilicia Trachea;Cilicia Trachea
d_seleukeia_adj;Cilicia Trachean;Cilicia Trachean
k_antioch;Antioch;Antioche
k_antioch_adj;Antiochean;Antiochean
d_germanias;Germanias;Germanias
d_germanias_adj;Germaniasian;Germaniasian
d_diyareast;Diyar Rabi'a;Diyar Rabi'a
d_diyareast_adj;Rabian;Rabian
d_jazira;Diyar Mudar;Diyar Mudar
d_jazira_adj;Mudaren;Mudaren
d_homs;Homs;Hims
d_homs_adj;Homsian;Himsan
d_jordan;al-Urdunn;al-Urdunn
d_jordan_adj;al-Urdunnan;al-Urdunnan
d_damascus;Damascus;Dimashq
d_damascus_adj;Damascus;Dimashqan
d_aleppo;Aleppo;Qinnasrin
d_aleppo_adj;Aleppan;Qinnasrinan
k_syria;Syria;Al-Sham
k_syria_adj;Syrian;Al-Shaman
k_aljazira;Al Jazira;Al Jazira
k_aljazira_adj;Jaziran;Jaziran
d_antioch;Antioch;Principauté d'Antioche
d_antioch_adj;Antiochean;Antiochean
d_castilla;Castile;Castilla
d_castilla_adj;Castilian;Castellana
d_leon;León;León
d_leon_adj;Leonese;Leonesa
d_navarra;Navarra;Navarra
d_navarra_adj;Navarrese;Navarra
d_aragon;Aragón;Aragón
d_aragon_adj;Aragonese;Aragonesa
d_la_mancha;La Mancha;La Mancha
d_la_mancha_adj;Manchian;Manchega
d_beja;Alentejo;Alentejo
d_beja_adj;Alentejan;Alentejana
d_algarve;Algarve;Algarve
d_algarve_adj;Algarvian;Algarvia
d_beira;Beira;Beira
d_beira_adj;Beiroan;Beiroa
d_catalunya_nova;Catalunya Nova;Catalunya Nova
d_catalunya_nova_adj;Catalan;Catalana
d_catalunya_vella;Catalunya Vella;Catalunya Vella
d_catalunya_vella_adj;Catalan;Catalana
d_cordoba;Córdoba;Córdoba
d_cordoba_adj;Cordoban;Cordobesa
d_badajoz;Extremadura;Extremadura
d_badajoz_adj;Extremaduran;Extremeña
d_galicia;Galicia;Galicia
d_galicia_adj;Galician;Gallega
d_granada;Granada;Granada
d_granada_adj;Granadine;Granadina
d_mallorca;Mallorca;Mallorca
d_mallorca_adj;Mallorquin;Mallorquina
d_murcia;Murcia;Murcia
d_murcia_adj;Murcian;Murciana
d_najera;Nájera;Nájera
d_najera_adj;Najerin;Najerina
d_portucale;Portucale;Portucale
d_portucale_adj;Portucalense;Portucalense
d_ribatejo;Ribatejo;Ribatejo
d_ribatejo_adj;Ribatejan;Ribatejana
d_salamanca;Salamanca;Salamanca
d_salamanca_adj;Salmantin;Salmantina
d_segovia;Segovia;Segovia
d_segovia_adj;Segovian;Segoviana
d_sevilla;Sevilla;Sevilla
d_sevilla_adj;Sevillan;Sevillana
d_teruel;Teruel;Teruel
d_teruel_adj;Turolens;Turolense
d_toledo;Toledo;Toledo
d_toledo_adj;Toledan;Toledana
d_valencia;Valencia;Valencia
d_valencia_adj;Valencian;Valenciana
d_zaragoza;Zaragoza;Zaragoza
d_zaragoza_adj;Zaragozan;Zaragozana
k_iceland;Iceland;Ísland
k_iceland_adj;Icelandic;Íslandskr
d_iceland;Iceland;Ísland
d_iceland_adj;Icelandic;Íslandskr
d_insalah;In Salah;In Salah
d_insalah_adj;In Salah;In Salah
d_ghadames;Ghadamès;Ghadamès
d_ghadames_adj;Ghadamès;Ghadamès
d_tekkada;Tekkeda;Tekkeda
d_tekkada_adj;Tekkeda;Tekkeda
d_agades;Agadez;Agadez
d_agades_adj;Agadez;Agadez
d_ghat;Ghat;Ghat
d_ghat_adj;Ghat;Ghat
d_bilma;Bilma;Bilma
d_bilma_adj;Bilman;Bilma
d_gasaga;Gasga;Gasga
d_gasaga_adj;Gasgan;Gasga
d_elfasher;El Fasher;El Fasher
d_elfasher_adj;El Fasher;El Fasher
d_dongola;Dongola;Dongola
d_dongola_adj;Dongolan;Dongola
d_roufra;Roufra;Roufra
d_roufra_adj;Roufran;Roufra
d_awlil;Awlil;Awlil
d_awlil_adj;Awlil;Awlil
k_insalah;In Salah;In Salah
k_insalah_adj;In Salah;In Salah
k_ghadames;Ghadamès;Ghadamès
k_ghadames_adj;Ghadamès;Ghadamès
k_tekkada;Tekkeda;Tekkeda
k_tekkada_adj;Tekkeda;Tekkeda
k_agades;Agadez;Agadez
k_agades_adj;Agadez;Agadez
k_ghat;Ghat;Ghat
k_ghat_adj;Ghat;Ghat
k_bilma;Bilma;Bilma
k_bilma_adj;Bilman;Bilma
k_gasaga;Gasga;Gasga
k_gasaga_adj;Gasgan;Gasga
k_elfasher;El Fasher;El Fasher
k_elfasher_adj;El Fasher;El Fasher
k_dongola;Dongola;Dongola
k_dongola_adj;Dongolan;Dongola
k_roufra;Roufra;Roufra
k_roufra_adj;Roufran;Roufra
k_awlil;Awlil;Awlil
k_awlil_adj;Awlil;Awlil
d_foix;Foix;Pirenèus
d_foix_adj;Foix;Pirenèusen
d_gevaudan;Gévaudan;Gévaudan
d_gevaudan_adj;Gévaudan;Gévaudan
d_acre;Acre;Acre
d_acre_adj;Acrean;Acrean
d_ascalon;Jaffa-Ascalon;Jaffa-Ascalon
d_ascalon_adj;Jaffan;Jaffan
d_galilee;Galilee;Principauté  de Galilée
d_galilee_adj;Galilean;Galiléen
k_georgia;Georgia;Sakartvelo
k_georgia_adj;Georgian;Sakartvelo
d_oberbayern;Upper Bavaria;Oberbayern
d_oberbayern_adj;Upper Bavarian;Oberbayrisch
d_styria;Styria;Steiermark
d_styria_adj;Styrian;Styrian
d_saxewittenberg;Saxony-Wittenberg;Sachsen-Wittenberg
d_saxewittenberg_adj;Saxon;Sächsische
d_burgau;Burgau;Burgau
d_burgau_adj;Burgauer;Burgauer
d_rheinfranken;Rhenish Franconia;Rheinfranken
d_rheinfranken_adj;Rhenish;Rheinisch
#Rhos;;
k_novgorod;Novgorod;Novgorod
k_novgorod_adj;Novgorodian;Novgorodskiy
d_novgorod;Novgorod;Novgorod
d_novgorod_adj;Novgorodskiy;Novgorodskiy
d_pskov;Pskov;Pskov
d_pskov_adj;Pskovskiy;Pskovskiy
d_russa;Rusa;Rusa
d_russa_adj;Rusaskiy;Rusaskiy
d_beloozero;Beloozero;Beloozero
d_beloozero_adj;Beloozeroskiy;Beloozeroskiy
d_beloozero_adj_finnish;;Vesian
d_beloozero_adj_mordvin;;Vesian
d_beloozero_adj_lappish;;Vesian
d_beloozero_adj_komi;;Vesian
d_beloozero_adj_karelian;;Vesian
d_beloozero_adj_samoyed;;Vesian
d_beloozero_adj_vepsian;;Vesian
d_beloozero_adj_mari;;Vesian
d_beloozero_adj_ingrian;;Vesian
d_beloozero_adj_tsuudi;;Vesian
d_beloozero_adj_livonian;;Vesian
d_bjarmia;Bjarmia;Bjarmia
d_bjarmia_adj;Bjarmiaskiy;Bjarmian
d_bjarmia_adj_russian;;Dvinskiy
d_bjarmia_adj_bohemian;;Dvinskiy
d_bjarmia_adj_moravian;;Dvinskiy
d_bjarmia_adj_polish;;Dvinskiy
d_bjarmia_adj_pommeranian;;Dvinskiy
d_bjarmia_adj_croatian;;Dvinskiy
d_bjarmia_adj_bosnian;;Dvinskiy
d_bjarmia_adj_serbian;;Dvinskiy
d_bjarmia_adj_karantanci;;Dvinskiy
d_bjarmia_adj_bulgarian;;Dvinskiy
d_bjarmia_adj_danish;;Beormr
d_bjarmia_adj_norse;;Beormr
d_bjarmia_adj_norwegian;;Beormr
d_bjarmia_adj_swedish;;Beormr
d_bjarmia_adj_icelandic;;Beormr
d_bjarmia_adj_gothic;;Beormr
d_bjarmia_adj_anglonorse;;Beormr
d_bjarmia_adj_norsegaelic;;Beormr
k_vladimir;Vladimir;Vladimir
k_vladimir_adj;Vladimirskiy;Vladimirskiy
d_tver;Tver;Tver
d_tver_adj;Tverskiy;Tverskiy
d_rostov;Rostov;Rostov
d_rostov_adj;Rostovskiy;Rostovskiy
d_vladimir;Suzdal;Suzdal
d_vladimir_adj;Suzdalskiy;Suzdalskiy
d_ustyg;Ustyg;Ustyg
d_ustyg_adj;Ustygskiy;Ustygskiy
d_nizhny_novgorod;Nizhny Novgorod;Nizovye
d_nizhny_novgorod_adj;Nizhny Novgorodskiy;Nizovskiy
d_ryazans;Rjanz;Rjanz
d_ryazans_adj;Rjanzskiy;Rjanzskiy
d_murom;Murom;Murom
d_murom_adj;Muromskiy;Muromskiy
d_upper_oka;Oka;Oka
d_upper_oka_adj;Okaskiy;Okaskiy
d_moskva;Moskva;Moskva
d_moskva_adj;Moskvaskiy;Moskvaskiy
k_polotsk;Polotsk;Polotsk
k_polotsk_adj;Polotskskiy;Polotskskiy
d_polotsk;Polotsk;Polotsk
d_polotsk_adj;Polotskskiy;Polotskskiy
d_minsk;Minsk;Minsk
d_minsk_adj;Minskskiy;Minskskiy
k_ruthenia;;Kiev
k_ruthenia_adj;;Kievskiy
d_kiev;Kiev;Kiev
d_kiev_adj;Kievan;Kievskiy
d_pereyaslavl;Perejaslavl;Perejaslavl
d_pereyaslavl_adj;Perejaslavlskiy;Perejaslavlskiy
d_smolensk;Smolensk;Smolensk
d_smolensk_adj;Smolenskskiy;Smolenskskiy
d_toropec;Toropec;Toropec
d_toropec_adj;Toropecskiy;Toropecskiy
d_turov;Turov;Turov
d_turov_adj;Turovskiy;Turovskiy
d_novgorod-seversk;Sivershchyna;Sivershchyna
d_novgorod-seversk_adj;Sivershchynaskiy;Sivershchynaskiy
d_chernigov;Chernigov;Chernigov
d_chernigov_adj;Chernigovskiy;Chernigovskiy
d_novosil;Okskoye Verkhovye;Verhovye
d_novosil_adj;Novosilskiy;Verhovskiy
k_galicia;Galych-Volhyn;Halych-Volyn
k_galicia_adj;Galichian;Halych-Volynskiy
d_galich;Halych;Halych
d_galich_adj;Halychskiy;Halychskiy
d_volhynia;Volyn;Volyn
d_volhynia_adj;Volynskiy;Volynskiy
d_belz;Belz;Belz
d_belz_adj;Belzian;Belzskiy
d_zvenyhorod;Zvenigorod;Zvenigorod
d_zvenyhorod_adj;Zvenigorodskiy;Zvenigorodskiy
d_podlaise;Podlyashe;Podlyashe
d_podlaise_adj;Podlyasheskiy;Podlyasheskiy
e_russia;Rhos;Rus
e_russia_adj;Rhosskiy;Russkij
e_russia_adj_danish;;Garðaríkir
e_russia_adj_norwegian;;Garðaríkir
e_russia_adj_swedish;;Garðaríkir
e_russia_adj_gothic;;Garðaríkir
e_russia_adj_norse;;Garðaríkir
e_russia_adj_icelandic;;Garðaríkir
e_russia_adj_anglonorse;;Garðaríkir
e_russia_adj_greek;;Rhosian
e_russia_adj_arberian;;Rhosian
e_russia_adj_armenian;;Rhosian
e_russia_adj_alan;;Rhosian
e_russia_adj_georgian;;Rhosian
#Mali;;
k_ghana;Wagadu;Wagadu
k_ghana_adj;Wagadian;Wagadian
k_mali;Mali;Mali
k_mali_adj;Malinese;Malinese
d_ghana;Wagadu;Wagadu
d_ghana_adj;Wagadian;Wagadian
d_mema;Mema;Mema
d_mema_adj;Meman;Meman
d_tagant;Tagant;Tagant
d_tagant_adj;Taganti;Taganti
d_oualata;Walata;Walata
d_oualata_adj;Walatan;Walatan
d_mali;Mali;Mali
d_mali_adj;Malinese;Malinese
d_bambuk;Bambuk;Bambuk
d_bambuk_adj;Bambuki;Bambuki
d_kala;Kala;Kala
d_kala_adj;Kalan;Kalan
d_wolof;Wolof;Wolof
d_wolof_adj;Wolofi;Wolofi
k_songhay;Songhay;Songhay
k_songhay_adj;Songhayí;Songhayí
d_songhay;Songhay;Songhay
d_songhay_adj;Songhayí;Songhayí
d_mossi;Mossi;Mossi
d_mossi_adj;Mossí;Mossí
#Sahara;;
d_tuat;Tuat;Tuat
d_tuat_adj;Tuatí;Tuatí
d_mzab;Mzab;Mzab
d_mzab_adj;Mzabi;Mzabi
d_hoggar;Hoggar;Hoggar
d_hoggar_adj;Hoggari;Hoggari
d_fezzan;Fezzan;Fezzan
d_fezzan_adj;Fezzani;Fezzani
d_tibesti;Tibesti;Tibesti
d_tibesti_adj;Tibesti;Tibesti
d_kawar;Kawar;Kawar
d_kawar_adj;Kawari;Kawari
d_air;Air;Air
d_air_adj;Airi;Airi
#Africa;;
k_africa;Ifriqiya;Ifriqiya
k_africa_adj;Ifriqi;Ifriqi
k_mauretania;Mauretania;Mauretania
k_mauretania_adj;Mauretani;Mauretani
d_tunis;Ifriqiya;Ifriqiya
d_tunis_adj;Ifriqi;Ifriqi
d_qamuda;Qamuda;Qamuda
d_qamuda_adj;Qamudi;Qamudi
