#CODE;ENGLISH;ENGLISH
d_rotalians_adj;Rotalian;Läänemaaian
d_estonia;Estonians;Eestlased
d_estonia_adj;Estonian;Eestonian
d_vanemas;Vanemians;Vanemi
d_vanemas_adj;Vanemian;Vanemu
d_sakalians;Sakalians;Sakali
d_sakalians_adj;Sakalian;Sakalu
d_selonians;Selonians;Seli
d_selonians_adj;Selonian;Selu
d_talavians;Talavians;Tãlavi
d_talavians_adj;Talivian;Tãlavu
d_deltuvians;Deltuvians;Deltuvai
d_deltuvians_adj;Deltuvian;Deltuvos
d_veleti;Wilzians;Wilzi
d_veleti_adj;Wilzian;Wilzi
d_chutizi;Chutizians;Chutizi
d_chutizi_adj;Chutizian;Chutizi
d_wolinians;Wolinians;Velunzani
d_wolinians_adj;Wolinian;Velunzani
d_leubuzzi;Lebuzians;Licicaviki
d_leubuzzi_adj;Lebuzian;Licicaviki
d_drevlyans;Drevlyans;Drevlyane
d_drevlyans_adj;Drevlyan;Drevlyanskiy
d_ulichs;Ulichians;Ulichane
d_ulichs_adj;;Ulichanskiy
d_east_polanes;Polyanians;Polyane
d_east_polanes-adj;Polyanian;Polyanskiy
d_volhynians;Volhynians;Volyniane
d_volhynians_adj;Volhynian;Volynianskiy
d_buzhans;Buzhans;Buzhane
d_buzhans_adj;Buzhan;Buzhanskiy
d_tivertsi;Tivertsians;Tivertsi
d_tivertsi_adj;Tivertsian;Tivertskiy
d_burtas;Burtasians;Burtas
d_burtas_adj;Burtasian;Burtan
e_ulm;Ulm;Ulm
e_ulm_adj;Ulmian;Ulmian
d_erzosterreich;Österreich;Österreich
d_erzosterreich_adj;Österreichen;Österreichen
k_norman_england;England;England
k_norman_england_adj;English;English
d_kryvians;Kryvians;Krivichi
d_kryvians_adj;Kryvian;Krivichsky
d_severians;Severians;Severiane
d_severians_adj;Severian;Severiansky
d_lendians;Lendians;Ledzianie
d_lendians_adj;Lendian;Ledzianie
k_geats;Götaland;Gautaríki
k_geats_adj;Geatish;Gautr
e_kaleva;Kalevala;Kalevala
e_kaleva_adj;Kalevalan;Kalevalan
d_bohemians;Bohemians;Czechowé
d_bohemians_adj;;Czeský
d_massufa;;Massúfa
d_massufa_adj;;Massúfí
d_lamtuna;;Lamtúna
d_lamtuna_adj;;Lamtúní
d_lamta;;Lamta
d_lamta_adj;;Lamtí
d_zaghawa;;Zagháwa
d_zaghawa_adj;;Zagháwí
d_guddala;;Guddála
d_guddala_adj;;Guddálí
d_targa;;Targa
d_targa_adj;;Targí
d_lawata;;Lawata
d_lawata_adj;;Lawatí
d_soninke;;Soninke
d_soninke_adj;;Soninke
d_duguwa;;Duguwa
d_duguwa_adj;;Duguwí
d_blemmyes;;Béja
d_blemmyes_adj;;Béjí
k_makuria;;Makuria
k_makuria_adj;;Makurian
k_alodia;;Alodia
k_alodia_adj;;Alodian
k_moravia;;Velká Morava
k_moravia_adj;;Velkomoravský
k_shiite;Shia;Shia
k_shiite_adj;Shiite;Shiite
k_sunni;Sunni;Sunni
k_sunni_adj;Sunni;Sunni
k_tiaret;Tiáret;Tiáret
k_tiaret_adj;Tiáretí;Tiáretí
d_musab;Mus'ab;Mus'ab
d_musab_adj;Mus'abí;Mus'abí
d_gazzula;Gazzúla;Gazzúla
d_gazzula_adj;Gazzúlí;Gazzúlí
WEST_FRANCIA;;Francia Occidentalis
WEST_FRANCIA_ADJ;;Francia Occidentalis
EAST_FRANCIA;;Francia Orientalis
EAST_FRANCIA_ADJ;;Francia Orientalis
d_azben;Azben;Azben
d_azben_adj;Azben;Azben
d_takarkart;Takarkart;Takarkart
d_takarkart_adj;Takarkartí;Takarkartí
d_azger;Azger;Azger
d_azger_adj;Azgerí;Azgerí
d_tanmak;Tanmak;Tanmak
d_tanmak_adj;Tanmaki;Tanmaki
d_mazata;Mazáta;Mazáta
d_mazata_adj;Mazátí;Mazátí
d_naqis;Naqís;Naqís
d_naqis_adj;Naqísí;Naqísí
d_baqlin;Baqlín;Baqlín
d_baqlin_adj;Baqlíní;Baqlíní
d_djarin;Djarín;Djarín
d_djarin_adj;Djaríní;Djaríní
d_qataa;Qata'a;Qata'a
d_qataa_adj;Qata'í;Qata'í
d_bazin;Bazín;Bazín
d_bazin_adj;Bazíní;Bazíní
d_danakil;Danakil;Danakil
d_danakil_adj;Danakilí;Danakilí
d_semien;Semien;Semien
d_semien_adj;Semien;Semien
k_ifat;Ifat;Ifat
k_ifat_adj;Ifatí;Ifatí
k_blemmyes;Béja;Béja
k_blemmyes_adj;Béjí;Béjí
;;
d_dregovichi_adj;Dregovichan;Dregovichi
d_radimichi_adj;Radimichan;Radimichi
d_hilal;Banu Hilál;Banu Hilál
d_hilal_adj;Hilálí;Hilálí
k_aydin_adj;Aydini;Aydini
k_eretnid_adj;Eretni;Eretni
k_germyan_adj;Germiyani;Germiyani
k_hammadid_adj;Hamdanid;Hamdanid
k_kafsid_adj;Kafsid;Kafsid
k_mentese_adj;Mentese;Mentese
k_tekke_adj;Tekke;Tekke
k_zirid_adj;Zirid;Zirid
d_silesians;Slezanie;Slezanie
d_silesians_adj;Silesian;Silesian
d_polans;Polanie;Polanie
d_polans_adj;Polan;Polan
d_mazovians;Mazowszanie;Mazowszanie
d_mazovians_adj;Mazovian;Mazovian
d_vistulans;Wislanie;Wislanie
d_vistulans_adj;Vistulan;Vistulan
#;;
k_duklja;Duklja;Duklja
k_duklja_adj;Dukljan;Dukljan
