#CODE;ENGLISH;ENGLISH
########################################;;
#Norwegian;;
########################################;;
PROV348;;Monte Sant'Angelo
PROV337;;Tarsia
PROV331;;Grosseto
PROV332;;Santa Fiora
PROV333;;Roma
PROV236;;Susa
PROV356;;Venezia
PROV233;;Genova
########################################;;
#Moldavia;;
########################################;;
PROV545;;Suceava
PROV511;;Basarabia
PROV512;;Tighina
PROV513;;Bârlad
########################################;;
#Brittany;;
########################################;;
PROV101;;Roazhon
PROV102;;Turnagoued
PROV103;;Leon
PROV104;;Gernev
PROV105;;Gwened
PROV106;;Naoned
########################################;;
#Aquitaine;;
########################################;;
PROV217;;Auvèrnhe
PROV210;;Fois
PROV214;;Tolosa
PROV218;;Roergue
PROV219;;Gavaudan
PROV212;;Narbona
PROV213;;Carcassona
PROV220;;Melguèlh
PROV223;;Vivarés
PROV150;;Labrit
########################################;;
#France;;
########################################;;
PROV112;;Paris
PROV132;;Auxerre
PROV130;;Troyes
PROV139;;Bourges
PROV114;;Reims
PROV131;;Sens
PROV100;;Avranches
########################################;;
#Iberia;;
########################################;;
PROV154;;Asturias de Santillana
PROV155;;Asturias de Oviedo
PROV156;;Trastámara
PROV158;;Oporto
PROV165;;Carmona
PROV173;;Tortosa
PROV174;;Albarracín
PROV178;;Alarcón
PROV179;;Villena
PROV183;;Mérida
PROV195;;Talavera
PROV182;;Sevilla
########################################;;
#Anatolia;;
########################################;;
PROV735;;Marash
PROV734;;Ravendal
########################################;;
#Syria;;
########################################;;
PROV765;;Berzieh
PROV726;;Qasr al-Hayr al-Gharbi
PROV714;;Azraq
PROV709;;Ar-Raqqah
PROV731;;Hims
PROV768;;Bekaa
PROV725;;Jaulan
PROV728;;Ghutah
PROV727;;Hauran
PROV712;;Bathaniyya
PROV724;;Balqa
PROV708;;Turbessel
PROV723;;Jarash
PROV713;;Qasr al-Hayr al-Sharqi
PROV729;;Alqaim
PROV733;;Halab
PROV722;;Elim
PROV769;;Toron
PROV779;;Naples
PROV776;;St-Abraham
PROV782;;Negev desert
PROV774;;Jérusalem
PROV781;;Darom
PROV786;;Jabal Katrina
PROV785;;Nekhel
########################################;;
#Grecce;;
########################################;;
PROV475;;Naupaktos
########################################;;
#Arabia;;
########################################;;
PROV716;;Dumat al-Jundal
PROV717;;Mawijan
PROV865;;Talabija
PROV720;;Al-Ula
PROV654;;Subala
########################################;;
#Rhos;;
########################################;;
PROV414;;Novgorod
PROV412;;Torzhok
PROV409;;Ladoga
PROV404;;Tudozerskij
PROV413;;Pskov
PROV415;;Luki
PROV408;;Beloozero
PROV406;;Vologda
PROV405;;Shenkursk
PROV403;;Kargopol
PROV393;;Onega
PROV396;;Kolmogory
PROV395;;Orlec
PROV394;;Pomorye
PROV570;;Tver
PROV571;;Uglich
PROV574;;Rostov
PROV572;;Yaroslavl
PROV407;;Kostroma
PROV583;;Suzdal
PROV582;;Vladimir
PROV573;;Perejaslavl'-Zalesskij
PROV402;;Veliky Ustug
PROV586;;Galich Mersky
PROV584;;Nizhny Novgorod
PROV585;;Gorodets-Radilov
PROV580;;Riazan'
PROV578;;Kolomna
PROV577;;Pronsk
PROV581;;Murom
PROV575;;Moskva
PROV587;;Mozajsk
PROV419;;Polotsk
PROV417;;Vitebesk
PROV550;;Minsk
PROV547;;Kiev
PROV544;;Korsun
PROV555;;Perejaslavl
PROV568;;Smolensk
PROV551;;Mstislavl
PROV418;;Krasen
PROV410;;Toropec
PROV569;;Viazma
PROV552;;Turov
PROV548;;Pinsk
PROV424;;Volkovysk
PROV567;;Novgorod Seversky
PROV554;;Chernigov
PROV553;;Lyubech
PROV576;;Briansk
PROV536;;Halych
PROV534;;Peremyshl
PROV549;;Berestye
PROV425;;Belsk
PROV546;;Terebovl
########################################;;
#Finland;;
########################################;;
PROV387;;Olonec
PROV382;;Finland
PROV381;;Nyland
PROV392;;Kexholm
PROV383;;Tavastland
PROV384;;Satakunda
PROV390;;Savolax
PROV386;;Kvänland
PROV385;;Österbotten
########################################;;
#Pomerania;;
########################################;;
PROV367;;Schlawe-Stolp
PROV308;;Gützkow
PROV304;;Rügen
########################################;;
#Baltics;;
########################################;;
PROV369;;Chelmno
PROV370;;Warmia
PROV371;;Sambi
PROV372;;Karšuva
PROV373;;Vredecuren
PROV374;;Opemele
PROV375;;Tholowa
PROV377;;Saccalia
PROV379;;Ugaunia
PROV420;;Lietuva
PROV421;;Žëmaitëjë
PROV422;;Skalva
PROV423;;Sùduva
PROV426;;Dainava
PROV427;;Galindia
PROV416;;Rositten
PROV378;;Harria
PROV380;;Vironia
PROV376;;Osilia
########################################;;
#Africa-Maghreb;;
########################################;;
PROV816;;Mahdíya
PROV817;;Tunis
PROV818;;Súsa
PROV819;;Banzart
PROV820;;Búna
PROV821;;Qustantiniyya
PROV822;;Bidjáya
PROV823;;Biskra
PROV824;;Tabna
PROV825;;Jíjil
PROV828;;Bou Sa'ada
PROV829;;Al-Aghwat
PROV830;;Achir
PROV831;;Al-Jazáir
PROV832;;Wahrán
PROV833;;Táhart
PROV834;;Tilimsán
PROV835;;Hunayn
PROV836;;Tanas
PROV837;;Figuig
PROV838;;El-Ríf
PROV839;;Sebta
PROV840;;Fás
PROV841;;Tandja
PROV842;;Ribát al-Fath
PROV843;;Marrákush
PROV844;;Asfí
PROV845;;Tinmallál
PROV846;;Ifni
PROV847;;Tarúdant
PROV849;;Gran Canaria
########################################;;
#Ireland;;
########################################;;
PROV5;;Antrim
PROV7;;Louth
PROV8;;Leitrim
PROV9;;Mayo
PROV12;;Kilkenny
PROV13;;Clare
PROV14;;Kerry
PROV15;;Waterford
PROV16;;Wexford
########################################;;
#Iceland and other stuff;;
PROV1;;Vesturland
PROV2;;Austurland
PROV33;;Færeyar
PROV34;;Hjaltland
PROV35;;Suðreyar
PROV36;;Orkneyar
PROV37;;Katanes
########################################;;
#England;;
########################################;;
PROV57;;West York Ridding
#Egypt;;
########################################;;
PROV789;;Ushmún Tannáh
PROV790;;Quzlum
PROV791;;Qusayr
PROV797;;Manúf
PROV798;;Dimyát
PROV799;;Nastaráwa
PROV800;;Gíza
PROV801;;Hawf Gharbí
PROV802;;Iskandariya
PROV803;;Síwa
PROV804;;Sullum
PROV805;;Tubrúk
PROV806;;Darna
PROV807;;Awjíla
PROV808;;Barqa
########################################;;
#Abyssinia;;
########################################;;
PROV873;;Adal
PROV876;;Sera'é
PROV878;;Bádi
PROV882;;Damot
PROV883;;Dembiya
PROV884;;Amhara
PROV885;;Agaw
